timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/21 19:31:58.808, 0 %, 0 %, 1 MiB, 16376 MiB, 16.26 W, 44
2026/09/21 19:31:59.827, 0 %, 0 %, 1 MiB, 16376 MiB, 16.26 W, 44
2026/09/21 19:32:00.828, 0 %, 0 %, 1 MiB, 16376 MiB, 16.28 W, 45
2026/09/21 19:32:01.828, 0 %, 0 %, 1 MiB, 16376 MiB, 16.34 W, 44
2026/09/21 19:32:02.828, 0 %, 0 %, 1 MiB, 16376 MiB, 16.36 W, 44
2026/09/21 19:32:03.829, 0 %, 0 %, 1 MiB, 16376 MiB, 16.37 W, 45
2026/09/21 19:32:04.829, 0 %, 0 %, 1 MiB, 16376 MiB, 16.33 W, 44
2026/09/21 19:32:05.829, 0 %, 0 %, 1 MiB, 16376 MiB, 16.33 W, 44
2026/09/21 19:32:06.830, 0 %, 0 %, 1 MiB, 16376 MiB, 16.37 W, 45
2026/09/21 19:32:07.830, 0 %, 0 %, 1 MiB, 16376 MiB, 16.35 W, 44
2026/09/21 19:32:08.831, 0 %, 0 %, 4 MiB, 16376 MiB, 16.32 W, 44
2026/09/21 19:32:09.831, 0 %, 0 %, 4 MiB, 16376 MiB, 16.35 W, 45
2026/09/21 19:32:10.831, 0 %, 0 %, 4 MiB, 16376 MiB, 16.35 W, 44
2026/09/21 19:32:11.832, 0 %, 0 %, 4 MiB, 16376 MiB, 16.34 W, 44
2026/09/21 19:32:12.832, 0 %, 0 %, 4 MiB, 16376 MiB, 16.31 W, 44
2026/09/21 19:32:13.832, 0 %, 0 %, 4 MiB, 16376 MiB, 16.28 W, 44
2026/09/21 19:32:14.832, 0 %, 0 %, 19 MiB, 16376 MiB, 16.30 W, 44
2026/09/21 19:32:15.833, 3 %, 0 %, 169 MiB, 16376 MiB, 23.21 W, 45
2026/09/21 19:32:16.834, 0 %, 0 %, 281 MiB, 16376 MiB, 36.55 W, 46
2026/09/21 19:32:17.834, 0 %, 0 %, 5803 MiB, 16376 MiB, 36.50 W, 46
2026/09/21 19:32:18.834, 0 %, 0 %, 5803 MiB, 16376 MiB, 36.45 W, 46
2026/09/21 19:32:19.835, 21 %, 1 %, 6551 MiB, 16376 MiB, 37.30 W, 47
2026/09/21 19:32:20.835, 18 %, 1 %, 7511 MiB, 16376 MiB, 37.81 W, 47
2026/09/21 19:32:21.836, 17 %, 1 %, 5813 MiB, 16376 MiB, 41.89 W, 47
2026/09/21 19:32:22.836, 0 %, 0 %, 6901 MiB, 16376 MiB, 71.88 W, 51
2026/09/21 19:32:23.836, 100 %, 61 %, 6901 MiB, 16376 MiB, 138.89 W, 53
2026/09/21 19:32:24.837, 100 %, 61 %, 6917 MiB, 16376 MiB, 120.69 W, 52
2026/09/21 19:32:25.837, 0 %, 0 %, 6917 MiB, 16376 MiB, 52.73 W, 51
2026/09/21 19:32:26.837, 6 %, 7 %, 9271 MiB, 16376 MiB, 48.28 W, 51
2026/09/21 19:32:27.838, 0 %, 0 %, 9271 MiB, 16376 MiB, 41.69 W, 51
2026/09/21 19:32:28.916, 0 %, 0 %, 9287 MiB, 16376 MiB, 37.55 W, 51
2026/09/21 19:32:29.916, 0 %, 0 %, 9287 MiB, 16376 MiB, 47.65 W, 51
2026/09/21 19:32:30.916, 100 %, 56 %, 9287 MiB, 16376 MiB, 138.41 W, 56
2026/09/21 19:32:31.917, 100 %, 64 %, 9287 MiB, 16376 MiB, 139.32 W, 58
2026/09/21 19:32:32.917, 100 %, 60 %, 9291 MiB, 16376 MiB, 139.33 W, 59
