#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260919    02:01:51       0      7     40      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      3 
 20260919    02:01:52       0      7     40      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      5      0 
 20260919    02:01:53       0      7     40      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      0 
 20260919    02:01:54       0      8     39      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      0 
 20260919    02:01:55       0      7     39      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      1 
 20260919    02:01:56       0      7     39      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:01:57       0      6     39      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      0 
 20260919    02:01:58       0      6     39      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:01:59       0      6     39      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      1 
 20260919    02:02:00       0      7     39      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:02:02       0      6     39      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:02:03       0      7     39      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:02:04       0      6     39      -      1      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      6 
 20260919    02:02:05       0      6     39      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      6 
 20260919    02:02:06       0      7     39      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      0 
 20260919    02:02:07       0      7     39      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:02:08       0      6     39      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
