wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789751040676638527,0.0,0.0,0.00,0.00,0
1789751041687434951,0.0,0.0,0.00,0.00,0
1789751042698202680,0.0,0.2,0.00,4.71,0
1789751043709507527,0.0,0.0,0.00,0.00,0
1789751044723995064,0.0,0.1,0.00,5.33,0
1789751045734902201,0.0,0.0,0.00,0.00,0
1789751046746122257,0.0,0.0,0.00,0.00,0
1789751047758094156,0.0,0.2,0.00,4.42,0
1789751048773408844,0.0,0.0,0.00,0.00,0
1789751049787892696,0.0,0.3,0.00,7.00,0
1789751050800688123,0.0,0.0,0.00,0.00,0
1789751051812801600,0.0,0.0,0.00,0.00,0
1789751052824250931,0.0,0.4,0.00,2.02,0
1789751053835314451,0.0,0.0,0.00,0.00,0
1789751054846355876,0.0,0.1,0.00,10.00,0
1789751055857019363,0.0,0.0,0.00,14.00,0
1789751056869051304,0.0,0.0,0.00,0.00,0
1789751057880393964,0.0,0.2,0.00,4.91,0
1789751058890856473,0.0,0.0,0.00,0.00,2
1789751059905299781,0.0,0.2,0.00,6.50,0
1789751060915863218,0.0,0.0,0.00,0.00,0
1789751061926789154,0.0,0.0,0.00,0.00,0
1789751062938072207,0.0,0.3,0.00,2.83,0
1789751063949335513,0.0,0.2,0.00,7.20,0
1789751064961022377,0.0,0.0,0.00,0.00,0
1789751065972255901,0.0,0.0,0.00,0.00,0
1789751066982495918,0.0,0.0,0.00,0.00,0
1789751067992522765,0.0,0.2,0.00,3.65,0
1789751069002502594,0.0,0.1,0.00,5.67,0
1789751070012809536,0.0,0.0,0.00,0.00,0
1789751071023006539,0.0,0.0,0.00,0.00,0
1789751072033385513,0.0,0.0,0.00,0.00,0
1789751073043763711,0.0,0.2,0.00,4.35,0
1789751074053558209,0.0,0.1,0.00,5.67,0
1789751075063863357,0.0,0.0,0.00,0.00,0
1789751076074448174,0.0,109.7,0.00,7.79,6
1789751077085595745,0.0,119.7,0.00,10.27,0
1789751078095883807,0.0,0.2,0.00,0.05,0
1789751079106811240,0.0,0.6,0.00,4.50,0
1789751080117176795,0.0,0.0,0.00,0.00,0
1789751081127691717,0.0,0.0,0.00,0.00,0
1789751082137810883,0.0,0.0,0.00,0.00,0
1789751083147846238,0.0,0.0,0.00,0.00,0
1789751084157937398,0.0,0.8,0.00,1.67,0
1789751085167894255,0.0,0.0,0.00,0.00,0
1789751086177962573,0.0,0.0,0.00,0.00,0
1789751087188356063,0.0,166.2,0.00,0.54,0
1789751088198879793,0.0,0.0,0.00,0.00,0
1789751089209215692,0.0,0.7,0.00,5.24,0
1789751090219364442,0.0,0.0,0.00,0.00,0
1789751091229523808,0.0,0.0,0.00,0.00,0
1789751092239655461,0.0,0.0,0.00,0.00,0
1789751093249690815,0.0,0.0,0.00,0.00,0
1789751094259735158,0.0,0.7,0.00,2.21,0
1789751095269779963,0.0,0.0,0.00,0.00,0
1789751096279509215,0.0,0.0,0.00,0.00,0
1789751097290160359,0.0,163.2,0.00,9.75,5
1789751098300911505,0.0,129.6,0.00,8.68,0
1789751099311495907,0.0,0.8,0.00,0.23,0
1789751100321706693,0.0,0.0,0.00,0.00,0
1789751101331584955,0.0,0.0,0.00,0.00,0
1789751102341969719,0.0,0.0,0.00,0.00,0
1789751103352382056,0.0,0.0,0.00,0.00,0
1789751104362489587,0.0,1.0,0.00,0.32,0
1789751105372436421,0.0,0.0,0.00,0.00,0
1789751106382445937,0.0,0.0,0.00,0.00,0
1789751107392618956,0.0,0.0,0.00,0.00,0
1789751108404488557,0.0,268.0,0.00,0.57,0
1789751109421226933,0.0,1.3,0.00,0.58,0
1789751110436239531,0.0,0.0,0.00,0.00,0
1789751111450747820,112.6,7.9,0.58,3.33,1
1789751112461762215,39.6,0.0,0.66,0.00,0
1789751113473057233,134.5,0.0,0.57,0.00,0
1789751114484388491,221.5,16.1,0.80,0.52,0
1789751115495583289,0.0,1.7,0.00,1.11,0
1789751116506527570,0.0,0.0,0.00,0.00,0
1789751117517770657,0.0,0.0,0.00,0.00,0
1789751118976479631,0.0,0.0,0.00,0.00,0
