timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/19 02:03:59.701, 0 %, 0 %, 15 MiB, 16384 MiB, 8.17 W, 59
2026/09/19 02:04:00.715, 0 %, 0 %, 15 MiB, 16384 MiB, 8.06 W, 59
2026/09/19 02:04:01.720, 0 %, 0 %, 15 MiB, 16384 MiB, 11.10 W, 59
2026/09/19 02:04:02.726, 0 %, 0 %, 15 MiB, 16384 MiB, 8.01 W, 58
2026/09/19 02:04:03.731, 0 %, 0 %, 15 MiB, 16384 MiB, 7.93 W, 58
2026/09/19 02:04:04.738, 0 %, 0 %, 15 MiB, 16384 MiB, 7.66 W, 58
2026/09/19 02:04:05.743, 0 %, 0 %, 15 MiB, 16384 MiB, 7.70 W, 57
2026/09/19 02:04:06.750, 0 %, 0 %, 15 MiB, 16384 MiB, 7.99 W, 57
2026/09/19 02:04:07.756, 0 %, 0 %, 15 MiB, 16384 MiB, 7.80 W, 56
2026/09/19 02:04:08.762, 0 %, 0 %, 15 MiB, 16384 MiB, 7.75 W, 56
2026/09/19 02:04:09.768, 0 %, 0 %, 15 MiB, 16384 MiB, 7.75 W, 56
2026/09/19 02:04:10.774, 0 %, 0 %, 15 MiB, 16384 MiB, 7.77 W, 55
2026/09/19 02:04:11.780, 0 %, 0 %, 15 MiB, 16384 MiB, 7.83 W, 55
2026/09/19 02:04:12.786, 0 %, 0 %, 15 MiB, 16384 MiB, 7.98 W, 55
2026/09/19 02:04:13.792, 2 %, 0 %, 134 MiB, 16384 MiB, 46.84 W, 56
2026/09/19 02:04:14.794, 0 %, 0 %, 2462 MiB, 16384 MiB, 47.48 W, 56
2026/09/19 02:04:15.796, 0 %, 0 %, 5760 MiB, 16384 MiB, 46.27 W, 56
2026/09/19 02:04:16.799, 43 %, 3 %, 7108 MiB, 16384 MiB, 61.38 W, 57
2026/09/19 02:04:17.804, 17 %, 11 %, 7790 MiB, 16384 MiB, 58.78 W, 57
2026/09/19 02:04:18.807, 100 %, 57 %, 6858 MiB, 16384 MiB, 219.06 W, 63
2026/09/19 02:04:19.809, 100 %, 54 %, 6858 MiB, 16384 MiB, 227.05 W, 65
2026/09/19 02:04:20.811, 100 %, 54 %, 6868 MiB, 16384 MiB, 229.71 W, 63
2026/09/19 02:04:21.813, 0 %, 0 %, 6870 MiB, 16384 MiB, 90.34 W, 60
2026/09/19 02:04:22.815, 3 %, 0 %, 8048 MiB, 16384 MiB, 48.52 W, 58
2026/09/19 02:04:23.818, 0 %, 0 %, 8048 MiB, 16384 MiB, 58.33 W, 59
2026/09/19 02:04:24.821, 0 %, 0 %, 8048 MiB, 16384 MiB, 58.49 W, 59
2026/09/19 02:04:25.824, 0 %, 0 %, 8048 MiB, 16384 MiB, 73.63 W, 59
2026/09/19 02:04:26.828, 100 %, 22 %, 8048 MiB, 16384 MiB, 114.56 W, 61
2026/09/19 02:04:27.830, 100 %, 22 %, 8048 MiB, 16384 MiB, 117.75 W, 61
2026/09/19 02:04:28.832, 100 %, 10 %, 8048 MiB, 16384 MiB, 168.52 W, 64
2026/09/19 02:04:29.837, 100 %, 1 %, 8048 MiB, 16384 MiB, 196.92 W, 63
2026/09/19 02:04:30.839, 100 %, 22 %, 8048 MiB, 16384 MiB, 113.10 W, 62
