wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789976351913429848,125985868,8,0,2712,0
1789976352927207991,125960044,248,0,2712,0
1789976353940670111,125915956,272,0,2712,16
1789976354954924051,125916204,348,0,2712,16
1789976355971533192,125928396,348,0,2712,16
1789976356988075899,125908956,356,0,2712,16
1789976358004478975,125924876,156,0,2712,16
1789976359020370151,125764984,180,0,2712,16
1789976360033738112,125639252,184,0,2712,16
1789976361047507308,125586044,184,0,2712,16
1789976362060633817,125349988,216,0,2716,16
1789976363072113666,125101328,280,0,10904,16
1789976364085964691,125419936,80,0,49784,16
1789976365098298345,125413148,216,0,50088,16
1789976366111329818,125274572,220,0,50080,16
1789976367119799123,125341036,220,0,50080,16
1789976368133795077,125169816,168,0,50080,16
1789976369147537224,125082008,188,0,50080,16
1789976370161046803,125022432,44,4,50080,16
1789976371174940634,125008736,44,0,50080,16
1789976372188716174,124962220,184,0,50080,16
1789976373202712777,124815092,272,0,50080,16
1789976374216529538,124745052,308,0,50080,16
1789976375230247129,124751944,332,0,50080,16
1789976376243683621,124758672,208,0,50080,16
1789976377257134021,124761924,844,0,50080,16
1789976378271315435,124769392,156,0,50080,16
1789976379287121217,124777984,188,0,50080,16
1789976380303110924,124786132,192,0,50080,16
1789976381318979640,124767488,268,0,50080,16
1789976382332865308,124772904,552,0,50080,16
1789976383348734752,124779640,580,0,50080,16
1789976384364481396,124790324,640,0,50080,16
1789976386378901189,124815112,688,0,50080,16
