#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260919    01:55:12       0      7     52      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      7 
 20260919    01:55:13       0      7     52      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:55:14       0      7     52      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:55:15       0      7     51      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:55:16       0      7     51      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:55:17       0      7     51      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:55:19       0      7     51      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:55:20       0      7     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:55:21       0      7     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:55:22       0      7     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:55:23       0     43     51      -      2      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260919    01:55:24       0     44     52      -      0      0      0      0      0      0   6500   1620      0      0   6246      7      0      -      -      0      0      4 
 20260919    01:55:25       0     43     52      -      0      0      0      0      0      0   6500   1620      0      0   6246      7      0      -      -      0      0      0 
 20260919    01:55:26       0     44     52      -     32      1      0      0      0      0   6500   1620      0      0   6246      7      0      -      -      0      0      0 
 20260919    01:55:27       0     44     52      -      0      0      0      0      0      0   6500   1620      0      0   6226      7      0      -      -      0      0      0 
 20260919    01:55:28       0    207     58      -    100     60      0      0      0      0   6500   1785      0      0   6926      7      0      -      -      0     11      0 
