wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789750513553177345,120926156,432,0,1216,0
1789750514570230949,120867280,156,0,1216,0
1789750515610718022,120808660,232,0,1216,0
1789750516622079229,120797628,376,0,1216,0
1789750517635290884,120771040,404,0,1216,0
1789750518646576592,120763064,464,0,1216,0
1789750519661656230,120597884,56,0,1216,0
1789750520672465306,120439944,288,0,1216,0
1789750521683282888,120371164,348,0,1216,0
1789750522694041422,119898824,492,0,1216,0
1789750523705140956,119591376,516,0,11456,0
1789750524716839604,120050492,40,0,48320,0
1789750525728734063,120101800,100,4,48324,0
1789750526741715346,120091752,128,0,48324,0
1789750527753836227,120133840,332,0,48324,0
1789750528764281646,119972412,344,0,48324,0
1789750529774857140,119937036,40,0,48324,0
1789750530785976016,119368200,80,0,572612,0
1789750531797451243,119361236,328,0,572612,0
1789750532811937254,119218188,340,0,572612,0
1789750533822120228,119214748,368,0,572612,0
1789750534831978420,119209980,0,36,572612,0
1789750535841704190,119206260,100,0,572612,0
1789750536851327793,119203820,212,0,572612,0
1789750537861537193,119132116,240,0,572612,0
1789750538872087873,119126500,280,0,572612,0
1789750539882113334,119127204,116,48,572612,0
1789750540891965289,119123288,88,0,572612,0
1789750541901892762,119120320,1664,4,572612,0
1789750542912116357,119116452,1688,0,572612,0
1789750543922588560,119111968,1708,0,572612,0
1789750544933556049,119108056,12,0,572612,0
1789750545943923446,119105092,88,0,572612,0
1789750546953925006,119103380,1440,0,572612,0
1789750547963822077,119100692,1464,0,572612,0
1789750548973675752,119098212,1488,0,572612,0
1789750549983862056,119095828,4,0,572612,0
1789750550993820250,119094180,84,0,572612,0
1789750552003475588,119091752,1424,0,572612,0
1789750553013526281,119090120,1444,0,572612,0
1789750554023727550,119088244,1472,0,572612,0
1789750555034077439,119086740,1504,0,572612,0
1789750556047240244,119086520,88,0,572612,0
1789750557061357335,119084588,1108,0,572612,0
1789750558073695903,119086468,1524,0,572612,0
1789750559085648817,119059396,1564,0,572612,0
1789750560096526198,119041580,1604,0,572612,0
1789750561107454189,119038628,84,0,572612,0
1789750562119552733,119037160,596,0,572612,0
1789750563133437933,119039320,624,0,572612,0
1789750565163409790,119608380,688,0,48324,0
