timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/19 01:55:12.578, 0 %, 0 %, 15 MiB, 16384 MiB, 7.53 W, 52
2026/09/19 01:55:13.588, 0 %, 0 %, 15 MiB, 16384 MiB, 7.42 W, 52
2026/09/19 01:55:14.594, 0 %, 0 %, 15 MiB, 16384 MiB, 7.39 W, 52
2026/09/19 01:55:15.600, 1 %, 0 %, 15 MiB, 16384 MiB, 8.10 W, 51
2026/09/19 01:55:16.606, 0 %, 0 %, 15 MiB, 16384 MiB, 7.90 W, 51
2026/09/19 01:55:17.612, 0 %, 0 %, 15 MiB, 16384 MiB, 7.91 W, 51
2026/09/19 01:55:18.618, 0 %, 0 %, 15 MiB, 16384 MiB, 7.85 W, 51
2026/09/19 01:55:19.624, 0 %, 0 %, 15 MiB, 16384 MiB, 7.77 W, 50
2026/09/19 01:55:20.630, 0 %, 0 %, 15 MiB, 16384 MiB, 7.71 W, 50
2026/09/19 01:55:21.636, 0 %, 0 %, 15 MiB, 16384 MiB, 7.68 W, 50
2026/09/19 01:55:22.642, 0 %, 0 %, 18 MiB, 16384 MiB, 12.42 W, 50
2026/09/19 01:55:23.646, 0 %, 0 %, 134 MiB, 16384 MiB, 43.79 W, 52
2026/09/19 01:55:24.648, 0 %, 0 %, 6246 MiB, 16384 MiB, 43.97 W, 52
2026/09/19 01:55:25.651, 26 %, 1 %, 6246 MiB, 16384 MiB, 44.58 W, 52
2026/09/19 01:55:26.653, 23 %, 1 %, 6246 MiB, 16384 MiB, 44.62 W, 52
2026/09/19 01:55:27.655, 0 %, 0 %, 6226 MiB, 16384 MiB, 44.70 W, 52
2026/09/19 01:55:28.657, 100 %, 60 %, 6926 MiB, 16384 MiB, 213.96 W, 58
2026/09/19 01:55:29.705, 13 %, 12 %, 7086 MiB, 16384 MiB, 98.66 W, 54
2026/09/19 01:55:30.708, 31 %, 27 %, 7388 MiB, 16384 MiB, 154.46 W, 53
2026/09/19 01:55:31.710, 0 %, 0 %, 7388 MiB, 16384 MiB, 44.27 W, 53
2026/09/19 01:55:32.713, 0 %, 0 %, 7388 MiB, 16384 MiB, 44.19 W, 53
2026/09/19 01:55:33.716, 100 %, 6 %, 7728 MiB, 16384 MiB, 127.20 W, 56
2026/09/19 01:55:34.718, 100 %, 11 %, 7728 MiB, 16384 MiB, 149.68 W, 56
2026/09/19 01:55:35.720, 100 %, 6 %, 7728 MiB, 16384 MiB, 116.01 W, 57
2026/09/19 01:55:36.726, 100 %, 12 %, 7728 MiB, 16384 MiB, 140.54 W, 57
2026/09/19 01:55:37.732, 100 %, 6 %, 7728 MiB, 16384 MiB, 109.83 W, 58
2026/09/19 01:55:38.735, 0 %, 0 %, 7732 MiB, 16384 MiB, 56.95 W, 55
2026/09/19 01:55:39.737, 100 %, 6 %, 7732 MiB, 16384 MiB, 151.54 W, 58
2026/09/19 01:55:40.739, 100 %, 12 %, 7732 MiB, 16384 MiB, 142.99 W, 58
2026/09/19 01:55:41.742, 100 %, 6 %, 7732 MiB, 16384 MiB, 121.88 W, 60
2026/09/19 01:55:42.747, 100 %, 12 %, 7732 MiB, 16384 MiB, 145.28 W, 59
2026/09/19 01:55:43.750, 100 %, 37 %, 7732 MiB, 16384 MiB, 137.84 W, 60
2026/09/19 01:55:44.753, 74 %, 7 %, 7732 MiB, 16384 MiB, 150.76 W, 59
2026/09/19 01:55:45.757, 100 %, 6 %, 7732 MiB, 16384 MiB, 146.69 W, 59
2026/09/19 01:55:46.759, 100 %, 9 %, 7732 MiB, 16384 MiB, 154.94 W, 61
2026/09/19 01:55:47.761, 100 %, 12 %, 7732 MiB, 16384 MiB, 113.85 W, 60
2026/09/19 01:55:48.764, 100 %, 6 %, 7732 MiB, 16384 MiB, 153.20 W, 60
2026/09/19 01:55:49.767, 100 %, 46 %, 7732 MiB, 16384 MiB, 130.36 W, 60
2026/09/19 01:55:50.770, 100 %, 6 %, 7732 MiB, 16384 MiB, 110.29 W, 61
2026/09/19 01:55:51.773, 100 %, 12 %, 7732 MiB, 16384 MiB, 151.28 W, 61
2026/09/19 01:55:52.775, 100 %, 6 %, 7732 MiB, 16384 MiB, 144.52 W, 63
2026/09/19 01:55:53.779, 100 %, 12 %, 7732 MiB, 16384 MiB, 151.09 W, 62
2026/09/19 01:55:54.781, 100 %, 32 %, 7732 MiB, 16384 MiB, 130.31 W, 61
2026/09/19 01:55:55.783, 0 %, 0 %, 7732 MiB, 16384 MiB, 57.99 W, 60
2026/09/19 01:55:56.785, 0 %, 0 %, 7732 MiB, 16384 MiB, 47.08 W, 59
2026/09/19 01:55:57.788, 0 %, 0 %, 7732 MiB, 16384 MiB, 46.51 W, 59
2026/09/19 01:55:58.790, 26 %, 6 %, 7732 MiB, 16384 MiB, 100.20 W, 60
2026/09/19 01:55:59.793, 100 %, 57 %, 7732 MiB, 16384 MiB, 142.43 W, 62
2026/09/19 01:56:00.797, 0 %, 0 %, 7732 MiB, 16384 MiB, 59.44 W, 60
2026/09/19 01:56:01.800, 0 %, 0 %, 7732 MiB, 16384 MiB, 60.60 W, 60
2026/09/19 01:56:02.803, 0 %, 0 %, 7732 MiB, 16384 MiB, 47.15 W, 59
2026/09/19 01:56:03.806, 13 %, 2 %, 6630 MiB, 16384 MiB, 46.73 W, 58
