#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260919    01:57:19       0      9     56      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:57:20       0      8     56      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:57:21       0      9     56      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:57:22       0      9     55      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:57:23       0      7     55      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:57:24       0      9     55      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:57:25       0      9     55      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:57:26       0      8     54      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:57:27       0      9     54      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:57:28       0      9     54      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:57:29       0     45     55      -      2      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260919    01:57:30       0     46     56      -      0      0      0      0      0      0   6500   1620      0      0    830      7      0      -      -      0      8      1 
 20260919    01:57:31       0     45     56      -      0      0      0      0      0      0   6500   1620      0      0   6246      7      0      -      -      0      0      0 
 20260919    01:57:32       0     46     56      -     31      1      0      0      0      0   6500   1620      0      0   6246      7      0      -      -      0   4162    442 
 20260919    01:57:33       0     45     56      -      0      0      0      0      0      0   6500   1620      0      0   6246      7      0      -      -      0      0      0 
 20260919    01:57:34       0    210     61      -    100     59      0      0      0      0   6500   1785      0      0   6926      7      0      -      -      0     26      8 
 20260919    01:57:36       0     57     57      -      0      0      0      0      0      0   6500   1905      0      0   6926      7      0      -      -      0      0     10 
 20260919    01:57:37       0    116     57      -     40     36      0      0      0      0   6500   1905      0      0   7388      7      0      -      -      0      3      0 
 20260919    01:57:38       0     57     57      -      0      0      0      0      0      0   6500   1905      0      0   7388      7      0      -      -      0      0      0 
 20260919    01:57:39       0     46     56      -      0      0      0      0      0      0   6500   1620      0      0   7388      7      0      -      -      0      7      2 
 20260919    01:57:40       0    145     60      -    100      9      0      0      0      0   6500   1905      0      0   7728      7      0      -      -      0      0      0 
 20260919    01:57:41       0    144     60      -    100      6      0      0      0      0   6500   1890      0      0   7728      7      0      -      -      0     15      1 
 20260919    01:57:42       0    114     60      -    100     11      0      0      0      0   6500   1890      0      0   7728      7      0      -      -      0      0      0 
 20260919    01:57:43       0    113     61      -    100      6      0      0      0      0   6500   1905      0      0   7728      7      0      -      -      0      0      0 
 20260919    01:57:44       0    132     61      -     73     34      0      0      0      0   6500   1905      0      0   7732     11      0      -      -      0      1      0 
 20260919    01:57:45       0    145     61      -    100      6      0      0      0      0   6500   1890      0      0   7732     11      0      -      -      0     13      0 
 20260919    01:57:46       0    144     62      -    100     10      0      0      0      0   6500   1905      0      0   7732     11      0      -      -      0      0      3 
