wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789750639984036359,120933368,112,0,1216,0
1789750640999021188,120874208,140,0,1216,0
1789750642027669879,120813760,256,0,1216,0
1789750643039394022,120803824,28,0,1216,0
1789750644053145896,120780260,120,0,1216,0
1789750645064672654,120768212,132,0,1216,0
1789750646078884528,120608828,152,0,1216,0
1789750647089789251,120447608,276,0,1216,0
1789750648100712804,120376916,68,0,1216,0
1789750649111473716,119910496,112,0,1216,0
1789750650122780661,119618948,140,0,11456,0
1789750651133861869,120074400,156,0,48332,0
1789750652144459972,120104656,356,0,48324,0
1789750653158104255,120125420,76,0,48324,0
1789750654171031300,120127856,112,0,48324,0
1789750655182043459,120021364,132,0,48324,0
1789750656192463460,119941296,164,0,48324,0
1789750657202793608,119906424,292,0,48324,0
1789750658213334582,119898252,60,0,48324,0
1789750659224798502,119770292,128,0,48324,0
1789750660235234900,119751668,148,0,48324,0
1789750661245261119,119747704,176,0,48324,0
1789750662255077542,119745208,324,0,48324,0
1789750663265170773,119741724,388,0,48324,0
1789750664275387987,119667984,100,0,48324,0
1789750665285666740,119665992,148,0,48324,0
1789750666295542133,119660512,160,0,48324,0
1789750667305397709,119656584,704,0,48324,0
1789750668315210838,119651896,36,0,48324,0
1789750669324963763,119651920,108,0,48324,0
1789750670334817831,119648720,148,0,48324,0
1789750671344658947,119645224,184,0,48324,0
1789750672354819140,119641728,740,0,48324,0
1789750673364744065,119639260,20,0,48324,0
1789750674374822159,119639388,84,0,48324,0
1789750675384950169,119638900,124,0,48324,0
1789750676395240502,119637304,144,0,48324,0
1789750677405163065,119636208,748,0,48324,0
1789750678415241236,119636092,268,0,48324,0
1789750679425526422,119636220,88,0,48324,0
1789750680436576744,119635232,128,0,48324,0
1789750681449856936,119632300,152,0,48324,0
1789750682464926952,119631184,576,4,48324,0
1789750683476841896,119596348,100,0,48324,0
1789750684487852102,119577280,120,0,48324,0
1789750685498933026,119577360,140,0,48324,0
1789750686513556970,119575700,168,0,48324,0
1789750687528437558,119576540,432,0,48324,0
1789750689222663203,119604060,36,0,48324,0
