procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 5  0       555280     96045632      1025864     25207820    2    3 15724   569    1    0   1   1  96   3   0 2026-09-19 01:57:18
 2  0       555280     95954624      1025864     25207860    0    0     0     0 3089 3601   3   1  97   0   0 2026-09-19 01:57:19
37  0       555280     95896464      1025864     25207888    0    0     0     0 3415 3497   3   2  94   0   0 2026-09-19 01:57:20
 3  0       555280     95837256      1025872     25207892    0    0     0    96 3546 3593   4   5  91   0   0 2026-09-19 01:57:21
 1  0       555280     95824720      1025872     25207964    0    0     0   332 2599 3770   1   0  99   0   0 2026-09-19 01:57:22
 2  0       555280     95812960      1025872     25208008    0    0     0     0 2882 3613   1   0  99   0   0 2026-09-19 01:57:23
 1  0       555280     95788800      1025872     25208024    0    0     0     0 2082 3286   1   1  99   0   0 2026-09-19 01:57:24
 1  0       555280     95647544      1025872     25208040    0    0     0     0 2137 3586   1   1  98   0   0 2026-09-19 01:57:25
 2  0       555280     95486304      1025880     25208072    0    0     0   100 2355 3516   3   0  97   0   0 2026-09-19 01:57:26
 1  0       555280     95414576      1025880     25208088    0    0     0   240 2463 3608   3   0  97   0   0 2026-09-19 01:57:27
74  0       555280     94970288      1025880     25208120    0    0     0     0 4465 4188   6   1  92   0   0 2026-09-19 01:57:28
 3  0       555280     94647688      1025880     25218384    0    0     0     0 5776 5470  15   1  84   0   0 2026-09-19 01:57:29
 1  0       555280     95094832      1025880     25255280    0    0     0     0 5103 5757   6   1  94   0   0 2026-09-19 01:57:30
19  0       555280     94916624      1025892     25255292    0    0     0   192 3156 4943   3   1  96   0   0 2026-09-19 01:57:31
18  0       555280     95148272      1025892     25255320    0    0     0   312 5930 7529  26   5  68   0   0 2026-09-19 01:57:32
 1  0       555280     95148208      1025892     25255348    0    0     0     0 5299 6449  19   3  78   0   0 2026-09-19 01:57:33
 1  0       555280     95041720      1025892     25255372    0    0     0     0 3156 4647   3   0  97   0   0 2026-09-19 01:57:34
 1  0       555280     94991320      1025892     25255380    0    0     0     0 2957 4737   3   0  97   0   0 2026-09-19 01:57:35
 1  0       555280     94938832      1025908     25255400    0    0     0   124 5364 6966   2   1  97   0   0 2026-09-19 01:57:36
 1  0       555280     94918768      1025908     25255424    0    0     0   232 7249 12926   2   0  98   0   0 2026-09-19 01:57:37
 0  0       555280     94792736      1025908     25255452    0    0     0     0 7347 12823   1   0  99   0   0 2026-09-19 01:57:38
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 1  0       555280     94771888      1025908     25255476    0    0     0     0 7146 12794   3   0  97   0   0 2026-09-19 01:57:39
 1  0       555280     94767864      1025908     25255492    0    0     0     0 7242 12577   3   0  97   0   0 2026-09-19 01:57:40
 1  0       555280     94765376      1025912     25255528    0    0     0   136 7388 12745   3   0  97   0   0 2026-09-19 01:57:41
 1  0       555280     94761864      1025916     25255548    0    0     0   260 7615 13199   3   0  97   0   0 2026-09-19 01:57:42
 1  0       555280     94755600      1025916     25255572    0    0     0     0 7490 12863   3   0  97   0   0 2026-09-19 01:57:43
 4  0       555280     94685968      1025916     25255708    0    0     0 290304 8896 13888   7   0  90   2   0 2026-09-19 01:57:44
