#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    20:16:47       0     16     48      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      2      6 
 20260921    20:16:49       0     16     48      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      1 
 20260921    20:16:50       0     16     48      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:16:51       0     16     48      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:16:52       0     16     48      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:16:53       0     16     48      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:16:54       0     16     48      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:16:55       0     16     48      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:16:56       0     16     48      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:16:57       0     16     48      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:16:58       0     16     48      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:16:59       0     16     48      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:17:00       0     16     48      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:17:01       0     16     47      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:17:02       0     16     48      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    20:17:03       0     28     49      -      3      0      0      0      0      0   6501   1560      0      0    217      5      0      -      -      0     15      0 
 20260921    20:17:04       0     37     49      -      0      0      0      0      0      0   6501   1560      0      0   5803      5      0      -      -      0      0      0 
 20260921    20:17:05       0     37     49      -      0      0      0      0      0      0   6501   1560      0      0   5833      5      0      -      -      0   3446    433 
 20260921    20:17:06       0     51     51      -     41      3      0      0      0      0   6501   1935      0      0   7833      5      0      -      -      0      0      0 
 20260921    20:17:07       0     59     51      -      0      0      0      0      0      0   6501   1935     27      0   6901      5      0      -      -      0     22     11 
 20260921    20:17:08       0    124     56      -    100     63      0      0      0      0   6501   1365    100      0   6901      5      0      -      -      0     34     10 
 20260921    20:17:10       0    138     57      -    100     68      0      0      0      0   6501   1335     81      0   6917      5      0      -      -      0      0      1 
 20260921    20:17:11       0     55     54      -      0      0      0      0      0      0   6501   1920      0      0   6917      5      0      -      -      0      0      0 
 20260921    20:17:12       0     48     53      -      0      0      0      0      0      0   6501   1560      0      0  11627      5      0      -      -      0      0      0 
 20260921    20:17:13       0     45     53      -      0      0      0      0      0      0   6501   1560      0      0  11629      5      0      -      -      0   1158     88 
 20260921    20:17:14       0     44     55      -     67     59      0      0      0      0   6501   1560      7      0  11643      5      0      -      -      0      0      0 
 20260921    20:17:15       0     47     54      -      0      0      0      0      0      0   6501   1560      0      0  11643      5      0      -      -      0      0      0 
 20260921    20:17:16       0     80     58      -    100     63      0      0      0      0   6501   1410     80      0  11643      5      0      -      -      0   2813    421 
 20260921    20:17:17       0    139     60      -    100     64      0      0      0      0   6501   1350    100      0  11643      5      0      -      -      0   2432    454 
 20260921    20:17:18       0    139     60      -    100     56      0      0      0      0   6501   1335    100      0  11643      5      0      -      -      0     23     10 
 20260921    20:17:19       0    136     61      -    100     54      0      0      0      0   6501   1305    100      0  11643      5      0      -      -      0     20      9 
 20260921    20:17:20       0    139     63      -    100     59      0      0      0      0   6501   1335    100      0  11643      5      0      -      -      0     18      6 
 20260921    20:17:21       0    139     63      -     97     62      0      0      0      0   6501   1365    100      0  11647     13      0      -      -      0   4209    495 
 20260921    20:17:22       0    139     64      -    100     61      0      0      0      0   6501   1380    100      0  11647     13      0      -      -      0   4145    543 
 20260921    20:17:23       0    139     65      -    100     59      0      0      0      0   6501   1365    100      0  11647     13      0      -      -      0   3963    534 
 20260921    20:17:24       0    138     66      -    100     44      0      0      0      0   6501   1290    100      0  11647     13      0      -      -      0   3039    415 
 20260921    20:17:25       0    139     67      -    100     66      0      0      0      0   6501   1350    100      0  11647     13      0      -      -      0   1150   6083 
 20260921    20:17:26       0    136     67      -     98     99      0      0      0      0   6501   1365     94      0  11647     13      0      -      -      0     22      7 
 20260921    20:17:27       0    139     68      -    100     60      0      0      0      0   6501   1350    100      0  11647     13      0      -      -      0     24      9 
 20260921    20:17:28       0    139     69      -    100     59      0      0      0      0   6501   1290    100      0  11647     13      0      -      -      0     25      7 
 20260921    20:17:30       0    113     67      -    100     60      0      0      0      0   6501   1905     55      0  11647     13      0      -      -      0   1270    130 
 20260921    20:17:31       0    139     70      -    100     54      0      0      0      0   6501   1245    100      0  11647     13      0      -      -      0   1037    178 
 20260921    20:17:32       0    138     71      -    100     55      0      0      0      0   6501   1305    100      0  11649     13      0      -      -      0    911   4715 
 20260921    20:17:33       0    136     72      -    100     60      0      0      0      0   6501   1215     77      0  11649     13      0      -      -      0   1178     58 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    20:17:34       0    138     72      -    100     51      0      0      0      0   6501   1215    100      0  11649     13      0      -      -      0    422     58 
 20260921    20:17:35       0    138     73      -    100     50      0      0      0      0   6501   1350    100      0  11649     13      0      -      -      0   4251    544 
 20260921    20:17:36       0    139     74      -    100     57      0      0      0      0   6501   1290    100      0  11649     13      0      -      -      0   4066    551 
 20260921    20:17:37       0    139     75      -    100     56      0      0      0      0   6501   1335     95      0  11655     21      0      -      -      0    376     50 
 20260921    20:17:38       0    138     75      -    100     58      0      0      0      0   6501   1260    100      0  11655     21      0      -      -      0    375     52 
 20260921    20:17:39       0    139     76      -    100     54      0      0      0      0   6501   1305    100      0  11655     21      0      -      -      0    387     57 
 20260921    20:17:40       0    139     76      -    100     62      0      0      0      0   6501   1290    100      0  11655     21      0      -      -      0    654   2311 
 20260921    20:17:41       0    138     78      -    100     63      0      0      0      0   6501   1305    100      0  11655     21      0      -      -      0    476     69 
 20260921    20:17:42       0    138     78      -    100     66      0      0      0      0   6501   1290    100      0  11655     21      0      -      -      0    577   8581 
 20260921    20:17:43       0    139     78      -    100     64      0      0      0      0   6501    960     96      0  11655     21      0      -      -      0    410     56 
 20260921    20:17:44       0    138     79      -    100     57      0      0      0      0   6501   1245    100      0  11655     21      0      -      -      0    387     55 
 20260921    20:17:45       0    138     79      -    100     57      0      0      0      0   6501   1320    100      0  11655     21      0      -      -      0    433     61 
 20260921    20:17:46       0    138     80      -    100     56      0      0      0      0   6501   1275    100      0  11655     21      0      -      -      0    678    146 
 20260921    20:17:47       0    138     80      -    100     63      0      0      0      0   6501   1305    100      0  11655     21      0      -      -      0   4160    138 
 20260921    20:17:48       0    139     80      -    100     48      0      0      0      0   6501   1305     94      0  11655     21      0      -      -      0     33     10 
 20260921    20:17:49       0    139     81      -    100     52      0      0      0      0   6501   1095    100      0  11655     21      0      -      -      0   1418    184 
 20260921    20:17:51       0    138     81      -    100     57      0      0      0      0   6501   1185    100      0  11655     21      0      -      -      0   1706    213 
 20260921    20:17:52       0    139     82      -    100     57      0      0      0      0   6501   1260    100      0  11655     21      0      -      -      0   1966    222 
 20260921    20:17:53       0    138     82      -    100     56      0      0      0      0   6501   1095    100      0  11655     21      0      -      -      0    485   1006 
 20260921    20:17:54       0    139     82      -    100     55      0      0      0      0   6501   1230    100      0  11655     21      0      -      -      0    457     63 
 20260921    20:17:55       0    139     82      -    100     55      0      0      0      0   6501   1185    100      0  11655     21      0      -      -      0    458     62 
 20260921    20:17:56       0    139     83      -    100     50      0      0      0      0   6501   1290    100      0  11655     21      0      -      -      0    758     88 
 20260921    20:17:57       0    138     83      -     89     70      0      0      0      0   6501   1290     96      0  11655     21      0      -      -      0     46      9 
 20260921    20:17:58       0    131     83      -     88     84      0      0      0      0   6501   1260     70      0  11655     21      0      -      -      0   6848     19 
 20260921    20:17:59       0    120     81      -      0      0      0      0      0      0   6501   1875     24      0  11655     21      0      -      -      0      0      0 
 20260921    20:18:00       0     78     81      -      0      0      0      0      0      0   6501   1875      0      0  11655     21      0      -      -      0      0      0 
 20260921    20:18:01       0     69     79      -      0      0      0      0      0      0   6501   1560      0      0  11655     21      0      -      -      0      0      0 
 20260921    20:18:02       0     60     78      -      0      0      0      0      0      0   6501   1560      0      0  11655     21      0      -      -      0      0      0 
 20260921    20:18:03       0     51     78      -      0      0      0      0      0      0   6501   1560      0      0  11655     21      0      -      -      0      0      0 
 20260921    20:18:04       0     85     81      -    100     49      0      0      0      0   6501   1245     79      0  11655     21      0      -      -      0     21     10 
