wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789989408950571808,125387180,196,0,2736,0
1789989409962543637,125325068,200,0,2736,16
1789989410972313912,125271160,200,0,2736,16
1789989411986395435,125273764,204,0,2736,16
1789989413002192416,125268836,300,0,2736,16
1789989414015962132,124946540,316,0,2736,16
1789989415029399996,124868380,980,0,2736,16
1789989416043586098,125253168,996,0,2736,16
1789989417058192349,125270232,996,0,2736,16
1789989418073933376,125287028,1528,28,2736,16
1789989419090009958,125303456,1548,0,2736,16
1789989420105902318,125077252,1564,0,2736,16
1789989421120363955,125031364,32,0,2736,16
1789989422134410228,124949836,192,0,2736,16
1789989423149457123,124855152,200,0,10928,16
1789989424163536500,124674132,180,0,82576,16
1789989425177638811,124600216,276,0,82880,16
1789989426191282268,124628880,280,0,82872,16
1789989427205436579,124632696,284,0,82872,16
1789989428219176992,124662416,128,0,82872,16
1789989429232620446,124662420,96,0,82872,16
1789989430246399662,124402776,168,0,82872,16
1789989431259947687,124219888,168,0,242136,16
1789989432274182895,119787488,176,0,4660668,16
1789989433298179562,115894104,176,0,8471480,16
1789989434362436163,115830580,184,0,8471480,16
1789989435376140462,115781728,232,0,8471480,16
1789989436389904700,115757296,244,0,8471480,16
1789989437402505468,115756796,248,0,8471480,16
1789989438414411219,115757388,252,0,8471480,16
1789989439425166859,115756940,256,0,8471480,16
1789989440437341130,115756864,300,0,8471480,16
1789989441449416877,115728528,264,0,8471480,16
1789989442463010036,115728780,264,0,8471480,16
1789989443476380859,115729792,268,0,8471480,16
1789989444489687612,115731420,272,0,8471480,16
1789989445502986515,115732420,308,0,8471480,16
1789989446516521123,115668660,300,0,8471480,16
1789989447529928757,115668328,324,0,8471480,16
1789989448543117123,115668580,328,0,8471480,16
1789989449556382409,115651396,332,0,8471480,16
1789989450570703575,115585388,1100,0,8471480,16
1789989451584404639,115585140,1048,24,8471480,16
1789989452597725779,115576368,1184,0,8471480,16
1789989453611057436,115576672,1196,0,8471480,16
1789989454623987927,115577184,1204,0,8471480,16
1789989455637476178,115577452,668,0,8471480,16
1789989456650588991,115576632,32,0,8471480,16
1789989457664779157,115573156,136,0,8471480,16
1789989458678251161,115573808,152,0,8471480,16
1789989459691899254,115574780,176,0,8471480,16
1789989460705336553,115574140,636,0,8471480,16
1789989461718876031,115554892,640,0,8471480,16
1789989462731909901,115555152,1100,0,8471484,16
1789989463745551049,115572292,492,0,8471480,16
1789989464759130005,115571072,1016,0,8471480,16
1789989465772496368,115574664,1080,0,8471480,16
1789989466785649675,115574596,1080,0,8471480,16
1789989467799135345,115577404,1096,0,8471480,16
1789989468813852177,115560244,1124,0,8471480,16
1789989469828523893,115563248,1140,0,8471480,16
1789989470842030020,115566172,1444,0,8471480,16
1789989471855354847,115564912,1448,0,8471480,16
1789989472868574924,115565640,1452,0,8471480,16
1789989473881973642,115565136,1312,0,8471480,16
1789989474895829251,115565536,1548,0,8471480,16
1789989475909226203,115562776,1556,0,8471480,16
1789989476923432776,115564788,1568,0,8471480,16
1789989477936782814,115564092,1692,0,8471480,16
1789989478951046417,115563944,1576,0,8471480,16
1789989479967508074,115563216,1960,0,8471480,16
1789989480983983384,115563568,1968,0,8471480,16
1789989481999978488,115563824,1972,0,8471480,16
1789989483015496209,115564640,1976,0,8471480,16
1789989484030962142,115564656,1916,0,8471480,16
1789989485043805194,115565412,1940,0,8471480,16
1789989486057803194,115565920,1940,0,8471480,16
1789989487073434782,115567272,1992,0,8471480,16
1789989488088515721,115566632,2048,0,8471480,16
1789989489102245383,115566140,1900,0,8471480,16
1789989490116171659,115579860,1924,0,8471480,16
1789989491132303406,115580916,44,0,8471480,16
1789989492145805331,115581452,44,0,8471480,16
1789989493159349949,115581456,48,0,8471480,16
1789989494172755689,115581100,48,0,8471480,16
1789989495186517406,115580528,64,0,8471480,16
1789989496200309966,115580680,80,0,8471480,16
1789989497216498941,115580952,88,0,8471480,16
