#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    20:28:02       0     25     77      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      2      7 
 20260921    20:28:03       0     25     77      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      1 
 20260921    20:28:04       0     25     76      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:28:05       0     25     76      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:28:06       0     24     75      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:28:07       0     24     75      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:28:08       0     24     74      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:28:09       0     24     74      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:28:10       0     23     73      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:28:11       0     23     73      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:28:13       0     23     73      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:28:14       0     23     72      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:28:15       0     23     72      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:28:16       0     23     71      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    20:28:17       0     35     72      -      0      0      0      0      0      0   6501   1560      0      0    169      5      0      -      -      0      0      0 
 20260921    20:28:18       0     48     72      -      0      0      0      0      0      0   6501   1560      0      0   5803      5      0      -      -      0      0      0 
 20260921    20:28:19       0     48     72      -      0      0      0      0      0      0   6501   1560      0      0   5803      5      0      -      -      0   6480    780 
 20260921    20:28:20       0     60     73      -     53      2      0      0      0      0   6501   1890      0      0   7753      5      0      -      -      0      7      3 
 20260921    20:28:21       0     75     74      -     15     16      0      0      0      0   6501   1890      9      0   6901      5      0      -      -      0     26     10 
 20260921    20:28:22       0    119     77      -    100     56      0      0      0      0   6501   1230    100      0   6901      5      0      -      -      0     30     12 
 20260921    20:28:23       0    137     78      -    100     62      0      0      0      0   6501   1155    100      0   6901      5      0      -      -      0     28      7 
 20260921    20:28:24       0    109     76      -    100     58      0      0      0      0   6501   1875     14      0   6917      5      0      -      -      0      0      1 
 20260921    20:28:25       0     69     76      -      0      0      0      0      0      0   6501   1560      0      0  11627      5      0      -      -      0      0      0 
 20260921    20:28:26       0     61     75      -      0      0      0      0      0      0   6501   1560      0      0  11627      5      0      -      -      0      0      0 
 20260921    20:28:27       0     50     74      -      8      1      0      0      0      0   6501   1560      0      0  11643      5      0      -      -      0      0      0 
 20260921    20:28:28       0     63     75      -      0      0      0      0      0      0   6501   1770     10      0  11643      5      0      -      -      0      0      0 
 20260921    20:28:29       0     69     77      -    100     57      0      0      0      0   6501   1230     35      0  11643      5      0      -      -      0   2623    388 
 20260921    20:28:30       0    138     79      -    100     57      0      0      0      0   6501   1125    100      0  11643      5      0      -      -      0   2929    340 
 20260921    20:28:31       0    138     80      -    100     53      0      0      0      0   6501   1305    100      0  11643      5      0      -      -      0   2444    454 
 20260921    20:28:32       0    137     81      -    100     54      0      0      0      0   6501   1230    100      0  11643      5      0      -      -      0     16      7 
 20260921    20:28:34       0    138     81      -    100     54      0      0      0      0   6501   1290    100      0  11643      5      0      -      -      0     23      7 
 20260921    20:28:35       0    139     82      -    100     54      0      0      0      0   6501   1095    100      0  11643      5      0      -      -      0     28      8 
 20260921    20:28:36       0    139     83      -    100     56      0      0      0      0   6501   1275    100      0  11647     13      0      -      -      0   3899    465 
 20260921    20:28:37       0    139     84      -    100     56      0      0      0      0   6501   1260    100      0  11647     13      0      -      -      0   3619    495 
 20260921    20:28:38       0    139     84      -    100     56      0      0      0      0   6501   1200    100      0  11647     13      0      -      -      0   3900    522 
 20260921    20:28:39       0    138     85      -    100     56      0      0      0      0   6501   1230    100      0  11647     13      0      -      -      0    961    173 
 20260921    20:28:40       0    139     85      -    100     50      0      0      0      0   6501   1200    100      0  11647     13      0      -      -      0   1016    160 
 20260921    20:28:41       0    138     86      -    100     58      0      0      0      0   6501   1095     94      0  11647     13      0      -      -      0     14      7 
 20260921    20:28:42       0    139     86      -    100     53      0      0      0      0   6501   1110    100      0  11647     13      0      -      -      0     14      7 
 20260921    20:28:43       0    139     87      -    100     54      0      0      0      0   6501   1260    100      0  11647     13      0      -      -      0     18      6 
 20260921    20:28:44       0    139     87      -    100     53      0      0      0      0   6501   1200     99      0  11647     13      0      -      -      0    991   6150 
 20260921    20:28:45       0    114     87      -     12      3      0      0      0      0   6501   1260     61      0  11647     13      0      -      -      0   1022    189 
 20260921    20:28:46       0    139     87      -    100     51      0      0      0      0   6501   1230    100      0  11647     13      0      -      -      0   1311    207 
 20260921    20:28:47       0    139     88      -    100     54      0      0      0      0   6501   1080    100      0  11647     13      0      -      -      0    581   4404 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    20:28:48       0    138     88      -    100     46      0      0      0      0   6501   1005     88      0  11649     13      0      -      -      0   1154    105 
 20260921    20:28:49       0    137     89      -    100     47      0      0      0      0   6501   1260    100      0  11649     13      0      -      -      0    399     55 
 20260921    20:28:50       0    139     89      -    100     49      0      0      0      0   6501   1065    100      0  11649     13      0      -      -      0    430     60 
 20260921    20:28:51       0    139     89      -    100     52      0      0      0      0   6501   1125    100      0  11649     13      0      -      -      0   3873    553 
 20260921    20:28:52       0    139     89      -    100     52      0      0      0      0   6501   1425    100      0  11649     13      0      -      -      0   3069   2489 
 20260921    20:28:53       0    138     90      -    100     47      0      0      0      0   6501   1125    100      0  11655     21      0      -      -      0    435     58 
 20260921    20:28:54       0    138     90      -    100     50      0      0      0      0   6501    945    100      0  11655     21      0      -      -      0    434     60 
 20260921    20:28:56       0    139     90      -    100     49      0      0      0      0   6501    990    100      0  11655     21      0      -      -      0    449     63 
 20260921    20:28:57       0    139     91      -    100     52      0      0      0      0   6501   1110    100      0  11655     21      0      -      -      0   1152   2951 
 20260921    20:28:58       0    139     91      -    100     54      0      0      0      0   6501   1110    100      0  11655     21      0      -      -      0    454     62 
 20260921    20:28:59       0    139     91      -    100     95      0      0      0      0   6501    900    100      0  11655     21      0      -      -      0   3736    177 
 20260921    20:29:00       0    138     91      -    100     55      0      0      0      0   6501   1080    100      0  11655     21      0      -      -      0    328     70 
 20260921    20:29:01       0    139     91      -    100     59      0      0      0      0   6501    990    100      0  11655     21      0      -      -      0    408     54 
 20260921    20:29:02       0    139     92      -    100     48      0      0      0      0   6501   1230    100      0  11655     21      0      -      -      0    375     55 
 20260921    20:29:03       0    139     92      -    100     49      0      0      0      0   6501   1110    100      0  11655     21      0      -      -      0    422     60 
 20260921    20:29:04       0    139     92      -    100     47      0      0      0      0   6501   1050    100      0  11655     21      0      -      -      0    612    119 
 20260921    20:29:05       0    133     91      -    100     56      0      0      0      0   6501   1830     90      0  11655     21      0      -      -      0   4456    188 
 20260921    20:29:06       0    134     92      -    100     44      0      0      0      0   6501   1125    100      0  11655     21      0      -      -      0     38     11 
 20260921    20:29:07       0    138     92      -     81     49      0      0      0      0   6501   1140    100      0  11655     21      0      -      -      0   1720    185 
 20260921    20:29:08       0    139     92      -    100     50      0      0      0      0   6501    915    100      0  11655     21      0      -      -      0   1521    201 
 20260921    20:29:09       0    139     93      -    100     49      0      0      0      0   6501    930    100      0  11655     21      0      -      -      0   2129    175 
 20260921    20:29:10       0    139     93      -    100     46      0      0      0      0   6501    900    100      0  11655     21      0      -      -      0    528   1681 
