wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789990083491272234,125409428,208,0,2736,0
1789990084504653467,125416672,212,0,2736,16
1789990085516143478,125401828,212,0,2736,16
1789990086530397860,125402412,244,0,2736,16
1789990087546472102,125404432,12,0,2736,16
1789990088559446103,125047056,28,0,2736,16
1789990089568943173,124893408,32,0,2736,16
1789990090582938628,125150116,32,0,2736,16
1789990091597316690,125166792,124,0,2736,16
1789990092613166701,125182168,124,0,2736,16
1789990093628867303,125190036,128,0,2736,16
1789990094642794997,125151764,128,0,2736,16
1789990095656858520,125064064,132,0,2736,16
1789990096670961368,124995516,704,0,2736,16
1789990097684589437,124852476,704,0,80480,16
1789990098698367314,124733276,708,0,82880,16
1789990099712103544,124729232,720,4,82872,16
1789990100726146289,124704848,720,0,82872,16
1789990101740062454,124696308,204,8,82872,16
1789990102753453442,124697152,200,0,82872,16
1789990103767044874,124490260,204,0,82872,16
1789990104780947699,124427848,212,0,82872,16
1789990105795125690,121329300,212,0,3152232,16
1789990106809201794,116954144,232,0,7516876,16
1789990107823311438,115839068,232,0,8471480,16
1789990108836988920,115799724,260,0,8471480,16
1789990109850578001,115751340,264,0,8471480,16
1789990110864203006,115755108,304,0,8471480,16
1789990111877609412,115755028,308,0,8471480,16
1789990112890585629,115757204,312,0,8471480,16
1789990113903772240,115760184,308,0,8471480,16
1789990114916877313,115762452,312,0,8471480,16
1789990115930145200,115735656,368,0,8471480,16
1789990116943549606,115751040,372,0,8471480,16
1789990117956665096,115750536,372,0,8471480,16
1789990118970028525,115726040,380,0,8471480,16
1789990119983461458,115727748,384,0,8471480,16
1789990120997190681,115701840,504,0,8471480,16
1789990122010888636,115685428,52,0,8471480,16
1789990123024301166,115686292,68,0,8471480,16
1789990124037597616,115686664,72,0,8471480,16
1789990125050800149,115597036,96,0,8471480,16
1789990126064648150,115598440,880,0,8471480,16
1789990127078277329,115604580,876,0,8471480,16
1789990128091762725,115592532,900,0,8471480,16
1789990129105850718,115592160,1032,0,8471480,16
1789990130116668622,115592428,1032,0,8471480,16
1789990131129957564,115592196,1420,0,8471480,16
1789990132143310009,115592460,1420,0,8471480,16
1789990133155349342,115586804,1528,0,8471480,16
1789990134168537578,115591144,1528,0,8471480,16
1789990135181941527,115591144,1528,0,8471480,16
1789990136195456204,115597464,1848,0,8471480,16
1789990137208841707,115604272,1996,0,8471480,16
1789990138222830083,115601176,2044,0,8471480,16
1789990139236723046,115608448,2468,0,8471480,16
1789990140249838973,115612816,2516,0,8471480,16
1789990141263520228,115612652,3044,0,8471480,16
1789990142276881424,115630044,2856,88,8471480,16
1789990143290072741,115633776,2852,0,8471480,16
1789990144303421768,115616228,2992,0,8471480,16
1789990145316852026,115596648,3004,0,8471480,16
1789990146330516578,115597152,3336,0,8471480,16
1789990147343874232,115595744,3220,0,8471480,16
1789990148357333460,115595248,3192,0,8471480,16
1789990149370455229,115594548,3192,0,8471480,16
1789990150384124017,115593800,3184,0,8471480,16
1789990151397586714,115595452,3468,0,8471480,16
1789990152411475594,115597028,3332,0,8471480,16
1789990153424501098,115599820,3204,0,8471480,16
1789990154437930400,115602988,3328,0,8471480,16
1789990155449913481,115605532,3336,0,8471480,16
1789990156463890544,115610444,3976,0,8471480,16
1789990157477906003,115591056,1228,12,8471480,16
1789990158492435230,115594028,1252,0,8471480,16
1789990159508686743,115595908,1284,0,8471480,16
1789990160525084562,115597220,1048,0,8471480,16
1789990161541335894,115600484,1216,0,8471480,16
1789990162557313836,115602692,836,0,8471480,16
1789990163573008837,115593172,444,0,8471480,16
1789990164585674708,115597072,448,0,8471480,16
1789990165598563093,115600436,528,0,8471480,16
1789990166612269845,115570000,628,0,8471480,16
1789990167625887248,115579672,472,8,8471480,16
1789990168639445427,115582788,596,0,8471480,16
1789990169653082733,115580468,596,4,8471480,16
1789990170666711706,115582244,592,0,8471480,16
1789990171680216912,115581492,1252,0,8471480,16
1789990172692951081,115584412,1308,0,8471480,16
1789990173706554152,115586580,1124,0,8471480,16
1789990174720220838,115563864,1132,0,8471480,16
1789990175733806023,115563328,1336,0,8471480,16
1789990176747207202,115563932,1612,0,8471480,16
1789990177760729085,115564012,1628,0,8471480,16
1789990178774296938,115563864,1708,0,8471480,16
1789990179787834251,115565236,1708,0,8471480,16
1789990180801732282,115551276,1508,0,8471480,16
1789990181814919350,115551408,1884,0,8471480,16
1789990182828351775,115553472,2000,0,8471480,16
1789990183841811962,115542336,2032,0,8471480,16
1789990184855426836,115548484,1808,0,8471480,16
1789990185869138238,115556068,1696,0,8471480,16
1789990186883239551,115548416,2312,0,8471488,16
1789990187899237716,115558692,2548,0,8471484,16
1789990188914906400,115561696,628,0,8471480,16
1789990189928391850,115572444,636,0,8471480,16
1789990190941785546,115576404,152,0,8471480,16
1789990191955544439,115556016,280,0,8471480,16
1789990192970401307,115556488,356,0,8471480,16
1789990193983095957,115559516,388,0,8471480,16
1789990194996348944,115556056,468,0,8471480,16
1789990196008410374,115561808,888,0,8471480,16
1789990197021590082,115565620,732,0,8471480,16
1789990198035221428,115562572,744,0,8471480,16
1789990199048636319,115562316,792,0,8471480,16
1789990200062501413,115565084,924,0,8471480,16
1789990201075234819,115567316,1104,0,8471480,16
1789990202088530288,115569996,1000,0,8471480,16
1789990203102034119,115571264,1180,0,8471480,16
1789990204116434486,115563804,1188,0,8471480,16
1789990205128673483,115563760,1200,0,8471480,16
1789990206140120248,115564340,1588,0,8471480,16
1789990207153732370,115562340,1640,0,8471480,16
1789990208167196473,115563784,1452,0,8471480,16
1789990209180687762,115549500,1604,0,8471480,16
1789990210193285538,115548720,1612,0,8471480,16
1789990211206784871,115551176,2032,8,8471480,16
1789990212220646390,115552020,2044,0,8471480,16
1789990213234260460,115550156,2056,0,8471480,16
1789990214247624262,115551768,1892,0,8471480,16
1789990215261063422,115551520,1892,0,8471480,16
1789990216274685642,115552760,2460,0,8471480,16
1789990217288319186,115556224,2464,0,8471480,16
1789990218301999712,115557544,2464,0,8471480,16
1789990219315345791,115559864,2472,0,8471480,16
1789990220328759900,115559444,2344,0,8471480,16
1789990221342499710,115564436,2512,0,8471480,16
1789990222356291744,115567584,2520,0,8471480,16
1789990223369845916,115564828,2536,0,8471480,16
1789990224382276860,115573072,2696,0,8471480,16
1789990225395096764,115577896,76,0,8471480,16
1789990226408521377,115577644,396,0,8471480,16
1789990227421856410,115574744,412,0,8471480,16
1789990228435460803,115574264,420,0,8471480,16
1789990229448892887,115574720,420,0,8471480,16
1789990230462185405,115573420,420,0,8471480,16
1789990231475279123,115574156,420,0,8471480,16
1789990232488751337,115578312,1216,0,8471476,16
1789990233502082135,115576780,1232,0,8471480,16
1789990234515508551,115576096,1240,0,8471480,16
1789990235529648273,115575912,1332,0,8471480,16
1789990236543191658,115574456,1780,0,8471480,16
1789990237556380611,115573956,1276,456,8471480,16
1789990238569936184,115572360,1256,0,8471480,16
1789990239583479581,115572676,1256,0,8471480,16
1789990240595819046,115572788,24,0,8471480,16
1789990241609372439,115571820,44,0,8471480,16
1789990242622338224,115571844,376,0,8471480,16
1789990243637115742,115567488,396,0,8471480,16
1789990244650627329,115567152,400,0,8471480,16
1789990245663485421,115566980,480,0,8471480,16
1789990246676191777,115567120,928,0,8471480,16
1789990247688684183,115565772,944,0,8471480,16
1789990248702430359,115566720,960,0,8471480,16
1789990249716069538,115565724,960,0,8471480,16
1789990250729754088,115564948,964,0,8471480,16
1789990251743396792,115564392,972,0,8471480,16
1789990252756710788,115563132,1304,0,8471480,16
1789990253770370500,115563068,1564,0,8471480,16
1789990254784387010,115562332,1580,0,8471480,16
1789990255800260420,115562156,1588,0,8471480,16
1789990256812736651,115561456,1600,0,8471480,16
1789990257825507431,115561612,1844,0,8471480,16
1789990258839968449,115565172,1724,0,8471480,16
1789990259854403776,115565104,1724,0,8471480,16
1789990260869725060,115563624,1724,0,8471480,16
1789990261885352719,115564080,1732,0,8471480,16
1789990262897988437,115566048,2804,0,8471488,16
1789990263911694695,115551856,2492,176,8471480,16
1789990264927788998,115556860,2496,0,8471480,16
1789990265943819840,115556868,2500,0,8471480,16
1789990266957268983,115557056,2620,0,8471480,16
1789990267970848804,115557044,2620,0,8471480,16
1789990268986757743,115558952,2032,0,8471480,16
1789990270000152352,115558772,2032,0,8471480,16
1789990271013566088,115560172,2040,0,8471480,16
1789990272026880403,115559888,2044,0,8471480,16
1789990273040955900,115558572,2064,0,8471480,16
1789990274055216226,115559480,2076,0,8471480,16
1789990275071153215,115559500,2080,0,8471480,16
1789990276083866685,115560388,412,0,8471480,16
1789990277095515141,115560620,428,0,8471480,16
1789990278108592375,115567824,996,0,8471480,16
1789990279122270272,115567796,996,0,8471480,16
1789990280136180010,115565928,1008,0,8471480,16
1789990281149684128,115566292,1224,0,8471480,16
1789990282163085719,115566292,1228,0,8471480,16
1789990283176301191,115565496,672,0,8471480,16
