timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/21 20:28:02.508, 0 %, 0 %, 1 MiB, 16376 MiB, 25.98 W, 77
2026/09/21 20:28:03.527, 0 %, 0 %, 1 MiB, 16376 MiB, 25.74 W, 77
2026/09/21 20:28:04.527, 0 %, 0 %, 1 MiB, 16376 MiB, 25.48 W, 76
2026/09/21 20:28:05.527, 0 %, 0 %, 1 MiB, 16376 MiB, 25.13 W, 76
2026/09/21 20:28:06.528, 0 %, 0 %, 1 MiB, 16376 MiB, 24.89 W, 75
2026/09/21 20:28:07.528, 0 %, 0 %, 1 MiB, 16376 MiB, 24.66 W, 75
2026/09/21 20:28:08.528, 0 %, 0 %, 1 MiB, 16376 MiB, 24.46 W, 74
2026/09/21 20:28:09.529, 0 %, 0 %, 1 MiB, 16376 MiB, 24.27 W, 74
2026/09/21 20:28:10.529, 0 %, 0 %, 1 MiB, 16376 MiB, 23.99 W, 73
2026/09/21 20:28:11.530, 0 %, 0 %, 1 MiB, 16376 MiB, 23.81 W, 73
2026/09/21 20:28:12.530, 0 %, 0 %, 1 MiB, 16376 MiB, 23.69 W, 73
2026/09/21 20:28:13.530, 0 %, 0 %, 1 MiB, 16376 MiB, 23.56 W, 72
2026/09/21 20:28:14.531, 0 %, 0 %, 1 MiB, 16376 MiB, 23.45 W, 72
2026/09/21 20:28:15.531, 0 %, 0 %, 1 MiB, 16376 MiB, 23.30 W, 72
2026/09/21 20:28:16.531, 0 %, 0 %, 4 MiB, 16376 MiB, 23.17 W, 71
2026/09/21 20:28:17.532, 0 %, 0 %, 281 MiB, 16376 MiB, 35.53 W, 72
2026/09/21 20:28:18.532, 0 %, 0 %, 5803 MiB, 16376 MiB, 48.77 W, 72
2026/09/21 20:28:19.532, 0 %, 0 %, 5803 MiB, 16376 MiB, 48.57 W, 72
2026/09/21 20:28:20.533, 53 %, 2 %, 7833 MiB, 16376 MiB, 60.89 W, 73
2026/09/21 20:28:21.533, 15 %, 16 %, 6901 MiB, 16376 MiB, 75.80 W, 74
2026/09/21 20:28:22.533, 100 %, 56 %, 6901 MiB, 16376 MiB, 119.97 W, 77
2026/09/21 20:28:23.534, 100 %, 62 %, 6901 MiB, 16376 MiB, 137.70 W, 78
2026/09/21 20:28:24.535, 100 %, 58 %, 6917 MiB, 16376 MiB, 109.86 W, 76
2026/09/21 20:28:25.535, 0 %, 0 %, 11627 MiB, 16376 MiB, 71.26 W, 76
2026/09/21 20:28:26.536, 0 %, 0 %, 11627 MiB, 16376 MiB, 61.42 W, 75
2026/09/21 20:28:27.536, 0 %, 0 %, 11695 MiB, 16376 MiB, 50.21 W, 75
2026/09/21 20:28:28.537, 8 %, 1 %, 11643 MiB, 16376 MiB, 59.90 W, 75
2026/09/21 20:28:29.537, 0 %, 0 %, 11643 MiB, 16376 MiB, 64.35 W, 75
2026/09/21 20:28:30.538, 100 %, 57 %, 11643 MiB, 16376 MiB, 98.76 W, 79
2026/09/21 20:28:31.538, 100 %, 57 %, 11643 MiB, 16376 MiB, 138.67 W, 80
2026/09/21 20:28:32.538, 100 %, 53 %, 11643 MiB, 16376 MiB, 139.04 W, 80
2026/09/21 20:28:33.538, 100 %, 54 %, 11643 MiB, 16376 MiB, 137.54 W, 81
2026/09/21 20:28:34.539, 100 %, 54 %, 11643 MiB, 16376 MiB, 138.85 W, 82
2026/09/21 20:28:35.539, 100 %, 54 %, 11647 MiB, 16376 MiB, 139.49 W, 82
2026/09/21 20:28:36.539, 100 %, 56 %, 11647 MiB, 16376 MiB, 138.46 W, 83
2026/09/21 20:28:37.540, 100 %, 56 %, 11647 MiB, 16376 MiB, 139.02 W, 84
2026/09/21 20:28:38.540, 100 %, 56 %, 11647 MiB, 16376 MiB, 139.26 W, 84
2026/09/21 20:28:39.540, 100 %, 56 %, 11647 MiB, 16376 MiB, 138.34 W, 85
2026/09/21 20:28:40.540, 100 %, 50 %, 11647 MiB, 16376 MiB, 139.52 W, 85
2026/09/21 20:28:41.541, 100 %, 58 %, 11647 MiB, 16376 MiB, 138.40 W, 86
2026/09/21 20:28:42.541, 100 %, 53 %, 11647 MiB, 16376 MiB, 139.56 W, 86
2026/09/21 20:28:43.542, 100 %, 54 %, 11647 MiB, 16376 MiB, 139.30 W, 87
2026/09/21 20:28:44.542, 100 %, 53 %, 11647 MiB, 16376 MiB, 139.86 W, 87
2026/09/21 20:28:45.542, 12 %, 3 %, 11647 MiB, 16376 MiB, 114.86 W, 87
2026/09/21 20:28:46.543, 100 %, 51 %, 11647 MiB, 16376 MiB, 139.18 W, 87
2026/09/21 20:28:47.543, 100 %, 48 %, 11647 MiB, 16376 MiB, 139.55 W, 88
2026/09/21 20:28:48.543, 100 %, 54 %, 11649 MiB, 16376 MiB, 138.35 W, 88
2026/09/21 20:28:49.544, 100 %, 46 %, 11649 MiB, 16376 MiB, 137.99 W, 88
2026/09/21 20:28:50.544, 100 %, 47 %, 11649 MiB, 16376 MiB, 139.02 W, 89
2026/09/21 20:28:51.544, 100 %, 49 %, 11649 MiB, 16376 MiB, 139.58 W, 89
2026/09/21 20:28:52.545, 100 %, 52 %, 11649 MiB, 16376 MiB, 139.49 W, 89
2026/09/21 20:28:53.545, 100 %, 52 %, 11655 MiB, 16376 MiB, 139.13 W, 90
2026/09/21 20:28:54.545, 100 %, 47 %, 11655 MiB, 16376 MiB, 140.10 W, 90
2026/09/21 20:28:55.545, 100 %, 50 %, 11655 MiB, 16376 MiB, 139.76 W, 90
2026/09/21 20:28:56.546, 100 %, 49 %, 11655 MiB, 16376 MiB, 139.79 W, 90
2026/09/21 20:28:57.546, 100 %, 52 %, 11655 MiB, 16376 MiB, 139.73 W, 91
2026/09/21 20:28:58.546, 100 %, 54 %, 11655 MiB, 16376 MiB, 139.65 W, 91
2026/09/21 20:28:59.547, 100 %, 95 %, 11655 MiB, 16376 MiB, 139.65 W, 91
2026/09/21 20:29:00.547, 100 %, 55 %, 11655 MiB, 16376 MiB, 138.96 W, 91
2026/09/21 20:29:01.547, 100 %, 59 %, 11655 MiB, 16376 MiB, 139.19 W, 91
2026/09/21 20:29:02.548, 100 %, 48 %, 11655 MiB, 16376 MiB, 139.29 W, 92
2026/09/21 20:29:03.548, 100 %, 49 %, 11655 MiB, 16376 MiB, 139.82 W, 92
2026/09/21 20:29:04.548, 100 %, 47 %, 11655 MiB, 16376 MiB, 139.60 W, 92
2026/09/21 20:29:05.549, 100 %, 56 %, 11655 MiB, 16376 MiB, 133.29 W, 91
2026/09/21 20:29:06.549, 100 %, 44 %, 11655 MiB, 16376 MiB, 134.57 W, 92
2026/09/21 20:29:07.549, 81 %, 49 %, 11655 MiB, 16376 MiB, 138.66 W, 92
2026/09/21 20:29:08.550, 100 %, 49 %, 11655 MiB, 16376 MiB, 139.53 W, 92
2026/09/21 20:29:09.550, 100 %, 50 %, 11655 MiB, 16376 MiB, 139.82 W, 92
2026/09/21 20:29:10.550, 100 %, 49 %, 11655 MiB, 16376 MiB, 139.76 W, 93
2026/09/21 20:29:11.550, 100 %, 46 %, 11655 MiB, 16376 MiB, 139.95 W, 93
2026/09/21 20:29:12.551, 100 %, 49 %, 11655 MiB, 16376 MiB, 139.57 W, 93
2026/09/21 20:29:13.551, 100 %, 51 %, 11655 MiB, 16376 MiB, 139.23 W, 93
2026/09/21 20:29:14.551, 100 %, 48 %, 11655 MiB, 16376 MiB, 139.67 W, 93
2026/09/21 20:29:15.552, 100 %, 49 %, 11655 MiB, 16376 MiB, 139.78 W, 93
2026/09/21 20:29:16.552, 100 %, 55 %, 11655 MiB, 16376 MiB, 138.69 W, 93
