timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/21 20:22:23.848, 0 %, 0 %, 1 MiB, 16376 MiB, 24.75 W, 75
2026/09/21 20:22:24.866, 0 %, 0 %, 1 MiB, 16376 MiB, 24.52 W, 74
2026/09/21 20:22:25.866, 0 %, 0 %, 1 MiB, 16376 MiB, 24.28 W, 74
2026/09/21 20:22:26.867, 0 %, 0 %, 1 MiB, 16376 MiB, 24.03 W, 74
2026/09/21 20:22:27.867, 0 %, 0 %, 1 MiB, 16376 MiB, 23.81 W, 73
2026/09/21 20:22:28.867, 0 %, 0 %, 1 MiB, 16376 MiB, 23.63 W, 72
2026/09/21 20:22:29.868, 0 %, 0 %, 1 MiB, 16376 MiB, 23.52 W, 72
2026/09/21 20:22:30.868, 0 %, 0 %, 1 MiB, 16376 MiB, 23.42 W, 71
2026/09/21 20:22:31.868, 0 %, 0 %, 1 MiB, 16376 MiB, 23.31 W, 71
2026/09/21 20:22:32.869, 0 %, 0 %, 1 MiB, 16376 MiB, 23.22 W, 71
2026/09/21 20:22:33.869, 0 %, 0 %, 1 MiB, 16376 MiB, 23.12 W, 70
2026/09/21 20:22:34.870, 0 %, 0 %, 1 MiB, 16376 MiB, 22.98 W, 70
2026/09/21 20:22:35.870, 0 %, 0 %, 1 MiB, 16376 MiB, 22.70 W, 69
2026/09/21 20:22:36.871, 0 %, 0 %, 1 MiB, 16376 MiB, 22.56 W, 69
2026/09/21 20:22:37.871, 0 %, 0 %, 4 MiB, 16376 MiB, 22.47 W, 69
2026/09/21 20:22:38.871, 0 %, 0 %, 169 MiB, 16376 MiB, 28.32 W, 69
2026/09/21 20:22:39.872, 2 %, 0 %, 5803 MiB, 16376 MiB, 46.51 W, 69
2026/09/21 20:22:40.872, 0 %, 0 %, 5803 MiB, 16376 MiB, 46.56 W, 69
2026/09/21 20:22:41.872, 53 %, 2 %, 7753 MiB, 16376 MiB, 54.86 W, 70
2026/09/21 20:22:42.873, 22 %, 3 %, 6901 MiB, 16376 MiB, 73.88 W, 71
2026/09/21 20:22:43.873, 100 %, 63 %, 6901 MiB, 16376 MiB, 107.65 W, 74
2026/09/21 20:22:44.873, 100 %, 62 %, 6901 MiB, 16376 MiB, 138.24 W, 75
2026/09/21 20:22:45.873, 100 %, 61 %, 6917 MiB, 16376 MiB, 115.10 W, 73
2026/09/21 20:22:46.874, 0 %, 0 %, 11627 MiB, 16376 MiB, 50.50 W, 72
2026/09/21 20:22:47.874, 0 %, 0 %, 11627 MiB, 16376 MiB, 49.08 W, 71
2026/09/21 20:22:48.875, 0 %, 0 %, 11643 MiB, 16376 MiB, 48.93 W, 71
2026/09/21 20:22:49.876, 0 %, 0 %, 11643 MiB, 16376 MiB, 52.55 W, 72
2026/09/21 20:22:50.876, 0 %, 0 %, 11643 MiB, 16376 MiB, 62.44 W, 71
2026/09/21 20:22:51.877, 0 %, 0 %, 11643 MiB, 16376 MiB, 87.50 W, 75
2026/09/21 20:22:52.877, 100 %, 51 %, 11643 MiB, 16376 MiB, 138.30 W, 76
2026/09/21 20:22:53.877, 100 %, 52 %, 11643 MiB, 16376 MiB, 138.15 W, 77
2026/09/21 20:22:54.878, 100 %, 54 %, 11643 MiB, 16376 MiB, 137.33 W, 78
2026/09/21 20:22:55.878, 100 %, 57 %, 11643 MiB, 16376 MiB, 139.23 W, 78
2026/09/21 20:22:56.878, 100 %, 54 %, 11647 MiB, 16376 MiB, 139.05 W, 79
2026/09/21 20:22:57.879, 100 %, 55 %, 11647 MiB, 16376 MiB, 139.10 W, 80
2026/09/21 20:22:58.879, 100 %, 57 %, 11647 MiB, 16376 MiB, 138.98 W, 80
2026/09/21 20:22:59.879, 100 %, 57 %, 11647 MiB, 16376 MiB, 139.18 W, 81
2026/09/21 20:23:00.879, 100 %, 56 %, 11647 MiB, 16376 MiB, 138.68 W, 82
2026/09/21 20:23:01.880, 100 %, 58 %, 11647 MiB, 16376 MiB, 139.10 W, 82
2026/09/21 20:23:02.880, 100 %, 55 %, 11647 MiB, 16376 MiB, 134.88 W, 83
2026/09/21 20:23:03.880, 100 %, 57 %, 11647 MiB, 16376 MiB, 139.11 W, 83
2026/09/21 20:23:04.881, 100 %, 56 %, 11647 MiB, 16376 MiB, 139.48 W, 84
2026/09/21 20:23:05.881, 100 %, 55 %, 11647 MiB, 16376 MiB, 139.08 W, 84
2026/09/21 20:23:06.881, 9 %, 3 %, 11647 MiB, 16376 MiB, 115.20 W, 84
2026/09/21 20:23:07.882, 100 %, 57 %, 11647 MiB, 16376 MiB, 138.64 W, 85
2026/09/21 20:23:08.882, 100 %, 57 %, 11649 MiB, 16376 MiB, 139.86 W, 85
2026/09/21 20:23:09.882, 80 %, 80 %, 11649 MiB, 16376 MiB, 137.83 W, 86
2026/09/21 20:23:10.883, 100 %, 50 %, 11649 MiB, 16376 MiB, 137.98 W, 86
2026/09/21 20:23:11.883, 100 %, 51 %, 11649 MiB, 16376 MiB, 138.99 W, 86
2026/09/21 20:23:12.883, 100 %, 50 %, 11649 MiB, 16376 MiB, 139.34 W, 86
2026/09/21 20:23:13.883, 100 %, 55 %, 11649 MiB, 16376 MiB, 139.69 W, 87
2026/09/21 20:23:14.884, 100 %, 94 %, 11655 MiB, 16376 MiB, 139.51 W, 87
2026/09/21 20:23:15.884, 100 %, 50 %, 11655 MiB, 16376 MiB, 138.75 W, 87
2026/09/21 20:23:16.884, 100 %, 53 %, 11655 MiB, 16376 MiB, 139.80 W, 88
2026/09/21 20:23:17.885, 100 %, 50 %, 11655 MiB, 16376 MiB, 139.34 W, 88
2026/09/21 20:23:18.885, 100 %, 51 %, 11655 MiB, 16376 MiB, 139.30 W, 88
2026/09/21 20:23:19.885, 100 %, 50 %, 11655 MiB, 16376 MiB, 138.46 W, 88
2026/09/21 20:23:20.886, 100 %, 56 %, 11655 MiB, 16376 MiB, 138.33 W, 88
2026/09/21 20:23:21.886, 100 %, 54 %, 11655 MiB, 16376 MiB, 139.23 W, 89
2026/09/21 20:23:22.886, 100 %, 52 %, 11655 MiB, 16376 MiB, 139.21 W, 89
2026/09/21 20:23:23.887, 100 %, 52 %, 11655 MiB, 16376 MiB, 139.33 W, 89
2026/09/21 20:23:24.887, 100 %, 51 %, 11655 MiB, 16376 MiB, 139.23 W, 89
2026/09/21 20:23:25.887, 100 %, 60 %, 11655 MiB, 16376 MiB, 139.68 W, 89
2026/09/21 20:23:26.887, 100 %, 46 %, 11655 MiB, 16376 MiB, 139.99 W, 90
2026/09/21 20:23:27.888, 72 %, 45 %, 11655 MiB, 16376 MiB, 138.94 W, 90
2026/09/21 20:23:28.888, 100 %, 54 %, 11655 MiB, 16376 MiB, 139.78 W, 90
2026/09/21 20:23:29.888, 100 %, 52 %, 11655 MiB, 16376 MiB, 139.73 W, 90
2026/09/21 20:23:30.889, 100 %, 51 %, 11655 MiB, 16376 MiB, 139.77 W, 90
2026/09/21 20:23:31.889, 100 %, 55 %, 11655 MiB, 16376 MiB, 139.67 W, 90
2026/09/21 20:23:32.889, 100 %, 54 %, 11655 MiB, 16376 MiB, 139.62 W, 90
2026/09/21 20:23:33.890, 100 %, 52 %, 11655 MiB, 16376 MiB, 139.51 W, 91
2026/09/21 20:23:34.890, 100 %, 52 %, 11655 MiB, 16376 MiB, 139.60 W, 91
2026/09/21 20:23:35.890, 100 %, 50 %, 11655 MiB, 16376 MiB, 139.91 W, 91
2026/09/21 20:23:36.891, 86 %, 44 %, 11655 MiB, 16376 MiB, 136.91 W, 91
2026/09/21 20:23:37.891, 100 %, 20 %, 11655 MiB, 16376 MiB, 132.69 W, 91
2026/09/21 20:23:38.891, 13 %, 14 %, 11655 MiB, 16376 MiB, 107.14 W, 89
2026/09/21 20:23:39.892, 0 %, 0 %, 11655 MiB, 16376 MiB, 87.46 W, 89
2026/09/21 20:23:40.892, 0 %, 0 %, 11655 MiB, 16376 MiB, 77.28 W, 88
2026/09/21 20:23:41.892, 0 %, 0 %, 11655 MiB, 16376 MiB, 68.10 W, 87
2026/09/21 20:23:42.893, 0 %, 0 %, 11655 MiB, 16376 MiB, 58.47 W, 86
2026/09/21 20:23:43.893, 7 %, 1 %, 11655 MiB, 16376 MiB, 83.57 W, 88
2026/09/21 20:23:44.893, 100 %, 43 %, 11655 MiB, 16376 MiB, 138.61 W, 89
2026/09/21 20:23:45.894, 100 %, 47 %, 11655 MiB, 16376 MiB, 139.09 W, 89
2026/09/21 20:23:46.894, 100 %, 47 %, 11655 MiB, 16376 MiB, 139.72 W, 89
2026/09/21 20:23:47.894, 100 %, 48 %, 11655 MiB, 16376 MiB, 138.51 W, 90
2026/09/21 20:23:48.894, 100 %, 49 %, 11655 MiB, 16376 MiB, 138.22 W, 89
2026/09/21 20:23:49.895, 100 %, 46 %, 11655 MiB, 16376 MiB, 139.15 W, 90
2026/09/21 20:23:50.895, 100 %, 53 %, 11655 MiB, 16376 MiB, 140.01 W, 90
2026/09/21 20:23:51.895, 100 %, 44 %, 11655 MiB, 16376 MiB, 139.37 W, 90
2026/09/21 20:23:52.896, 100 %, 49 %, 11655 MiB, 16376 MiB, 139.43 W, 90
2026/09/21 20:23:53.896, 100 %, 48 %, 11655 MiB, 16376 MiB, 139.03 W, 90
2026/09/21 20:23:54.896, 100 %, 51 %, 11655 MiB, 16376 MiB, 139.60 W, 90
2026/09/21 20:23:55.897, 100 %, 56 %, 11655 MiB, 16376 MiB, 139.38 W, 91
2026/09/21 20:23:56.897, 100 %, 52 %, 11655 MiB, 16376 MiB, 139.56 W, 91
2026/09/21 20:23:57.897, 100 %, 53 %, 11655 MiB, 16376 MiB, 139.84 W, 91
2026/09/21 20:23:58.897, 100 %, 54 %, 11655 MiB, 16376 MiB, 139.83 W, 91
2026/09/21 20:23:59.898, 98 %, 69 %, 11655 MiB, 16376 MiB, 139.35 W, 91
2026/09/21 20:24:00.898, 41 %, 27 %, 11655 MiB, 16376 MiB, 137.03 W, 91
2026/09/21 20:24:01.898, 100 %, 50 %, 11655 MiB, 16376 MiB, 138.84 W, 92
2026/09/21 20:24:02.899, 100 %, 42 %, 11655 MiB, 16376 MiB, 139.15 W, 92
2026/09/21 20:24:03.899, 35 %, 29 %, 11655 MiB, 16376 MiB, 117.89 W, 90
2026/09/21 20:24:04.899, 100 %, 51 %, 11655 MiB, 16376 MiB, 125.75 W, 92
2026/09/21 20:24:05.899, 58 %, 58 %, 11655 MiB, 16376 MiB, 108.55 W, 90
2026/09/21 20:24:06.900, 100 %, 68 %, 11655 MiB, 16376 MiB, 107.07 W, 90
