wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789980186650560802,125652972,44,0,2728,0
1789980187664062695,125608564,48,0,2728,0
1789980188676366433,125557040,16,0,2728,16
1789980189690601194,125557284,80,0,2728,16
1789980190706203878,125541560,84,0,2728,16
1789980191719007599,125272620,84,0,2728,16
1789980192727908790,125160288,88,0,2728,16
1789980193742115004,125641424,116,0,2728,16
1789980194756886016,125649560,44,0,2728,16
1789980195772314018,125629560,608,0,2728,16
1789980196786785600,125478412,100,0,2728,16
1789980197802536256,125381848,80,0,2728,16
1789980198816593603,125324996,72,0,2728,16
1789980199830869426,125224100,88,0,10792,16
1789980200844418424,125041840,88,0,82568,16
1789980201857918541,125029164,48,0,82872,16
1789980202872066112,125028376,56,0,82864,16
1789980203886031842,124990640,56,0,82864,16
1789980204899827269,124975504,132,20,82864,16
1789980205913347666,124975004,140,0,82864,16
1789980206926920477,124703216,144,0,82864,16
1789980207940814297,124697428,152,0,82864,16
1789980208954671060,120313428,52,0,4443552,16
1789980209968700203,116187280,16,0,8471472,16
1789980210982469450,116118484,36,0,8471472,16
1789980211996211006,116074048,60,0,8471472,16
1789980213009545702,116073544,60,0,8471472,16
1789980214022702021,116073816,144,0,8471472,16
1789980215036166967,116073316,152,0,8471472,16
1789980216049449095,116072092,104,0,8471472,16
1789980217062755632,116072896,112,0,8471472,16
1789980218076404796,115912556,140,0,8471472,16
1789980219089669312,115917532,72,0,8471472,16
1789980220103574496,115924840,76,0,8471472,16
1789980221116856674,115929668,68,0,8471472,16
1789980222130217471,115935496,44,0,8471472,16
1789980223143089341,115941324,48,0,8471472,16
1789980224156419760,115929768,548,0,8471472,16
1789980225169674073,115938316,560,0,8471472,16
1789980226183171467,115948824,1108,0,8471472,16
1789980227196669494,115951840,1144,0,8471472,16
1789980228209381532,115952848,1164,0,8471472,16
1789980229223100101,115952196,636,0,8471472,16
1789980230236609274,115954256,632,0,8471472,16
1789980231249929594,115961548,20,0,8471472,16
1789980232263280314,115967340,68,0,8471472,16
1789980233277066402,115972024,84,0,8471472,16
1789980234289953464,115977484,664,0,8471472,16
1789980235302312096,115980328,648,0,8471472,16
1789980236318120448,115984308,592,0,8471472,16
1789980237333199443,115988064,608,0,8471472,16
1789980238348328300,115991248,620,0,8471472,16
1789980239361931275,115993168,48,0,8471472,16
1789980240375037577,115996224,52,0,8471472,16
1789980241388558016,115998236,64,0,8471472,16
1789980242402436612,115967480,52,0,8471472,16
1789980243416496838,115966768,52,0,8471472,16
1789980244430109280,115968416,608,0,8471472,16
1789980245443843440,115970152,620,0,8471472,16
1789980246457133089,115970640,624,0,8471472,16
1789980247470136216,115970144,572,12,8471472,16
1789980248483466855,115974472,608,0,8471472,16
1789980249496621198,115974604,56,0,8471472,16
