timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/21 17:43:05.665, 0 %, 0 %, 1 MiB, 16376 MiB, 24.58 W, 75
2026/09/21 17:43:06.686, 0 %, 0 %, 1 MiB, 16376 MiB, 24.41 W, 75
2026/09/21 17:43:07.686, 0 %, 0 %, 1 MiB, 16376 MiB, 24.20 W, 74
2026/09/21 17:43:08.686, 0 %, 0 %, 1 MiB, 16376 MiB, 23.94 W, 74
2026/09/21 17:43:09.686, 0 %, 0 %, 1 MiB, 16376 MiB, 23.74 W, 73
2026/09/21 17:43:10.687, 0 %, 0 %, 1 MiB, 16376 MiB, 23.55 W, 73
2026/09/21 17:43:11.687, 0 %, 0 %, 1 MiB, 16376 MiB, 23.39 W, 72
2026/09/21 17:43:12.687, 0 %, 0 %, 1 MiB, 16376 MiB, 23.24 W, 71
2026/09/21 17:43:13.688, 0 %, 0 %, 1 MiB, 16376 MiB, 23.09 W, 71
2026/09/21 17:43:14.688, 0 %, 0 %, 1 MiB, 16376 MiB, 22.96 W, 71
2026/09/21 17:43:15.688, 0 %, 0 %, 1 MiB, 16376 MiB, 22.78 W, 70
2026/09/21 17:43:16.689, 0 %, 0 %, 1 MiB, 16376 MiB, 22.68 W, 70
2026/09/21 17:43:17.689, 0 %, 0 %, 1 MiB, 16376 MiB, 22.56 W, 69
2026/09/21 17:43:18.689, 0 %, 0 %, 1 MiB, 16376 MiB, 22.37 W, 69
2026/09/21 17:43:19.690, 0 %, 0 %, 169 MiB, 16376 MiB, 22.19 W, 69
2026/09/21 17:43:20.690, 0 %, 0 %, 281 MiB, 16376 MiB, 37.89 W, 69
2026/09/21 17:43:21.691, 0 %, 0 %, 5803 MiB, 16376 MiB, 46.11 W, 69
2026/09/21 17:43:22.691, 0 %, 0 %, 6371 MiB, 16376 MiB, 46.05 W, 69
2026/09/21 17:43:23.691, 41 %, 3 %, 7833 MiB, 16376 MiB, 63.18 W, 71
2026/09/21 17:43:24.692, 0 %, 0 %, 6901 MiB, 16376 MiB, 72.68 W, 71
2026/09/21 17:43:25.692, 100 %, 65 %, 6901 MiB, 16376 MiB, 132.56 W, 74
2026/09/21 17:43:26.692, 100 %, 64 %, 6917 MiB, 16376 MiB, 138.76 W, 75
2026/09/21 17:43:27.692, 10 %, 10 %, 6917 MiB, 16376 MiB, 94.17 W, 73
2026/09/21 17:43:28.693, 0 %, 0 %, 9271 MiB, 16376 MiB, 69.14 W, 73
2026/09/21 17:43:29.693, 0 %, 0 %, 9271 MiB, 16376 MiB, 57.33 W, 72
2026/09/21 17:43:30.694, 0 %, 0 %, 9287 MiB, 16376 MiB, 47.63 W, 71
2026/09/21 17:43:31.694, 60 %, 50 %, 9287 MiB, 16376 MiB, 56.19 W, 71
2026/09/21 17:43:32.694, 60 %, 40 %, 9287 MiB, 16376 MiB, 95.16 W, 75
2026/09/21 17:43:33.694, 100 %, 59 %, 9287 MiB, 16376 MiB, 139.10 W, 76
2026/09/21 17:43:34.695, 100 %, 58 %, 9287 MiB, 16376 MiB, 138.63 W, 77
2026/09/21 17:43:35.696, 100 %, 47 %, 9291 MiB, 16376 MiB, 137.88 W, 77
2026/09/21 17:43:36.696, 100 %, 50 %, 9291 MiB, 16376 MiB, 137.95 W, 78
2026/09/21 17:43:37.696, 100 %, 50 %, 9291 MiB, 16376 MiB, 136.20 W, 79
2026/09/21 17:43:38.697, 71 %, 42 %, 9291 MiB, 16376 MiB, 136.89 W, 80
2026/09/21 17:43:39.697, 100 %, 50 %, 9291 MiB, 16376 MiB, 138.20 W, 80
2026/09/21 17:43:40.697, 100 %, 50 %, 9291 MiB, 16376 MiB, 138.54 W, 81
2026/09/21 17:43:41.698, 48 %, 33 %, 9291 MiB, 16376 MiB, 135.75 W, 81
2026/09/21 17:43:42.698, 100 %, 50 %, 9291 MiB, 16376 MiB, 138.81 W, 82
2026/09/21 17:43:43.698, 100 %, 56 %, 9291 MiB, 16376 MiB, 138.81 W, 83
2026/09/21 17:43:44.698, 100 %, 47 %, 9291 MiB, 16376 MiB, 139.15 W, 83
2026/09/21 17:43:45.699, 100 %, 48 %, 9291 MiB, 16376 MiB, 139.17 W, 83
2026/09/21 17:43:46.699, 100 %, 46 %, 9291 MiB, 16376 MiB, 138.62 W, 84
2026/09/21 17:43:47.699, 100 %, 58 %, 9297 MiB, 16376 MiB, 139.42 W, 84
2026/09/21 17:43:48.700, 100 %, 61 %, 9297 MiB, 16376 MiB, 139.37 W, 84
2026/09/21 17:43:49.700, 100 %, 56 %, 9297 MiB, 16376 MiB, 138.80 W, 85
2026/09/21 17:43:50.700, 100 %, 51 %, 9297 MiB, 16376 MiB, 137.49 W, 85
2026/09/21 17:43:51.701, 100 %, 51 %, 9297 MiB, 16376 MiB, 139.02 W, 86
2026/09/21 17:43:52.701, 100 %, 51 %, 9299 MiB, 16376 MiB, 135.55 W, 85
2026/09/21 17:43:53.701, 100 %, 58 %, 9299 MiB, 16376 MiB, 136.32 W, 86
2026/09/21 17:43:54.702, 100 %, 54 %, 9299 MiB, 16376 MiB, 137.92 W, 86
2026/09/21 17:43:55.702, 73 %, 65 %, 9299 MiB, 16376 MiB, 112.71 W, 85
2026/09/21 17:43:56.702, 0 %, 0 %, 9299 MiB, 16376 MiB, 83.99 W, 85
2026/09/21 17:43:57.703, 0 %, 0 %, 9299 MiB, 16376 MiB, 72.39 W, 83
2026/09/21 17:43:58.703, 100 %, 46 %, 9299 MiB, 16376 MiB, 105.12 W, 86
2026/09/21 17:43:59.703, 100 %, 48 %, 9299 MiB, 16376 MiB, 138.29 W, 87
2026/09/21 17:44:00.704, 100 %, 47 %, 9299 MiB, 16376 MiB, 138.88 W, 87
2026/09/21 17:44:01.704, 100 %, 46 %, 9299 MiB, 16376 MiB, 137.62 W, 87
2026/09/21 17:44:02.704, 100 %, 47 %, 9299 MiB, 16376 MiB, 138.71 W, 88
2026/09/21 17:44:03.705, 100 %, 53 %, 9299 MiB, 16376 MiB, 138.68 W, 88
2026/09/21 17:44:04.705, 100 %, 52 %, 9299 MiB, 16376 MiB, 138.86 W, 88
2026/09/21 17:44:05.705, 100 %, 73 %, 9299 MiB, 16376 MiB, 139.00 W, 88
2026/09/21 17:44:06.705, 100 %, 47 %, 9299 MiB, 16376 MiB, 138.61 W, 88
2026/09/21 17:44:07.706, 100 %, 45 %, 9299 MiB, 16376 MiB, 139.18 W, 89
2026/09/21 17:44:08.706, 100 %, 52 %, 9299 MiB, 16376 MiB, 139.09 W, 89
