wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789978928384344891,0.0,0.0,0.00,0.00,0
1789978929396678925,0.0,0.0,0.00,0.00,0
1789978930405179395,0.0,0.0,13.00,0.00,0
1789978931419247059,0.0,0.1,0.00,5.67,0
1789978932435125428,0.0,0.0,0.00,14.00,0
1789978933451097880,0.0,0.0,0.00,0.00,0
1789978934466943288,0.0,0.0,0.00,0.00,0
1789978935482557463,0.0,0.6,0.00,0.82,0
1789978936496085050,0.0,0.1,0.00,5.33,0
1789978937509896403,0.0,0.0,0.00,14.00,0
1789978938525591399,0.0,0.0,0.00,0.00,0
1789978939541330505,0.0,0.0,0.00,0.00,0
1789978940556901899,0.0,0.0,0.00,0.00,0
1789978941570623839,0.0,0.1,0.00,5.33,0
1789978942584614665,0.0,0.0,0.00,13.86,0
1789978943598600194,0.0,0.0,0.00,0.00,0
1789978944613033855,0.0,0.0,0.00,0.00,0
1789978945626563509,0.0,0.0,0.00,0.00,0
1789978946640431801,0.0,0.1,0.00,4.25,0
1789978947654539659,0.0,0.0,0.00,13.86,0
1789978948668375175,0.0,0.0,0.00,0.00,0
1789978949682084531,0.0,0.0,0.00,0.00,0
1789978950695394217,0.0,0.0,0.00,13.50,0
1789978951708511775,0.0,0.1,0.00,5.67,0
1789978952722095824,0.0,0.2,0.00,5.16,0
1789978953735731934,0.0,0.0,0.00,14.00,0
1789978954749011580,0.0,0.0,0.00,0.00,0
1789978955762244887,0.0,0.0,0.00,0.00,0
1789978956776163492,0.0,0.1,0.00,5.67,0
1789978957792023426,0.0,0.0,0.00,0.00,0
1789978958807879955,0.0,0.1,0.00,11.10,0
1789978959823708598,0.0,0.0,0.00,0.00,0
1789978960838808441,0.0,0.0,0.00,0.00,0
1789978961854552227,0.0,0.1,0.00,5.33,0
1789978962869988731,0.0,0.0,0.00,0.00,0
1789978963885423978,0.0,0.0,0.00,14.00,0
1789978964901116149,0.0,0.0,0.00,0.00,0
1789978965917537816,0.0,0.0,0.00,0.00,0
1789978966930989380,0.0,0.1,0.00,5.67,0
1789978967944184569,0.0,0.0,0.00,0.00,0
1789978968957549645,0.0,0.0,0.00,0.00,0
1789978969970806758,0.0,0.0,0.00,13.67,0
1789978970983752340,0.0,0.5,0.00,0.91,0
1789978971996966139,0.0,0.0,0.00,5.67,0
1789978973010247676,0.0,0.0,0.00,0.00,0
1789978974023244477,0.0,0.0,0.00,0.00,0
1789978975037305903,0.0,0.1,0.00,13.88,0
1789978976053462363,0.0,0.0,0.00,0.00,0
1789978977069395570,0.0,0.0,0.00,5.67,0
1789978978084716509,0.0,0.0,0.00,0.00,0
1789978979097930187,0.0,0.0,0.00,0.00,0
1789978980111321691,0.0,0.0,0.00,13.80,0
1789978981125097972,0.0,0.0,0.00,0.00,0
1789978982141393032,4.4,0.0,0.34,5.67,0
1789978983157349453,0.0,0.0,0.00,0.00,0
1789978984173222586,0.0,0.0,0.00,0.00,0
1789978985188348722,0.0,0.1,0.00,11.10,0
1789978986203999866,0.0,0.0,0.00,0.00,0
1789978987219485210,0.0,0.1,0.00,8.54,0
1789978988235014019,0.0,0.0,0.00,0.00,0
1789978989251188279,0.0,0.0,0.00,0.00,0
1789978990266649401,0.1,0.0,14.00,0.00,0
1789978991280727476,0.0,0.0,0.00,14.00,0
1789978992297011015,0.0,0.0,0.00,5.67,0
1789978993313025788,0.0,0.0,0.00,0.00,0
1789978994328766671,0.0,0.0,0.00,0.00,0
1789978995344258761,0.0,0.0,0.00,0.00,0
1789978996359910150,0.0,0.1,0.00,10.00,0
1789978997375666463,0.0,0.0,0.00,5.67,0
1789978998391219567,0.0,0.0,0.00,0.00,0
1789978999406960138,0.0,0.0,0.00,0.00,0
1789979000422157124,0.0,0.0,0.00,0.00,0
1789979001437906479,0.0,0.1,0.00,11.00,0
1789979002453848802,0.0,0.0,0.00,0.00,0
1789979003469328374,0.0,0.0,0.00,0.00,0
1789979004485155080,0.0,0.0,0.00,0.00,0
1789979005500726404,0.0,0.0,0.00,0.00,0
1789979006516435583,0.0,0.1,0.00,1.55,0
1789979007532188938,0.0,0.0,0.00,0.00,0
1789979008546892536,0.0,0.0,0.00,0.00,0
1789979009559552945,0.0,0.0,0.00,0.00,0
1789979010575770324,0.0,0.0,0.00,0.00,0
1789979011591493225,0.0,0.0,0.00,5.67,0
1789979012606674602,0.0,0.1,0.00,1.00,0
1789979013621866617,0.0,0.0,0.00,0.00,0
1789979014637700138,0.0,0.0,0.00,0.00,0
1789979015653136741,0.0,0.0,0.00,0.00,0
1789979016668969204,0.0,0.1,0.00,5.67,0
1789979017684510829,0.0,0.0,0.00,0.00,0
1789979018699857586,0.0,0.0,0.00,13.80,0
1789979019715398364,0.0,0.0,0.00,0.00,0
1789979020730845511,0.0,0.0,0.00,0.00,0
1789979021746391209,0.0,0.0,0.00,5.67,0
1789979022761843190,0.0,0.1,0.00,13.85,0
1789979023777583983,0.0,0.0,0.00,13.86,0
1789979024792592265,0.0,0.0,0.00,0.00,0
1789979025806352073,0.0,0.0,14.00,0.00,0
1789979026822229962,0.1,0.1,0.00,5.67,0
1789979027838107444,0.0,0.0,0.00,0.00,0
1789979028853804349,0.0,0.1,0.00,11.10,0
1789979029868789648,0.0,0.0,0.00,0.00,0
1789979030884641322,0.0,0.7,0.00,0.72,0
1789979031900561701,0.0,0.1,0.00,3.60,0
1789979032916213273,0.0,0.0,0.00,0.00,0
1789979033931871306,0.0,0.0,0.00,0.00,0
1789979034947619448,0.0,0.0,0.00,11.10,0
1789979035963216267,0.0,0.0,0.00,0.00,0
1789979036978639197,0.0,0.1,0.00,7.00,0
1789979037994255940,0.0,0.0,0.00,0.00,0
