--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
   5    0            0    111948592       150360     14924076    0    0  3624   329  127  211   2   1  97   1   0 2026-09-21 17:22:07
   1    0            0    111839760       150360     14924104    0    0     0     0 1904 1465   3   0  97   0   0 2026-09-21 17:22:08
   1    0            0    111801920       150360     14924108    0    0     0     0 31700 1485   4   8  88   0   0 2026-09-21 17:22:09
   1    0            0    111801136       150360     14924116    0    0     4     0 1972 1540   3   0  97   0   0 2026-09-21 17:22:10
   0    0            0    111694392       150368     14924124    0    0     0    56 2312 2286   1   1  99   0   0 2026-09-21 17:22:11
   0    0            0    111692880       150368     14924128    0    0     0    52 1138 1366   0   0  99   0   0 2026-09-21 17:22:12
   0    0            0    111687184       150368     14924132    0    0     0     0 2431 2698   1   0  99   0   0 2026-09-21 17:22:13
   0    0            0    111694736       150368     14924136    0    0     0     0  762 1189   0   0 100   0   0 2026-09-21 17:22:14
   3    0            0    111543040       150368     14924136    0    0     0   640 2084 2306   2   1  97   0   0 2026-09-21 17:22:15
   2    0            0    111307840       150376     14924172    0    0     0    84 7671 3295  16   1  84   0   0 2026-09-21 17:22:16
   0    0            0    111589504       150376     14924240    0    0     0     0 5087 2132   3   1  96   0   0 2026-09-21 17:22:17
   0    0            0    111598048       150376     14924240    0    0     0    44 1076 2407   0   0 100   0   0 2026-09-21 17:22:18
   0    0            0    111607888       150376     14924244    0    0     0     0  866 1345   0   0 100   0   0 2026-09-21 17:22:19
   1    0            0    111616320       150376     14924244    0    0     0     0 1062 1210   1   0  99   0   0 2026-09-21 17:22:20
   1    0            0    111616928       150388     14924236    0    0     0    76 1627 1417   2   0  98   0   0 2026-09-21 17:22:21
   2    0            0    111569032       150388     14924252    0    0     0     0 1678 1153   3   0  97   0   0 2026-09-21 17:22:22
   1    0            0    111498096       150388     14924252    0    0     0    40 1614 1248   2   0  98   0   0 2026-09-21 17:22:23
   1    0            0    111443512       150388     14932340    0    0     0     0 4881 2602   2   0  97   0   0 2026-09-21 17:22:24
   2    0            0    111212560       150388     15004304    0    0     0     0 3741 3402   4   1  95   0   0 2026-09-21 17:22:25
   0    0            0    111207272       150396     15004604    0    0     0    72 2973 2859   3   0  97   0   0 2026-09-21 17:22:26
   1    0            0    111202904       150396     15004532    0    0     0     4 2402 2711   2   0  97   0   0 2026-09-21 17:22:27
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
   1    0            0    111150368       150396     15004532    0    0     0    44 2682 2770   2   1  97   0   0 2026-09-21 17:22:28
   1    0            0    111133904       150396     15004536    0    0     0     0 2536 2667   3   0  97   0   0 2026-09-21 17:22:29
   2    0            0    111133408       150396     15004544    0    0     0    12 2514 2601   3   0  97   0   0 2026-09-21 17:22:30
   1    0            0    110872872       150404     15004544    0    0     0    76 2575 2823   3   0  97   0   0 2026-09-21 17:22:31
   3    0            0    110420944       150404     15004580    0    0     0   200 2762 2949   3   1  97   0   0 2026-09-21 17:22:32
   1    0            0    109760896       150404     15004600    0    0     0    48 2807 3212   2   1  97   0   0 2026-09-21 17:22:33
   2    0            0    109708512       150404     15004612    0    0     0     0 3235 2697   5   0  95   0   0 2026-09-21 17:22:34
   2    0            0    109708512       150404     15004616    0    0     0     0 4035 2555   6   0  94   0   0 2026-09-21 17:22:35
   3    0            0    109603680       150412     15004612    0    0     0    80 4444 3118   7   0  93   0   0 2026-09-21 17:22:36
   0    0            0    109603928       150412     15004632    0    0     0     0 1675 2641   1   0  99   0   0 2026-09-21 17:22:37
   0    1            0    109603928       150416     15004632    0    0     0    48 1416 2610   0   0 100   0   0 2026-09-21 17:22:38
   0    0            0    109602944       150416     15004636    0    0     0    12 1479 2643   0   0 100   0   0 2026-09-21 17:22:39
   0    0            0    109602952       150416     15004640    0    0     0     0 1382 2604   0   0 100   0   0 2026-09-21 17:22:40
   0    0            0    109602704       150424     15004632    0    0     0    60 1510 2788   0   0 100   0   0 2026-09-21 17:22:41
   0    0            0    109602192       150424     15004644    0    0     0     0 1379 2600   0   0 100   0   0 2026-09-21 17:22:42
   0    0            0    109602192       150424     15004644    0    0     0     0 1410 2597   0   0 100   0   0 2026-09-21 17:22:43
   0    0            0    109601440       150424     15004648    0    0     0    36 1426 2582   0   0 100   0   0 2026-09-21 17:22:44
   0    0            0    109614592       150424     15004652    0    0     0     0 2780 3907   0   0  99   0   0 2026-09-21 17:22:45
   2    0            0    109613344       150432     15004652    0    0     0    52 2282 2918   2   0  98   0   0 2026-09-21 17:22:46
   2    0            0    109611328       150432     15004656    0    0     0     0 3898 2986   4   2  94   0   0 2026-09-21 17:22:47
   1    0            0    109610824       150432     15004656    0    0     0     0 3144 3531   3   1  96   0   0 2026-09-21 17:22:48
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
   2    0            0    109610824       150432     15004660    0    0     0    48 3879 2973   5   1  94   0   0 2026-09-21 17:22:49
   1    0            0    109610576       150432     15004664    0    0     0   564 3876 3010   4   2  94   0   0 2026-09-21 17:22:50
   1    0            0    109610320       150440     15004656    0    0     0    44 2573 2845   3   0  97   0   0 2026-09-21 17:22:51
   2    0            0    109610072       150440     15004672    0    0     0     0 4684 3669   6   1  93   0   0 2026-09-21 17:22:52
   1    0            0    109610320       150440     15004672    0    0     0     0 3708 2748   4   1  95   0   0 2026-09-21 17:22:53
   3    0            0    109611264       150440     15004680    0    0     0     0 3151 2729   4   0  96   0   0 2026-09-21 17:22:54
   0    0            0    109612256       150440     15004700    0    0     0    52 1635 2639   1   0  99   0   0 2026-09-21 17:22:55
   0    0            0    109613696       150448     15004692    0    0     0    44 1456 2683   0   0 100   0   0 2026-09-21 17:22:56
   0    0            0    109613312       150448     15004704    0    0     0     0 1488 2665   0   0 100   0   0 2026-09-21 17:22:57
   2    0            0    109613072       150448     15004704    0    0     0     0 3075 2626   3   1  96   0   0 2026-09-21 17:22:58
   1    0            0    109611608       150448     15004704    0    0     0     0 3323 2647   4   1  95   0   0 2026-09-21 17:22:59
   4    0            0    109611616       150448     15004728    0    0     0    36 2906 2671   4   0  96   0   0 2026-09-21 17:23:00
   0    0            0    109611616       150456     15004728    0    0     0    36 2125 2839   2   0  98   0   0 2026-09-21 17:23:01
   0    0            0    109602640       150456     15009304    0    0  4560     0 1886 2807   1   0  99   0   0 2026-09-21 17:23:02
   1    0            0    109605456       150456     15009308    0    0     0     0 1416 2567   0   0 100   0   0 2026-09-21 17:23:03
   0    0            0    109606312       150456     15009308    0    0     0     0 1418 2583   0   0 100   0   0 2026-09-21 17:23:04
