timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/21 17:30:48.322, 0 %, 0 %, 1 MiB, 16376 MiB, 19.55 W, 63
2026/09/21 17:30:49.342, 0 %, 0 %, 1 MiB, 16376 MiB, 19.59 W, 63
2026/09/21 17:30:50.342, 0 %, 0 %, 1 MiB, 16376 MiB, 19.59 W, 63
2026/09/21 17:30:51.343, 0 %, 0 %, 1 MiB, 16376 MiB, 19.44 W, 63
2026/09/21 17:30:52.343, 0 %, 0 %, 1 MiB, 16376 MiB, 19.19 W, 62
2026/09/21 17:30:53.343, 0 %, 0 %, 1 MiB, 16376 MiB, 19.04 W, 62
2026/09/21 17:30:54.344, 0 %, 0 %, 1 MiB, 16376 MiB, 19.03 W, 62
2026/09/21 17:30:55.344, 0 %, 0 %, 1 MiB, 16376 MiB, 18.94 W, 62
2026/09/21 17:30:56.344, 0 %, 0 %, 1 MiB, 16376 MiB, 18.84 W, 62
2026/09/21 17:30:57.345, 0 %, 0 %, 1 MiB, 16376 MiB, 18.70 W, 61
2026/09/21 17:30:58.345, 0 %, 0 %, 1 MiB, 16376 MiB, 18.54 W, 61
2026/09/21 17:30:59.345, 0 %, 0 %, 1 MiB, 16376 MiB, 18.43 W, 61
2026/09/21 17:31:00.346, 0 %, 0 %, 1 MiB, 16376 MiB, 18.21 W, 61
2026/09/21 17:31:01.346, 0 %, 0 %, 1 MiB, 16376 MiB, 18.18 W, 61
2026/09/21 17:31:02.347, 0 %, 0 %, 19 MiB, 16376 MiB, 18.34 W, 60
2026/09/21 17:31:03.348, 1 %, 0 %, 281 MiB, 16376 MiB, 29.37 W, 61
2026/09/21 17:31:04.348, 0 %, 0 %, 5803 MiB, 16376 MiB, 39.98 W, 61
2026/09/21 17:31:05.349, 0 %, 0 %, 6011 MiB, 16376 MiB, 39.85 W, 61
2026/09/21 17:31:06.349, 45 %, 3 %, 7833 MiB, 16376 MiB, 54.21 W, 62
2026/09/21 17:31:07.349, 0 %, 0 %, 6901 MiB, 16376 MiB, 66.67 W, 63
