timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/21 11:09:32.695, 0 %, 0 %, 15 MiB, 16384 MiB, 8.36 W, 63
2026/09/21 11:09:33.719, 0 %, 0 %, 15 MiB, 16384 MiB, 9.85 W, 62
2026/09/21 11:09:34.724, 0 %, 0 %, 15 MiB, 16384 MiB, 8.57 W, 62
2026/09/21 11:09:35.730, 0 %, 0 %, 15 MiB, 16384 MiB, 8.31 W, 61
2026/09/21 11:09:36.741, 0 %, 0 %, 15 MiB, 16384 MiB, 8.17 W, 61
2026/09/21 11:09:37.747, 0 %, 0 %, 15 MiB, 16384 MiB, 7.90 W, 61
2026/09/21 11:09:38.753, 0 %, 0 %, 15 MiB, 16384 MiB, 7.86 W, 60
2026/09/21 11:09:39.759, 0 %, 0 %, 15 MiB, 16384 MiB, 7.86 W, 60
2026/09/21 11:09:40.765, 0 %, 0 %, 15 MiB, 16384 MiB, 7.91 W, 60
2026/09/21 11:09:41.771, 0 %, 0 %, 15 MiB, 16384 MiB, 7.96 W, 60
2026/09/21 11:09:42.777, 0 %, 0 %, 15 MiB, 16384 MiB, 8.20 W, 59
2026/09/21 11:09:43.783, 0 %, 0 %, 15 MiB, 16384 MiB, 8.73 W, 59
2026/09/21 11:09:44.788, 0 %, 0 %, 15 MiB, 16384 MiB, 8.34 W, 59
2026/09/21 11:09:45.794, 0 %, 0 %, 15 MiB, 16384 MiB, 8.26 W, 58
2026/09/21 11:09:46.799, 0 %, 0 %, 28 MiB, 16384 MiB, 40.40 W, 59
2026/09/21 11:09:47.803, 1 %, 0 %, 238 MiB, 16384 MiB, 48.42 W, 60
2026/09/21 11:09:48.805, 0 %, 0 %, 5760 MiB, 16384 MiB, 48.96 W, 60
2026/09/21 11:09:49.807, 43 %, 3 %, 6328 MiB, 16384 MiB, 66.15 W, 61
2026/09/21 11:09:50.811, 11 %, 7 %, 7790 MiB, 16384 MiB, 61.67 W, 61
2026/09/21 11:09:51.815, 100 %, 56 %, 6858 MiB, 16384 MiB, 221.51 W, 67
2026/09/21 11:09:52.817, 100 %, 58 %, 6858 MiB, 16384 MiB, 226.78 W, 67
2026/09/21 11:09:53.824, 100 %, 57 %, 6858 MiB, 16384 MiB, 223.11 W, 68
2026/09/21 11:09:54.826, 0 %, 0 %, 6870 MiB, 16384 MiB, 61.20 W, 63
2026/09/21 11:09:55.848, 0 %, 0 %, 9224 MiB, 16384 MiB, 62.21 W, 62
2026/09/21 11:09:56.851, 0 %, 0 %, 9224 MiB, 16384 MiB, 48.33 W, 62
2026/09/21 11:09:57.853, 0 %, 0 %, 9240 MiB, 16384 MiB, 48.31 W, 61
2026/09/21 11:09:58.855, 0 %, 0 %, 9240 MiB, 16384 MiB, 62.22 W, 62
2026/09/21 11:09:59.859, 100 %, 22 %, 9240 MiB, 16384 MiB, 216.43 W, 64
2026/09/21 11:10:00.861, 100 %, 22 %, 9240 MiB, 16384 MiB, 171.11 W, 65
2026/09/21 11:10:01.863, 100 %, 8 %, 9240 MiB, 16384 MiB, 125.76 W, 68
2026/09/21 11:10:02.866, 100 %, 0 %, 9240 MiB, 16384 MiB, 126.16 W, 65
2026/09/21 11:10:03.868, 100 %, 0 %, 9240 MiB, 16384 MiB, 122.64 W, 66
2026/09/21 11:10:04.871, 100 %, 0 %, 9240 MiB, 16384 MiB, 122.16 W, 66
2026/09/21 11:10:05.874, 100 %, 22 %, 9240 MiB, 16384 MiB, 119.14 W, 66
2026/09/21 11:10:06.876, 100 %, 10 %, 9240 MiB, 16384 MiB, 116.62 W, 66
2026/09/21 11:10:07.878, 100 %, 0 %, 9240 MiB, 16384 MiB, 202.69 W, 67
2026/09/21 11:10:08.883, 100 %, 0 %, 9240 MiB, 16384 MiB, 183.02 W, 69
2026/09/21 11:10:09.885, 100 %, 0 %, 9240 MiB, 16384 MiB, 126.04 W, 69
2026/09/21 11:10:10.887, 100 %, 0 %, 9240 MiB, 16384 MiB, 124.62 W, 67
2026/09/21 11:10:11.890, 100 %, 13 %, 9240 MiB, 16384 MiB, 124.31 W, 68
2026/09/21 11:10:12.892, 100 %, 22 %, 9240 MiB, 16384 MiB, 123.35 W, 68
2026/09/21 11:10:13.894, 100 %, 22 %, 9240 MiB, 16384 MiB, 119.41 W, 68
2026/09/21 11:10:14.896, 100 %, 7 %, 9240 MiB, 16384 MiB, 122.98 W, 68
2026/09/21 11:10:15.898, 100 %, 0 %, 9240 MiB, 16384 MiB, 210.32 W, 69
2026/09/21 11:10:16.901, 100 %, 0 %, 9244 MiB, 16384 MiB, 206.78 W, 71
2026/09/21 11:10:17.906, 100 %, 0 %, 9244 MiB, 16384 MiB, 156.73 W, 69
2026/09/21 11:10:18.908, 100 %, 19 %, 9244 MiB, 16384 MiB, 209.29 W, 69
2026/09/21 11:10:19.910, 100 %, 22 %, 9244 MiB, 16384 MiB, 117.15 W, 69
2026/09/21 11:10:20.912, 100 %, 21 %, 9244 MiB, 16384 MiB, 121.27 W, 70
2026/09/21 11:10:21.916, 100 %, 1 %, 9244 MiB, 16384 MiB, 125.17 W, 70
2026/09/21 11:10:22.918, 100 %, 0 %, 9244 MiB, 16384 MiB, 126.15 W, 71
2026/09/21 11:10:23.921, 100 %, 0 %, 9244 MiB, 16384 MiB, 127.62 W, 73
2026/09/21 11:10:24.925, 100 %, 7 %, 9244 MiB, 16384 MiB, 209.18 W, 71
2026/09/21 11:10:25.929, 100 %, 22 %, 9244 MiB, 16384 MiB, 152.35 W, 71
2026/09/21 11:10:26.935, 100 %, 22 %, 9244 MiB, 16384 MiB, 119.44 W, 71
2026/09/21 11:10:27.937, 100 %, 11 %, 9244 MiB, 16384 MiB, 122.11 W, 71
2026/09/21 11:10:28.939, 100 %, 0 %, 9244 MiB, 16384 MiB, 124.20 W, 71
2026/09/21 11:10:29.941, 100 %, 0 %, 9244 MiB, 16384 MiB, 125.69 W, 71
2026/09/21 11:10:30.944, 100 %, 0 %, 9244 MiB, 16384 MiB, 134.42 W, 74
2026/09/21 11:10:31.947, 100 %, 7 %, 9244 MiB, 16384 MiB, 137.59 W, 72
2026/09/21 11:10:32.949, 100 %, 5 %, 9244 MiB, 16384 MiB, 137.78 W, 72
2026/09/21 11:10:33.951, 100 %, 5 %, 9244 MiB, 16384 MiB, 145.77 W, 72
2026/09/21 11:10:34.953, 100 %, 0 %, 9246 MiB, 16384 MiB, 128.91 W, 72
2026/09/21 11:10:35.955, 100 %, 0 %, 9246 MiB, 16384 MiB, 125.21 W, 72
2026/09/21 11:10:36.958, 100 %, 16 %, 9246 MiB, 16384 MiB, 123.19 W, 72
2026/09/21 11:10:37.960, 100 %, 22 %, 9246 MiB, 16384 MiB, 118.37 W, 72
2026/09/21 11:10:38.962, 100 %, 19 %, 9246 MiB, 16384 MiB, 192.07 W, 73
2026/09/21 11:10:39.965, 100 %, 0 %, 9246 MiB, 16384 MiB, 177.77 W, 75
2026/09/21 11:10:40.967, 100 %, 0 %, 9246 MiB, 16384 MiB, 127.62 W, 73
2026/09/21 11:10:41.970, 100 %, 0 %, 9246 MiB, 16384 MiB, 126.84 W, 73
2026/09/21 11:10:42.972, 100 %, 0 %, 9246 MiB, 16384 MiB, 126.02 W, 73
2026/09/21 11:10:43.975, 100 %, 19 %, 9246 MiB, 16384 MiB, 123.70 W, 73
2026/09/21 11:10:44.977, 100 %, 22 %, 9246 MiB, 16384 MiB, 118.26 W, 73
2026/09/21 11:10:45.979, 100 %, 18 %, 9246 MiB, 16384 MiB, 130.25 W, 74
2026/09/21 11:10:46.984, 100 %, 0 %, 9246 MiB, 16384 MiB, 127.80 W, 76
2026/09/21 11:10:47.986, 100 %, 0 %, 9246 MiB, 16384 MiB, 127.09 W, 73
2026/09/21 11:10:48.988, 100 %, 0 %, 9246 MiB, 16384 MiB, 125.65 W, 73
2026/09/21 11:10:49.991, 100 %, 0 %, 9246 MiB, 16384 MiB, 121.91 W, 73
2026/09/21 11:10:50.993, 100 %, 22 %, 9246 MiB, 16384 MiB, 141.94 W, 73
2026/09/21 11:10:51.995, 100 %, 27 %, 9246 MiB, 16384 MiB, 208.18 W, 74
2026/09/21 11:10:52.998, 100 %, 21 %, 9246 MiB, 16384 MiB, 202.27 W, 74
2026/09/21 11:10:54.000, 100 %, 21 %, 9246 MiB, 16384 MiB, 173.61 W, 74
2026/09/21 11:10:55.022, 100 %, 1 %, 9246 MiB, 16384 MiB, 129.18 W, 77
2026/09/21 11:10:56.027, 100 %, 0 %, 9246 MiB, 16384 MiB, 127.91 W, 74
2026/09/21 11:10:57.031, 100 %, 0 %, 9246 MiB, 16384 MiB, 126.61 W, 74
2026/09/21 11:10:58.035, 100 %, 0 %, 9246 MiB, 16384 MiB, 124.18 W, 74
2026/09/21 11:10:59.038, 100 %, 8 %, 9246 MiB, 16384 MiB, 118.98 W, 74
2026/09/21 11:11:00.040, 100 %, 21 %, 9246 MiB, 16384 MiB, 187.20 W, 74
2026/09/21 11:11:01.042, 100 %, 22 %, 9246 MiB, 16384 MiB, 184.49 W, 75
2026/09/21 11:11:02.047, 100 %, 5 %, 9246 MiB, 16384 MiB, 129.45 W, 77
2026/09/21 11:11:03.050, 100 %, 0 %, 9246 MiB, 16384 MiB, 128.41 W, 74
2026/09/21 11:11:04.052, 100 %, 0 %, 9246 MiB, 16384 MiB, 126.97 W, 74
2026/09/21 11:11:05.055, 100 %, 21 %, 9246 MiB, 16384 MiB, 125.18 W, 74
2026/09/21 11:11:06.057, 100 %, 18 %, 9246 MiB, 16384 MiB, 122.21 W, 75
2026/09/21 11:11:07.060, 100 %, 0 %, 9246 MiB, 16384 MiB, 162.90 W, 75
2026/09/21 11:11:08.062, 100 %, 0 %, 9246 MiB, 16384 MiB, 194.21 W, 75
2026/09/21 11:11:09.065, 100 %, 0 %, 9246 MiB, 16384 MiB, 130.31 W, 76
2026/09/21 11:11:10.067, 100 %, 1 %, 9246 MiB, 16384 MiB, 129.11 W, 75
2026/09/21 11:11:11.069, 100 %, 20 %, 9246 MiB, 16384 MiB, 127.86 W, 75
2026/09/21 11:11:12.071, 100 %, 22 %, 9246 MiB, 16384 MiB, 125.23 W, 75
2026/09/21 11:11:13.074, 100 %, 15 %, 9246 MiB, 16384 MiB, 121.26 W, 75
2026/09/21 11:11:14.077, 100 %, 0 %, 9246 MiB, 16384 MiB, 185.86 W, 75
2026/09/21 11:11:15.081, 100 %, 0 %, 9246 MiB, 16384 MiB, 177.25 W, 77
2026/09/21 11:11:16.087, 100 %, 0 %, 9246 MiB, 16384 MiB, 129.59 W, 75
2026/09/21 11:11:17.089, 100 %, 4 %, 9246 MiB, 16384 MiB, 128.85 W, 75
2026/09/21 11:11:18.093, 100 %, 22 %, 9246 MiB, 16384 MiB, 124.14 W, 75
2026/09/21 11:11:19.095, 100 %, 23 %, 9246 MiB, 16384 MiB, 149.41 W, 75
2026/09/21 11:11:20.097, 100 %, 4 %, 9246 MiB, 16384 MiB, 212.31 W, 75
2026/09/21 11:11:21.102, 100 %, 0 %, 9246 MiB, 16384 MiB, 130.63 W, 77
2026/09/21 11:11:22.108, 100 %, 0 %, 9246 MiB, 16384 MiB, 129.11 W, 75
2026/09/21 11:11:23.110, 100 %, 0 %, 9246 MiB, 16384 MiB, 128.35 W, 75
2026/09/21 11:11:24.112, 100 %, 15 %, 9246 MiB, 16384 MiB, 126.03 W, 75
2026/09/21 11:11:25.114, 100 %, 22 %, 9246 MiB, 16384 MiB, 121.00 W, 75
2026/09/21 11:11:26.117, 100 %, 19 %, 9246 MiB, 16384 MiB, 190.18 W, 75
2026/09/21 11:11:27.119, 100 %, 0 %, 9246 MiB, 16384 MiB, 175.82 W, 76
2026/09/21 11:11:28.121, 100 %, 23 %, 9246 MiB, 16384 MiB, 195.85 W, 77
2026/09/21 11:11:29.124, 100 %, 24 %, 9246 MiB, 16384 MiB, 172.94 W, 77
2026/09/21 11:11:30.129, 100 %, 30 %, 9250 MiB, 16384 MiB, 206.16 W, 79
2026/09/21 11:11:31.132, 100 %, 23 %, 9250 MiB, 16384 MiB, 186.13 W, 79
2026/09/21 11:11:32.134, 100 %, 31 %, 9250 MiB, 16384 MiB, 166.30 W, 79
2026/09/21 11:11:33.137, 100 %, 16 %, 9250 MiB, 16384 MiB, 163.32 W, 78
2026/09/21 11:11:34.139, 100 %, 15 %, 9250 MiB, 16384 MiB, 153.33 W, 77
2026/09/21 11:11:35.144, 100 %, 0 %, 9250 MiB, 16384 MiB, 150.46 W, 78
2026/09/21 11:11:36.147, 100 %, 19 %, 9250 MiB, 16384 MiB, 118.59 W, 76
2026/09/21 11:11:37.149, 100 %, 0 %, 9250 MiB, 16384 MiB, 128.57 W, 76
2026/09/21 11:11:38.151, 100 %, 2 %, 9250 MiB, 16384 MiB, 204.76 W, 77
2026/09/21 11:11:39.157, 100 %, 19 %, 9250 MiB, 16384 MiB, 124.68 W, 76
2026/09/21 11:11:40.159, 100 %, 0 %, 9250 MiB, 16384 MiB, 129.12 W, 76
2026/09/21 11:11:41.161, 100 %, 18 %, 9250 MiB, 16384 MiB, 158.73 W, 76
2026/09/21 11:11:42.165, 100 %, 13 %, 9250 MiB, 16384 MiB, 118.56 W, 76
2026/09/21 11:11:43.168, 100 %, 0 %, 9250 MiB, 16384 MiB, 126.12 W, 76
2026/09/21 11:11:44.170, 100 %, 19 %, 9250 MiB, 16384 MiB, 194.51 W, 76
2026/09/21 11:11:45.172, 100 %, 4 %, 9250 MiB, 16384 MiB, 120.42 W, 76
2026/09/21 11:11:46.174, 100 %, 0 %, 9250 MiB, 16384 MiB, 126.40 W, 77
2026/09/21 11:11:47.178, 100 %, 19 %, 9250 MiB, 16384 MiB, 202.42 W, 76
2026/09/21 11:11:48.180, 100 %, 0 %, 9250 MiB, 16384 MiB, 123.16 W, 76
2026/09/21 11:11:49.182, 100 %, 20 %, 9250 MiB, 16384 MiB, 181.42 W, 77
2026/09/21 11:11:50.185, 100 %, 20 %, 9250 MiB, 16384 MiB, 182.13 W, 78
2026/09/21 11:11:51.191, 98 %, 35 %, 9250 MiB, 16384 MiB, 122.89 W, 76
2026/09/21 11:11:52.194, 100 %, 16 %, 9250 MiB, 16384 MiB, 160.05 W, 76
2026/09/21 11:11:53.196, 100 %, 18 %, 9250 MiB, 16384 MiB, 169.10 W, 77
2026/09/21 11:11:54.200, 100 %, 19 %, 9250 MiB, 16384 MiB, 158.47 W, 78
2026/09/21 11:11:55.202, 100 %, 32 %, 9250 MiB, 16384 MiB, 209.01 W, 79
2026/09/21 11:11:56.205, 0 %, 0 %, 9250 MiB, 16384 MiB, 68.78 W, 74
2026/09/21 11:11:57.207, 0 %, 0 %, 9250 MiB, 16384 MiB, 68.11 W, 73
2026/09/21 11:11:58.209, 0 %, 0 %, 9250 MiB, 16384 MiB, 52.49 W, 72
2026/09/21 11:11:59.211, 0 %, 0 %, 9250 MiB, 16384 MiB, 51.69 W, 72
2026/09/21 11:12:00.215, 0 %, 0 %, 9250 MiB, 16384 MiB, 51.61 W, 71
2026/09/21 11:12:01.217, 0 %, 0 %, 9250 MiB, 16384 MiB, 51.47 W, 71
2026/09/21 11:12:02.220, 0 %, 0 %, 9250 MiB, 16384 MiB, 51.33 W, 71
2026/09/21 11:12:03.224, 0 %, 0 %, 9250 MiB, 16384 MiB, 51.31 W, 70
2026/09/21 11:12:04.227, 0 %, 0 %, 9250 MiB, 16384 MiB, 51.16 W, 70
2026/09/21 11:12:05.230, 0 %, 0 %, 9250 MiB, 16384 MiB, 50.99 W, 70
2026/09/21 11:12:06.234, 0 %, 0 %, 9250 MiB, 16384 MiB, 50.93 W, 69
2026/09/21 11:12:07.237, 0 %, 0 %, 9250 MiB, 16384 MiB, 50.56 W, 69
2026/09/21 11:12:08.240, 17 %, 17 %, 9250 MiB, 16384 MiB, 65.46 W, 70
2026/09/21 11:12:09.242, 100 %, 0 %, 9250 MiB, 16384 MiB, 211.99 W, 73
2026/09/21 11:12:10.244, 100 %, 0 %, 9250 MiB, 16384 MiB, 132.76 W, 73
2026/09/21 11:12:11.246, 100 %, 0 %, 9250 MiB, 16384 MiB, 127.01 W, 72
2026/09/21 11:12:12.249, 100 %, 12 %, 9250 MiB, 16384 MiB, 125.86 W, 72
2026/09/21 11:12:13.251, 100 %, 21 %, 9250 MiB, 16384 MiB, 120.50 W, 72
2026/09/21 11:12:14.253, 100 %, 21 %, 9250 MiB, 16384 MiB, 147.69 W, 72
2026/09/21 11:12:15.255, 100 %, 1 %, 9250 MiB, 16384 MiB, 207.20 W, 72
2026/09/21 11:12:16.257, 100 %, 0 %, 9250 MiB, 16384 MiB, 127.94 W, 74
2026/09/21 11:12:17.261, 100 %, 0 %, 9250 MiB, 16384 MiB, 126.96 W, 73
2026/09/21 11:12:18.265, 100 %, 0 %, 9250 MiB, 16384 MiB, 126.31 W, 72
2026/09/21 11:12:19.267, 100 %, 7 %, 9250 MiB, 16384 MiB, 125.01 W, 72
2026/09/21 11:12:20.269, 100 %, 21 %, 9250 MiB, 16384 MiB, 121.39 W, 72
2026/09/21 11:12:21.271, 100 %, 22 %, 9250 MiB, 16384 MiB, 132.37 W, 72
2026/09/21 11:12:22.274, 100 %, 7 %, 9250 MiB, 16384 MiB, 212.49 W, 73
2026/09/21 11:12:23.276, 100 %, 0 %, 9250 MiB, 16384 MiB, 140.81 W, 75
2026/09/21 11:12:24.278, 100 %, 0 %, 9250 MiB, 16384 MiB, 127.64 W, 72
2026/09/21 11:12:25.280, 100 %, 0 %, 9250 MiB, 16384 MiB, 126.85 W, 73
2026/09/21 11:12:26.283, 100 %, 15 %, 9250 MiB, 16384 MiB, 125.75 W, 73
2026/09/21 11:12:27.285, 100 %, 0 %, 9250 MiB, 16384 MiB, 127.24 W, 75
2026/09/21 11:12:28.288, 100 %, 13 %, 9250 MiB, 16384 MiB, 138.19 W, 73
2026/09/21 11:12:29.290, 100 %, 8 %, 9250 MiB, 16384 MiB, 124.44 W, 73
2026/09/21 11:12:30.293, 100 %, 0 %, 9250 MiB, 16384 MiB, 131.86 W, 76
2026/09/21 11:12:31.297, 100 %, 14 %, 9250 MiB, 16384 MiB, 120.27 W, 73
2026/09/21 11:12:32.302, 100 %, 1 %, 9250 MiB, 16384 MiB, 125.85 W, 73
2026/09/21 11:12:33.304, 100 %, 0 %, 9250 MiB, 16384 MiB, 167.38 W, 74
2026/09/21 11:12:34.307, 100 %, 12 %, 9250 MiB, 16384 MiB, 119.03 W, 73
2026/09/21 11:12:35.309, 100 %, 0 %, 9250 MiB, 16384 MiB, 126.40 W, 73
2026/09/21 11:12:36.311, 100 %, 0 %, 9250 MiB, 16384 MiB, 180.89 W, 74
2026/09/21 11:12:37.314, 100 %, 12 %, 9250 MiB, 16384 MiB, 122.18 W, 73
2026/09/21 11:12:38.316, 100 %, 0 %, 9250 MiB, 16384 MiB, 126.41 W, 73
