wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789915787756896817,121718860,396,0,1212,0
1789915788768318638,121662728,44,0,1212,0
1789915789779108544,121595556,108,0,1212,0
1789915790791197881,121489260,132,0,1212,0
1789915791807478928,121553436,256,0,1212,0
1789915792822804909,121552312,392,0,1212,0
1789915793837720744,121095012,328,0,1212,0
1789915794849105247,120912920,224,0,1212,0
1789915795861050420,121521272,416,0,1212,0
1789915796875752332,121519168,520,0,1212,0
1789915797890758537,121516720,556,0,1212,0
1789915798903419502,121304308,68,0,1212,0
1789915799914826215,121214600,96,0,1212,0
1789915800926016760,121136048,344,0,1212,0
1789915801936996774,121027880,368,0,11452,0
1789915802947931139,120818736,400,0,81096,0
1789915803958925929,120826964,224,0,81100,0
1789915804970112006,120813100,276,0,81100,0
1789915805981406141,120758852,344,0,81088,0
1789915806992780034,120743540,588,0,81088,0
1789915808003240856,120740908,604,0,81088,0
1789915809013807897,120618580,188,0,81088,0
1789915810024866238,120594724,236,0,81088,0
1789915811036230990,119488240,280,0,81088,0
1789915812047270413,119454740,860,0,81088,0
1789915813057798977,119452128,908,0,81088,0
1789915814068133277,119452456,68,0,81088,0
1789915815077940022,119455076,124,0,81088,0
1789915816087811157,119454604,380,0,81088,0
1789915817098230354,119455016,444,0,81088,0
1789915818108538632,119452088,464,0,81088,0
1789915819118721606,119457076,24,0,81088,0
1789915820128641089,119458692,220,0,81088,0
1789915821138804759,119457000,340,0,81088,0
1789915822149079857,119455800,368,0,81088,0
1789915823159333117,119456384,384,0,81088,0
1789915824169516398,119455448,16,0,81088,0
1789915825179478002,119455288,96,0,81088,0
1789915826189886592,119454356,156,0,81088,0
1789915827199901173,119453468,340,0,81088,0
1789915828210139597,119454124,372,0,81088,0
1789915829220962038,116087492,408,0,3430504,0
1789915830232523779,115153784,108,0,4275392,0
1789915831243162078,115151344,352,0,4275392,0
1789915832253615378,115151424,376,0,4275392,0
1789915833263843475,115152064,404,0,4275392,0
1789915834274152781,115153192,420,0,4275392,0
1789915835284457215,115160852,80,0,4275392,0
1789915836294568312,115162060,216,0,4275392,0
1789915837305143222,115159380,236,0,4275392,0
1789915838315617370,115159444,388,0,4275392,0
1789915839325519468,115159984,492,0,4275392,0
1789915840335782777,115160068,240,0,4275392,0
1789915841345646190,115161956,392,0,4275392,0
1789915842355635734,115163752,424,0,4275392,0
1789915843365752619,115165296,452,0,4275392,0
1789915844376217058,115165648,472,0,4275392,0
1789915845387201798,115101192,68,0,4275392,0
1789915846397348500,115099244,224,0,4275392,0
1789915847407930978,115097320,248,0,4275392,0
1789915848418941996,115072848,292,0,4275392,0
1789915849429290272,115073440,476,0,4275392,0
1789915850439724281,115071956,48,0,4275392,0
1789915851449464209,115072568,316,0,4275392,0
1789915852459504757,115070084,344,0,4275392,0
1789915853469623236,115071520,392,0,4275392,0
1789915854479741414,115072796,408,0,4275392,0
1789915855489690715,115073640,132,0,4275392,0
1789915856500002247,115073556,196,0,4275392,0
1789915857510352969,115072436,216,0,4275392,0
1789915858520212635,115071608,240,0,4275392,0
1789915859530130158,115072308,264,0,4275392,0
1789915860540202376,115069612,256,0,4275392,0
1789915861550146719,115068188,360,0,4275392,0
1789915862559858985,115069968,376,0,4275392,0
1789915863569434876,115069388,416,0,4275392,0
1789915864579628541,115068920,432,0,4275392,0
1789915865589215216,115067756,232,0,4275392,0
1789915866599308942,115066892,316,0,4275392,0
1789915867609111922,115066952,340,0,4275392,0
1789915868619205707,115068852,356,0,4275392,0
1789915869629238664,115067728,380,0,4275392,0
1789915870639393769,115066040,104,0,4275392,0
1789915871649444028,115066864,176,0,4275392,0
1789915872659566866,115064472,388,0,4275392,0
1789915873669141850,115063756,416,0,4275392,0
1789915874678924053,115064132,472,0,4275392,0
1789915875688993679,115065956,40,0,4275392,0
1789915876698588464,115065732,188,0,4275392,0
1789915877708522373,115064272,208,0,4275392,0
1789915878718089906,115063304,240,0,4275392,0
1789915879728197409,115062412,264,0,4275392,0
1789915880738004788,115062112,20,32,4275392,0
1789915881747645205,115061244,308,0,4275392,0
1789915882757486765,115060856,344,0,4275392,0
1789915883767112463,115061696,400,0,4275392,0
