#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260920    23:58:26       0      8     58      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:58:27       0      7     58      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:58:28       0      8     58      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:58:29       0      7     57      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:58:31       0      7     57      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:58:32       0      7     57      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:58:33       0      7     56      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      4      0 
 20260920    23:58:34       0      7     56      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:58:35       0      7     56      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:58:36       0      8     56      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:58:37       0      7     55      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:58:38       0      8     55      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:58:39       0      8     55      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      9      0 
 20260920    23:58:40       0     11     56      -      0      0      0      0      0      0   7000   1620      0      0     28      7      0      -      -      0    124     23 
 20260920    23:58:41       0     46     57      -      1      0      0      0      0      0   6500   1620      0      0    238      7      0      -      -      0      0      0 
 20260920    23:58:42       0     46     57      -      0      0      0      0      0      0   6500   1620      0      0   5760      7      0      -      -      0      0      5 
 20260920    23:58:43       0     62     58      -     44      3      0      0      0      0   6500   1920      0      0   6788      7      0      -      -      0   5410    635 
 20260920    23:58:44       0     58     58      -      0      0      0      0      0      0   6500   1920      0      0   5770      7      0      -      -      0      0      0 
 20260920    23:58:45       0    226     64      -    100     56      0      0      0      0   6500   1860      0      0   6858      7      0      -      -      0     26     11 
 20260920    23:58:47       0    222     65      -    100     58      0      0      0      0   6500   1875      0      0   6858      7      0      -      -      0     30      9 
 20260920    23:58:48       0     59     61      -      3      3      0      0      0      0   6500   1905      0      0   6870      7      0      -      -      0      0      0 
 20260920    23:58:49       0     58     60      -      0      0      0      0      0      0   6500   1905      0      0   9224      7      0      -      -      0      0      0 
 20260920    23:58:50       0     47     59      -      0      0      0      0      0      0   6500   1620      0      0   9224      7      0      -      -      0      0      0 
 20260920    23:58:51       0     47     59      -      4      0      0      0      0      0   6500   1620      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:58:52       0     50     59      -     57     42      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:58:53       0    121     61      -    100      0      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:58:54       0    120     62      -    100      2      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:58:55       0    120     63      -    100     20      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:58:56       0    121     63      -    100      0      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:58:57       0    120     63      -    100      0      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:58:58       0    121     64      -    100     13      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:58:59       0    120     64      -    100     22      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      8 
 20260920    23:59:00       0    121     64      -    100      0      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:59:01       0    117     64      -    100      5      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:59:02       0    115     65      -    100     22      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:59:03       0    117     65      -    100     22      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      0      5 
 20260920    23:59:04       0    123     65      -    100      8      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:59:05       0    115     66      -    100     22      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:59:07       0    166     66      -    100     22      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:59:08       0    127     66      -    100     13      0      0      0      0   6500   1875      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:59:09       0    208     67      -    100      0      0      0      0      0   6500   1875      0      0   9240      7      0      -      -      0      0      0 
 20260920    23:59:10       0    161     67      -     98     25      0      0      0      0   6500   1875      0      0   9244     11      0      -      -      0     28      0 
 20260920    23:59:11       0    132     67      -    100     22      0      0      0      0   6500   1890      0      0   9244     11      0      -      -      0      0      0 
 20260920    23:59:12       0    122     67      -    100     20      0      0      0      0   6500   1890      0      0   9244     11      0      -      -      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260920    23:59:13       0    123     68      -    100      0      0      0      0      0   6500   1890      0      0   9244     11      0      -      -      0     18      9 
