timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/20 23:58:26.746, 0 %, 0 %, 15 MiB, 16384 MiB, 8.44 W, 58
2026/09/20 23:58:27.767, 0 %, 0 %, 15 MiB, 16384 MiB, 7.69 W, 58
2026/09/20 23:58:28.773, 0 %, 0 %, 15 MiB, 16384 MiB, 7.67 W, 58
2026/09/20 23:58:29.779, 0 %, 0 %, 15 MiB, 16384 MiB, 7.52 W, 57
2026/09/20 23:58:30.785, 0 %, 0 %, 15 MiB, 16384 MiB, 7.79 W, 57
2026/09/20 23:58:31.791, 0 %, 0 %, 15 MiB, 16384 MiB, 7.78 W, 57
2026/09/20 23:58:32.797, 0 %, 0 %, 15 MiB, 16384 MiB, 7.75 W, 57
2026/09/20 23:58:33.803, 0 %, 0 %, 15 MiB, 16384 MiB, 9.52 W, 56
2026/09/20 23:58:34.808, 0 %, 0 %, 15 MiB, 16384 MiB, 8.05 W, 56
2026/09/20 23:58:35.814, 0 %, 0 %, 15 MiB, 16384 MiB, 7.99 W, 56
2026/09/20 23:58:36.820, 0 %, 0 %, 15 MiB, 16384 MiB, 8.26 W, 56
2026/09/20 23:58:37.826, 0 %, 0 %, 15 MiB, 16384 MiB, 9.54 W, 55
2026/09/20 23:58:38.831, 0 %, 0 %, 15 MiB, 16384 MiB, 7.86 W, 55
2026/09/20 23:58:39.837, 0 %, 0 %, 15 MiB, 16384 MiB, 7.83 W, 55
2026/09/20 23:58:40.843, 2 %, 0 %, 134 MiB, 16384 MiB, 46.38 W, 56
2026/09/20 23:58:41.845, 0 %, 0 %, 238 MiB, 16384 MiB, 46.36 W, 57
2026/09/20 23:58:42.849, 0 %, 0 %, 5760 MiB, 16384 MiB, 46.17 W, 57
2026/09/20 23:58:43.852, 44 %, 3 %, 6748 MiB, 16384 MiB, 62.35 W, 58
2026/09/20 23:58:44.855, 0 %, 0 %, 7538 MiB, 16384 MiB, 58.97 W, 58
2026/09/20 23:58:45.858, 100 %, 56 %, 6858 MiB, 16384 MiB, 217.75 W, 64
2026/09/20 23:58:46.863, 100 %, 58 %, 6858 MiB, 16384 MiB, 222.04 W, 65
2026/09/20 23:58:47.867, 75 %, 42 %, 6870 MiB, 16384 MiB, 107.37 W, 62
2026/09/20 23:58:48.869, 20 %, 18 %, 6870 MiB, 16384 MiB, 59.22 W, 60
2026/09/20 23:58:49.871, 0 %, 0 %, 9224 MiB, 16384 MiB, 47.44 W, 59
2026/09/20 23:58:50.873, 0 %, 0 %, 9224 MiB, 16384 MiB, 47.56 W, 59
2026/09/20 23:58:51.876, 3 %, 0 %, 9240 MiB, 16384 MiB, 50.73 W, 59
2026/09/20 23:58:52.878, 0 %, 0 %, 9240 MiB, 16384 MiB, 58.91 W, 59
2026/09/20 23:58:53.881, 100 %, 0 %, 9240 MiB, 16384 MiB, 121.50 W, 62
2026/09/20 23:58:54.883, 100 %, 0 %, 9240 MiB, 16384 MiB, 120.56 W, 62
2026/09/20 23:58:55.886, 100 %, 0 %, 9240 MiB, 16384 MiB, 119.55 W, 63
2026/09/20 23:58:56.888, 100 %, 16 %, 9240 MiB, 16384 MiB, 146.56 W, 63
