#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    22:59:27       0     25     77      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      3      7 
 20260921    22:59:28       0     25     76      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      1 
 20260921    22:59:29       0     25     76      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    22:59:30       0     24     75      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    22:59:31       0     24     74      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    22:59:32       0     24     74      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    22:59:33       0     24     73      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    22:59:34       0     23     73      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    22:59:35       0     23     72      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    22:59:36       0     23     72      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    22:59:37       0     23     71      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    22:59:38       0     23     71      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    22:59:39       0     22     70      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    22:59:40       0     22     69      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    22:59:42       0     36     70      -      3      0      0      0      0      0   6501   1560      0      0    169      5      0      -      -      0      0      0 
 20260921    22:59:43       0     47     70      -      0      0      0      0      0      0   6501   1560      0      0   5803      5      0      -      -      0      0      0 
 20260921    22:59:44       0     47     70      -      0      0      0      0      0      0   6501   1560      0      0   5803      5      0      -      -      0   7092    808 
 20260921    22:59:45       0     61     71      -     42      3      0      0      0      0   6501   1890      0      0   7833      5      0      -      -      0     16      0 
 20260921    22:59:46       0     74     72      -      0      0      0      0      0      0   6501   1890     20      0   6901      5      0      -      -      0     31      7 
 20260921    22:59:47       0    125     75      -    100     57      0      0      0      0   6501   1260    100      0   6901      5      0      -      -      0     26     12 
 20260921    22:59:48       0    137     76      -    100     53      0      0      0      0   6501   1170    100      0   6913      5      0      -      -      0    110      6 
 20260921    22:59:49       0    101     74      -     26     11      0      0      0      0   6501   1890      0      0   6917      5      0      -      -      0      0      1 
 20260921    22:59:50       0     66     73      -      0      0      0      0      0      0   6501   1560      0      0  11627      5      0      -      -      0      0      0 
 20260921    22:59:51       0     58     72      -      0      0      0      0      0      0   6501   1560      0      0  11627      5      0      -      -      0      0      0 
 20260921    22:59:52       0     48     72      -      4      0      0      0      0      0   6501   1560      0      0  11643      5      0      -      -      0     31     11 
 20260921    22:59:53       0     57     72      -      0      0      0      0      0      0   6501   1560      7      0  11643      5      0      -      -      0      0      0 
 20260921    22:59:54       0     83     76      -    100     56      0      0      0      0   6501   1335     64      0  11643      5      0      -      -      0     14      5 
 20260921    22:59:55       0    138     77      -    100     58      0      0      0      0   6501   1230    100      0  11643      5      0      -      -      0     15      8 
 20260921    22:59:56       0    139     78      -    100     51      0      0      0      0   6501   1305    100      0  11643      5      0      -      -      0     21  14527 
 20260921    22:59:57       0    138     79      -    100     56      0      0      0      0   6501   1215    100      0  11643      5      0      -      -      0     14      9 
 20260921    22:59:58       0    139     79      -    100     51      0      0      0      0   6501   1305    100      0  11647     13      0      -      -      0   3340    475 
 20260921    22:59:59       0    138     80      -    100     55      0      0      0      0   6501   1200    100      0  11647     13      0      -      -      0    419     62 
 20260921    23:00:00       0    138     80      -    100     53      0      0      0      0   6501   1050    100      0  11647     13      0      -      -      0    414     56 
 20260921    23:00:01       0    138     81      -    100     52      0      0      0      0   6501   1185    100      0  11647     13      0      -      -      0    406     56 
 20260921    23:00:03       0    137     82      -     70     58      0      0      0      0   6501   1305     78      0  11647     13      0      -      -      0    622   1323 
 20260921    23:00:04       0    138     82      -    100     49      0      0      0      0   6501   1305    100      0  11647     13      0      -      -      0    432     62 
 20260921    23:00:05       0    138     83      -    100     52      0      0      0      0   6501   1155    100      0  11647     13      0      -      -      0    410     59 
