wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789999168281555869,125432900,112,0,2788,0
1789999169294852446,125421340,116,0,2788,0
1789999170304281921,125416368,120,4,2788,16
1789999171317786180,125416116,124,4,2788,16
1789999172334125351,125414120,52,12,2788,16
1789999173347409273,124950304,32,0,2788,16
1789999174357360541,124787384,36,0,2788,16
1789999175371456390,125024048,120,0,2788,16
1789999176386731992,125030604,120,0,2788,16
1789999177402908075,125046520,128,0,2788,16
1789999178419272918,124819976,112,0,2788,16
1789999179433622541,124779408,116,0,2788,16
1789999180447483928,124714144,120,0,2788,16
1789999181462298371,124621436,44,0,10852,16
1789999182476349187,124556244,44,0,80532,16
1789999183490437574,124430256,28,0,82932,16
1789999184504484736,124460236,0,0,82924,16
1789999185518486162,124472936,96,0,82924,16
1789999186532709003,124477392,108,0,82924,16
1789999187546424271,124476400,112,0,82924,16
1789999188560230300,124259676,116,0,82924,16
1789999189574015270,124263308,72,0,82924,16
1789999190587957668,120707116,20,0,3615680,16
1789999191602197723,116336112,32,0,7978696,16
1789999192616243878,115684684,32,0,8471532,16
1789999193630047838,115655052,692,0,8471528,16
1789999194644117055,115621436,696,0,8471532,16
1789999195657688224,115627080,644,0,8471532,16
1789999196671388018,115631472,112,0,8471532,16
1789999197684597575,115639960,120,0,8471532,16
1789999198698337637,115647972,168,0,8471532,16
1789999199712251809,115578088,40,0,8471532,16
1789999200723603075,115581712,0,0,8471532,16
1789999201737044754,115585080,24,0,8471532,16
1789999202750856381,115503904,56,0,8471532,16
1789999203765413030,115497148,708,0,8471532,16
1789999204779166451,115497400,716,0,8471532,16
1789999205792533605,115500320,720,0,8471532,16
1789999206806089573,115487028,692,0,8471532,16
1789999207819627899,115489204,704,0,8471532,16
1789999208833243995,115491620,824,0,8471532,16
1789999209846724703,115492040,336,0,8471532,16
1789999210860700423,115493704,624,8,8471532,16
1789999211874329793,115495108,648,0,8471532,16
1789999212887684328,115497552,840,0,8471532,16
1789999213901395012,115499076,776,0,8471532,16
1789999214914869880,115505628,820,0,8471532,16
1789999215928455439,115513620,896,0,8471532,16
1789999216941876883,115514800,260,0,8471532,16
1789999217955484776,115514360,176,0,8471532,16
1789999218969010848,115495768,236,0,8471532,16
1789999219983261756,115493972,36,0,8471532,16
1789999220996797482,115498640,876,0,8471532,16
1789999222010411683,115498676,884,0,8471532,16
1789999223023250650,115498924,884,0,8471532,16
1789999224037204118,115496208,900,0,8471532,16
1789999225050793661,115496800,824,0,8471532,16
1789999226064409777,115494636,60,0,8471532,16
1789999227077898615,115494088,444,0,8471532,16
1789999228091514967,115493836,444,0,8471532,16
1789999229105106288,115491468,452,0,8471532,16
1789999230118623392,115492644,460,0,8471532,16
1789999231130548219,115495208,0,0,8471532,16
1789999232144134760,115496896,36,0,8471532,16
1789999233157483361,115496660,56,0,8471532,16
1789999234171047109,115495696,60,0,8471532,16
1789999235184445226,115495948,64,0,8471532,16
1789999236197708305,115496744,4,0,8471532,16
1789999237211164109,115497508,484,0,8471532,16
1789999238224608938,115499864,488,0,8471532,16
1789999239238073874,115505660,1032,0,8471532,16
1789999240251392029,115510092,1036,0,8471532,16
1789999241264638063,115509000,1028,12,8471532,16
1789999242277850511,115508536,568,0,8471532,16
1789999243291227601,115507532,572,0,8471532,16
1789999244304968486,115505652,68,0,8471532,16
1789999245318550285,115504324,148,0,8471532,16
1789999246332272613,115504604,1388,0,8471532,16
1789999247345751818,115504100,1264,0,8471532,16
1789999248359515550,115503364,1280,0,8471532,16
1789999249372994892,115502860,1280,0,8471532,16
1789999250386571104,115501928,1316,0,8471532,16
1789999251400221548,115500960,368,0,8471532,16
1789999252413989980,115500116,16,64,8471532,16
1789999253427427821,115498616,44,0,8471532,16
1789999254440607654,115498368,44,0,8471532,16
1789999255454233216,115497628,48,0,8471532,16
1789999256467657670,115497296,724,0,8471532,16
1789999257481240136,115493276,752,0,8471532,16
1789999258494907065,115492428,712,0,8471532,16
1789999259508400476,115491968,712,0,8471532,16
1789999260522257925,115491164,728,0,8471532,16
1789999261535729736,115491164,0,0,8471532,16
1789999262549188957,115490668,92,0,8471532,16
1789999263560609605,115491196,4,0,8471532,16
1789999264574145447,115490232,28,0,8471532,16
1789999265587434650,115489480,28,0,8471532,16
1789999266600586699,115491144,564,0,8471532,16
1789999267614280226,115490116,660,0,8471532,16
1789999268627153989,115489664,604,0,8471532,16
1789999269640749748,115488668,624,0,8471532,16
1789999270654386939,115488936,628,0,8471532,16
1789999271668033507,115488164,356,0,8471532,16
1789999272681349727,115486096,148,0,8471532,16
1789999273694612161,115486252,152,0,8471532,16
1789999274708026382,115485460,36,0,8471532,16
1789999275720627471,115461908,132,0,8471532,16
1789999276734225413,115462576,1148,0,8471532,16
1789999277747624930,115462852,1316,0,8471532,16
1789999278760988942,115462428,1368,0,8471532,16
1789999279773879874,115461784,1232,0,8471532,16
1789999280787363107,115462048,1232,0,8471532,16
1789999281800499239,115462056,224,0,8471532,16
1789999282813782151,115461804,64,0,8471532,16
1789999283827314667,115466532,88,0,8471532,16
1789999284840726205,115478952,604,0,8471532,16
1789999285854311992,115477112,628,0,8471532,16
1789999286867901775,115477288,1764,0,8471532,16
1789999287880519541,115476664,1832,0,8471532,16
1789999288892585616,115477192,1832,0,8471532,16
1789999289906030188,115476444,1340,0,8471532,16
1789999290919860863,115477956,1216,0,8471532,16
1789999291933532988,115478728,388,0,8471532,16
1789999292946941304,115479364,120,0,8471532,16
1789999293960088433,115479200,252,0,8471532,16
1789999294973921037,115479400,240,0,8471532,16
1789999295987882763,115478004,276,0,8471532,16
1789999297001579753,115477464,1084,0,8471532,16
1789999298015814436,115477952,1184,0,8471532,16
1789999299029620393,115476952,1188,0,8471532,16
1789999300042895947,115477204,796,0,8471532,16
1789999301056180196,115476952,808,0,8471532,16
1789999302069630335,115475752,60,0,8471532,16
1789999303083246226,115475532,152,0,8471532,16
1789999304095849116,115473980,164,0,8471532,16
1789999305109616446,115472144,20,0,8471532,16
1789999306123053777,115471988,1072,0,8471532,16
1789999307136542434,115471024,1456,0,8471532,16
1789999308149927401,115470692,1476,0,8471532,16
