--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
   6    0            0    115930112       250664     10624704    0    0  2851   974   42   19   2   0  97   0   0 2026-09-21 23:55:05
   2    0            0    115828584       250664     10624708    0    0     0     0 3649 2594   6   0  94   0   0 2026-09-21 23:55:06
  37    0            0    115789616       250664     10624712    0    0     0     0 14989 42803   6   3  90   0   0 2026-09-21 23:55:07
   2    0            0    115735216       250680     10624716    0    0     0   428 20544 52657   6   4  89   0   0 2026-09-21 23:55:08
   1    0            0    115732128       250680     10624720    0    0     0  3784 2453 1359   4   0  96   0   0 2026-09-21 23:55:09
   1    0            0    115736696       250680     10624724    0    0     0     0 2350 2515   3   0  97   0   0 2026-09-21 23:55:10
  73    0            0    115296184       250680     10624724    0    0     0     0 6905 4063  10   1  89   0   0 2026-09-21 23:55:11
   3    0            0    115127696       250680     10624728    0    0     0     0 7767 3780  16   0  83   0   0 2026-09-21 23:55:12
   2    0            0    115394224       250680     10624736    0    0     0    48 6196 3141   6   0  93   0   0 2026-09-21 23:55:13
   1    0            0    115410128       250700     10624660    0    0     0   148 2125 1396   3   0  97   0   0 2026-09-21 23:55:14
   2    0            0    115419864       250700     10624668    0    0     0   652 2228 2230   3   0  97   0   0 2026-09-21 23:55:15
   0    0            0    115232128       250700     10624668    0    0     0     0 2425 2261   4   0  96   0   0 2026-09-21 23:55:16
   1    0            0    115202944       250700     10624672    0    0     0     0 2091 2216   2   0  97   0   0 2026-09-21 23:55:17
   0    0            0    115125416       250700     10624676    0    0     0    40 1958 2016   3   0  97   0   0 2026-09-21 23:55:18
   1    0            0    115028400       250700     10632744    0    0     0     0 2940 2325   2   1  98   0   0 2026-09-21 23:55:19
   1    0            0    114924296       250716     10702428    0    0     0   120 3502 3995   4   0  96   0   0 2026-09-21 23:55:20
   1    0            0    114795232       250716     10704892    0    0     0   136 3469 3909   3   1  96   0   0 2026-09-21 23:55:21
   1    0            0    114817168       250716     10704892    0    0     0    40 2912 3714   2   1  97   0   0 2026-09-21 23:55:22
   1    0            0    114756384       250716     10704884    0    0     0    40 2844 3542   2   1  97   0   0 2026-09-21 23:55:23
   1    0            0    114788384       250716     10704888    0    0     0     0 2564 2724   3   0  97   0   0 2026-09-21 23:55:24
   1    0            0    114793960       250716     10704892    0    0     0     0 2722 3513   3   0  97   0   0 2026-09-21 23:55:25
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
   3    0            0    114672320       250732     10704876    0    0     0   388 2990 4451   3   0  97   0   0 2026-09-21 23:55:26
   1    0            0    114672360       250732     10704920    0    0     0   137 2851 3498   3   0  97   0   0 2026-09-21 23:55:27
   1    0            0    111525728       250732     13833096    0    0     0    48 2716 3336   1   2  97   0   0 2026-09-21 23:55:28
   1    0            0    110315952       250732     14905944    0    0     0   204 7790 6282   8   1  91   0   0 2026-09-21 23:55:29
   1    0            0    110266304       250732     14905948    0    0     0    72 6767 11467   3   0  97   0   0 2026-09-21 23:55:30
   1    0            0    110233040       250732     14905968    0    0     0     0 7065 11357   3   0  97   0   0 2026-09-21 23:55:31
   1    0            0    110232320       250748     14905972    0    0     0   120 7347 11510   3   0  97   0   0 2026-09-21 23:55:32
   2    0            0    110230912       250748     14905976    0    0     0     0 7299 11391   3   0  97   0   0 2026-09-21 23:55:33
   1    0            0    110229680       250748     14905980    0    0     0    60 7507 10475   3   0  97   0   0 2026-09-21 23:55:34
   5    0            0    110201608       250748     14905984    0    0     0 75784 10053 10966   9   1  89   0   0 2026-09-21 23:55:35
   1    0            0    110128336       250748     14905984    0    0     0 10240 10522 10623  12   1  87   0   0 2026-09-21 23:55:36
   1    0            0    110127840       250748     14905988    0    0     0     0 6537 10568   2   1  97   0   0 2026-09-21 23:55:37
   1    0            0    110132728       250764     14905988    0    0     0   132 6507 10581   2   1  97   0   0 2026-09-21 23:55:38
   3    1            0    110078128       250764     14906004    0    0     0 1142080 10722 14599   3   2  93   2   0 2026-09-21 23:55:39
   5    0            0    110076984       250764     14906104    0    0     0 1647616 16359 21998   6   1  89   4   0 2026-09-21 23:55:40
   5    0            0    110076496       250764     14906112    0    0     0     0 10810 10646  13   1  86   0   0 2026-09-21 23:55:41
   4    1            0    110075240       250764     14906112    0    0     0 73728 10223 10997  11   1  87   0   0 2026-09-21 23:55:42
   5    0            0    110057536       250764     14906188    0    0     0 114688 10336 11296  11   2  87   0   0 2026-09-21 23:55:43
   5    0            0    110056352       250780     14906192    0    0     0  1760 10503 10559  13   2  86   0   0 2026-09-21 23:55:44
   4    0            0    110057280       250780     14906192    0    0     0     0 10089 10752  12   1  87   0   0 2026-09-21 23:55:45
   5    0            0    110054560       250780     14906432    0    0   128 594944 10004 13174   6   2  91   2   0 2026-09-21 23:55:46
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
   4    0            0    110057832       250780     14906780    0    0     0 1305600 11628 13332   7   1  89   3   0 2026-09-21 23:55:47
   5    0            0    110063760       250780     14906996    0    0     0 655360 11886 12066  10   1  87   1   0 2026-09-21 23:55:48
   5    0            0    110068352       250780     14907080    0    0     0    76 11866 10436  13   1  86   0   0 2026-09-21 23:55:49
   5    0            0    110073680       250796     14907072    0    0     0   736 11918 10580  13   1  86   0   0 2026-09-21 23:55:50
   2    0            0    110077952       250796     14907072    0    0     0 122072 10851 11291  11   1  87   0   0 2026-09-21 23:55:51
   5    0            0    110081312       250796     14907136    0    0     0 58368 11376 10795  12   2  87   0   0 2026-09-21 23:55:52
   4    0            0    110085488       250796     14907136    0    0     0     0 11493 10508  12   1  87   0   0 2026-09-21 23:55:53
   4    0            0    110089184       250796     14907144    0    0     0    48 10537 10421  11   0  89   0   0 2026-09-21 23:55:54
   9    0            0    110093840       250796     14907624    0    0 63488 1908736 15630 17020   9   1  86   4   0 2026-09-21 23:55:55
   4    3            0    110102352       250812     14907756    0    0 569344 262532 17607 15400  20   1  77   2   0 2026-09-21 23:55:56
   3    2            0    110105248       250812     14907832    0    0 817152 122406 12849 13643  14   1  84   2   0 2026-09-21 23:55:57
   5    0            0    110098728       250812     14907976    0    0     0 518144 10403 11663  10   1  89   1   0 2026-09-21 23:55:58
   5    0            0    110101224       250812     14907980    0    0     0   108 10452 10548  13   1  86   0   0 2026-09-21 23:55:59
   4    0            0    110104000       250812     14907988    0    0     0   280 9792 10598  12   1  88   0   0 2026-09-21 23:56:00
   4    0            0    110108488       250820     14908024    0    0     0 893992 11192 12325   9   1  88   2   0 2026-09-21 23:56:01
   4    0            0    110113640       250828     14908256    0    0     0 41260 9835 10901  11   1  89   0   0 2026-09-21 23:56:02
   4    0            0    110114952       250828     14908340    0    0     0 292864 10526 11484  11   1  87   1   0 2026-09-21 23:56:03
   5    0            0    110115952       250828     14908476    0    0     0 542720 10690 12268  10   1  88   1   0 2026-09-21 23:56:04
   5    0            0    110116040       250828     14908532    0    0     0    96 10480 10693  13   1  86   0   0 2026-09-21 23:56:05
