wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1790003141409835525,125402544,3756,0,2788,0
1790003142423362711,125391500,3760,0,2788,16
1790003143434433281,125392976,3760,0,2788,16
1790003144447999202,125262304,4364,0,2784,16
1790003145464338157,125262292,4384,0,2788,16
1790003146480284442,125262292,4356,0,2788,16
1790003147495149666,124783864,4364,0,2788,16
1790003148502583360,124584104,4364,0,2788,16
1790003149516518141,124878148,3776,132,2788,16
1790003150532959520,124886288,3780,132,2788,16
1790003151548560351,124813968,3772,0,2788,16
1790003152562576667,124677916,3784,0,2788,16
1790003153576665046,124617472,3784,0,2788,16
1790003154590011661,124569092,3788,0,2788,16
1790003155603210381,124469288,3796,0,10852,16
1790003156616208007,124239188,3820,0,82628,16
1790003157629518766,124253576,3788,0,82932,16
1790003158643117423,124268536,3796,0,82924,16
1790003159657120246,124289492,3800,0,82924,16
1790003160671112786,124489844,3804,0,82924,16
1790003161684882845,124497004,76,0,82924,16
1790003162698530603,124232472,36,0,82924,16
1790003163712976902,124237512,40,0,82924,16
1790003164726489583,123119112,52,0,82924,16
1790003165740365810,123046780,64,0,82924,16
1790003166753864966,123046020,136,0,82924,16
1790003167765985718,123046032,84,0,82924,16
1790003168778277418,123041200,108,0,82924,16
1790003169790649747,123038496,108,0,82924,16
1790003170802940481,123037528,304,0,82924,16
1790003171815618326,122964968,348,0,82924,16
1790003172828219583,122964464,312,24,82924,16
1790003173841323986,122965168,372,0,82924,16
1790003174854551540,122932452,380,0,82924,16
1790003175867458502,122932668,392,0,82924,16
1790003176880654466,122932912,308,0,82924,16
1790003177894177847,122933948,328,0,82924,16
1790003178907521370,122936752,296,0,82924,16
1790003179921102232,122936760,328,0,82924,16
1790003180934407989,122936012,336,0,82924,16
1790003181947767811,122938160,180,0,82924,16
1790003182961441478,122940296,276,0,82924,16
1790003183974283775,122938536,308,0,82924,16
1790003184987614651,122938288,308,0,82924,16
1790003186000592737,122939456,376,0,82924,16
1790003187013733783,122938536,384,0,82924,16
1790003188027266906,122933784,192,0,82924,16
1790003189040861768,122932580,328,0,82924,16
1790003190053734723,122942688,832,0,82924,16
1790003191065819877,122935120,868,0,82924,16
1790003192078603521,122945364,900,0,82924,16
1790003193090554661,122944152,904,0,82924,16
1790003194103217663,122944928,152,32,82924,16
1790003195115035020,122945480,296,0,82924,16
1790003196128240658,122947612,304,0,82924,16
1790003197141895327,122948424,188,0,82924,16
1790003198155518863,122950396,212,0,82924,16
1790003199169039871,122950936,236,0,82924,16
1790003200182357543,122952080,60,0,82924,16
1790003201195650429,122952756,188,0,82924,16
1790003202208720331,122953624,228,0,82924,16
1790003203221178742,122953588,260,0,82924,16
1790003204234034057,122953088,284,0,82924,16
1790003205246773272,122956676,264,0,82924,16
1790003206260089998,122955932,320,0,82924,16
1790003207273304033,122956708,356,0,82924,16
1790003208286504479,122957972,356,0,82924,16
1790003209299989251,122958900,340,32,82924,16
1790003210313197207,122959152,96,0,82924,16
1790003211326550446,122960700,124,0,82924,16
1790003212339690577,122960480,244,0,82924,16
1790003213353227771,122959472,244,0,82924,16
1790003214366802039,122959228,272,0,82924,16
1790003215380384406,122959004,248,0,82924,16
1790003216393435794,122959004,132,0,82924,16
1790003217406646192,122958248,248,0,82924,16
1790003218420046140,122958020,252,0,82924,16
1790003219433934321,122956264,292,0,82924,16
1790003220449556783,122956020,264,0,82924,16
1790003221463285433,122955264,292,0,82924,16
