timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/22 00:05:40.425, 0 %, 0 %, 1 MiB, 16376 MiB, 26.42 W, 78
2026/09/22 00:05:41.442, 0 %, 0 %, 1 MiB, 16376 MiB, 26.42 W, 78
2026/09/22 00:05:42.443, 0 %, 0 %, 1 MiB, 16376 MiB, 26.19 W, 78
2026/09/22 00:05:43.443, 0 %, 0 %, 1 MiB, 16376 MiB, 25.89 W, 77
2026/09/22 00:05:44.443, 0 %, 0 %, 4 MiB, 16376 MiB, 25.54 W, 77
2026/09/22 00:05:45.444, 0 %, 0 %, 4 MiB, 16376 MiB, 25.42 W, 76
2026/09/22 00:05:46.444, 0 %, 0 %, 4 MiB, 16376 MiB, 25.12 W, 76
2026/09/22 00:05:47.446, 0 %, 0 %, 4 MiB, 16376 MiB, 24.99 W, 76
2026/09/22 00:05:48.447, 0 %, 0 %, 4 MiB, 16376 MiB, 24.75 W, 75
2026/09/22 00:05:49.447, 0 %, 0 %, 4 MiB, 16376 MiB, 24.62 W, 75
2026/09/22 00:05:50.447, 0 %, 0 %, 4 MiB, 16376 MiB, 24.47 W, 75
2026/09/22 00:05:51.448, 0 %, 0 %, 4 MiB, 16376 MiB, 24.32 W, 74
2026/09/22 00:05:52.448, 0 %, 0 %, 4 MiB, 16376 MiB, 24.21 W, 74
2026/09/22 00:05:53.448, 0 %, 0 %, 4 MiB, 16376 MiB, 24.07 W, 74
2026/09/22 00:05:54.449, 0 %, 0 %, 4 MiB, 16376 MiB, 23.91 W, 74
2026/09/22 00:05:55.449, 0 %, 0 %, 169 MiB, 16376 MiB, 23.80 W, 73
2026/09/22 00:05:56.450, 0 %, 0 %, 281 MiB, 16376 MiB, 37.71 W, 74
2026/09/22 00:05:57.450, 0 %, 0 %, 5803 MiB, 16376 MiB, 50.14 W, 74
2026/09/22 00:05:58.450, 0 %, 0 %, 6011 MiB, 16376 MiB, 50.02 W, 74
2026/09/22 00:05:59.450, 43 %, 3 %, 7833 MiB, 16376 MiB, 63.10 W, 76
2026/09/22 00:06:00.451, 0 %, 0 %, 6901 MiB, 16376 MiB, 76.76 W, 76
2026/09/22 00:06:01.451, 100 %, 53 %, 6901 MiB, 16376 MiB, 121.34 W, 79
2026/09/22 00:06:02.451, 100 %, 61 %, 6901 MiB, 16376 MiB, 137.95 W, 81
2026/09/22 00:06:03.452, 100 %, 58 %, 6917 MiB, 16376 MiB, 111.66 W, 79
2026/09/22 00:06:04.452, 0 %, 0 %, 11439 MiB, 16376 MiB, 72.68 W, 79
2026/09/22 00:06:05.452, 75 %, 61 %, 11439 MiB, 16376 MiB, 72.55 W, 78
2026/09/22 00:06:06.453, 0 %, 0 %, 12111 MiB, 16376 MiB, 80.43 W, 81
2026/09/22 00:06:07.453, 100 %, 53 %, 12111 MiB, 16376 MiB, 137.86 W, 82
2026/09/22 00:06:08.453, 100 %, 52 %, 12111 MiB, 16376 MiB, 138.85 W, 83
2026/09/22 00:06:09.454, 100 %, 47 %, 12111 MiB, 16376 MiB, 138.81 W, 84
2026/09/22 00:06:10.454, 100 %, 51 %, 12111 MiB, 16376 MiB, 139.42 W, 84
2026/09/22 00:06:11.454, 100 %, 51 %, 12111 MiB, 16376 MiB, 139.20 W, 85
2026/09/22 00:06:12.455, 100 %, 57 %, 12111 MiB, 16376 MiB, 139.28 W, 86
2026/09/22 00:06:13.455, 100 %, 53 %, 12111 MiB, 16376 MiB, 139.41 W, 86
2026/09/22 00:06:14.455, 100 %, 53 %, 12111 MiB, 16376 MiB, 139.44 W, 87
2026/09/22 00:06:15.456, 100 %, 47 %, 12111 MiB, 16376 MiB, 138.25 W, 87
2026/09/22 00:06:16.456, 100 %, 49 %, 12111 MiB, 16376 MiB, 138.42 W, 88
2026/09/22 00:06:17.456, 100 %, 45 %, 12111 MiB, 16376 MiB, 138.99 W, 89
2026/09/22 00:06:18.456, 100 %, 55 %, 12111 MiB, 16376 MiB, 139.64 W, 89
2026/09/22 00:06:19.457, 100 %, 53 %, 12113 MiB, 16376 MiB, 139.77 W, 89
2026/09/22 00:06:20.457, 100 %, 50 %, 12113 MiB, 16376 MiB, 139.29 W, 90
2026/09/22 00:06:21.457, 100 %, 48 %, 12113 MiB, 16376 MiB, 139.64 W, 90
2026/09/22 00:06:22.458, 100 %, 49 %, 12113 MiB, 16376 MiB, 139.78 W, 91
2026/09/22 00:06:23.458, 100 %, 53 %, 12113 MiB, 16376 MiB, 138.39 W, 91
2026/09/22 00:06:24.458, 100 %, 46 %, 12113 MiB, 16376 MiB, 139.15 W, 91
2026/09/22 00:06:25.459, 100 %, 47 %, 12113 MiB, 16376 MiB, 139.99 W, 92
2026/09/22 00:06:26.459, 100 %, 48 %, 12113 MiB, 16376 MiB, 139.35 W, 92
2026/09/22 00:06:27.459, 100 %, 53 %, 12113 MiB, 16376 MiB, 139.42 W, 92
2026/09/22 00:06:28.459, 100 %, 56 %, 12113 MiB, 16376 MiB, 139.46 W, 93
2026/09/22 00:06:29.460, 100 %, 53 %, 12113 MiB, 16376 MiB, 139.74 W, 93
2026/09/22 00:06:30.460, 100 %, 55 %, 12113 MiB, 16376 MiB, 137.88 W, 93
2026/09/22 00:06:31.460, 100 %, 51 %, 12113 MiB, 16376 MiB, 138.52 W, 93
2026/09/22 00:06:32.461, 92 %, 66 %, 12113 MiB, 16376 MiB, 138.34 W, 94
2026/09/22 00:06:33.461, 100 %, 48 %, 12113 MiB, 16376 MiB, 138.10 W, 94
2026/09/22 00:06:34.461, 100 %, 44 %, 12113 MiB, 16376 MiB, 137.06 W, 94
2026/09/22 00:06:35.462, 100 %, 45 %, 12113 MiB, 16376 MiB, 135.79 W, 94
2026/09/22 00:06:36.462, 100 %, 43 %, 12113 MiB, 16376 MiB, 133.88 W, 94
2026/09/22 00:06:37.462, 100 %, 52 %, 12113 MiB, 16376 MiB, 132.93 W, 94
2026/09/22 00:06:38.463, 100 %, 45 %, 12113 MiB, 16376 MiB, 132.36 W, 94
2026/09/22 00:06:39.463, 100 %, 45 %, 12113 MiB, 16376 MiB, 132.87 W, 94
2026/09/22 00:06:40.463, 98 %, 45 %, 12113 MiB, 16376 MiB, 131.18 W, 94
2026/09/22 00:06:41.464, 100 %, 39 %, 12113 MiB, 16376 MiB, 131.22 W, 94
2026/09/22 00:06:42.464, 100 %, 39 %, 12113 MiB, 16376 MiB, 131.65 W, 94
2026/09/22 00:06:43.464, 100 %, 44 %, 12113 MiB, 16376 MiB, 131.04 W, 94
2026/09/22 00:06:44.465, 96 %, 56 %, 12113 MiB, 16376 MiB, 131.12 W, 94
2026/09/22 00:06:45.465, 100 %, 42 %, 12113 MiB, 16376 MiB, 131.89 W, 94
2026/09/22 00:06:46.465, 100 %, 45 %, 12113 MiB, 16376 MiB, 133.08 W, 94
2026/09/22 00:06:47.466, 100 %, 47 %, 12113 MiB, 16376 MiB, 132.62 W, 94
2026/09/22 00:06:48.466, 100 %, 39 %, 12113 MiB, 16376 MiB, 133.79 W, 94
2026/09/22 00:06:49.466, 100 %, 53 %, 12113 MiB, 16376 MiB, 135.20 W, 94
2026/09/22 00:06:50.467, 100 %, 50 %, 12113 MiB, 16376 MiB, 134.48 W, 94
2026/09/22 00:06:51.467, 100 %, 63 %, 12113 MiB, 16376 MiB, 133.94 W, 94
2026/09/22 00:06:52.467, 100 %, 38 %, 12113 MiB, 16376 MiB, 132.59 W, 94
2026/09/22 00:06:53.468, 100 %, 42 %, 12113 MiB, 16376 MiB, 132.05 W, 94
2026/09/22 00:06:54.468, 100 %, 44 %, 12113 MiB, 16376 MiB, 133.84 W, 94
2026/09/22 00:06:55.468, 100 %, 53 %, 12113 MiB, 16376 MiB, 132.84 W, 94
2026/09/22 00:06:56.469, 100 %, 39 %, 12113 MiB, 16376 MiB, 133.74 W, 94
2026/09/22 00:06:57.469, 100 %, 43 %, 12113 MiB, 16376 MiB, 133.02 W, 94
2026/09/22 00:06:58.469, 100 %, 44 %, 12113 MiB, 16376 MiB, 134.02 W, 94
2026/09/22 00:06:59.470, 100 %, 44 %, 12113 MiB, 16376 MiB, 133.96 W, 94
2026/09/22 00:07:00.470, 100 %, 44 %, 12113 MiB, 16376 MiB, 133.89 W, 94
2026/09/22 00:07:01.470, 100 %, 42 %, 12113 MiB, 16376 MiB, 134.47 W, 94
2026/09/22 00:07:02.471, 100 %, 42 %, 12113 MiB, 16376 MiB, 134.24 W, 94
2026/09/22 00:07:03.471, 100 %, 46 %, 12113 MiB, 16376 MiB, 135.15 W, 94
2026/09/22 00:07:04.471, 100 %, 53 %, 12113 MiB, 16376 MiB, 136.53 W, 94
2026/09/22 00:07:05.472, 100 %, 40 %, 12113 MiB, 16376 MiB, 134.07 W, 94
2026/09/22 00:07:06.472, 100 %, 40 %, 12113 MiB, 16376 MiB, 133.50 W, 94
2026/09/22 00:07:07.472, 100 %, 40 %, 12113 MiB, 16376 MiB, 133.38 W, 94
2026/09/22 00:07:08.472, 100 %, 48 %, 12113 MiB, 16376 MiB, 135.88 W, 94
2026/09/22 00:07:09.473, 100 %, 44 %, 12113 MiB, 16376 MiB, 134.16 W, 94
2026/09/22 00:07:10.473, 100 %, 50 %, 12113 MiB, 16376 MiB, 134.37 W, 94
2026/09/22 00:07:11.473, 100 %, 46 %, 12113 MiB, 16376 MiB, 133.83 W, 94
2026/09/22 00:07:12.474, 100 %, 46 %, 12113 MiB, 16376 MiB, 135.28 W, 94
2026/09/22 00:07:13.474, 100 %, 40 %, 12113 MiB, 16376 MiB, 135.12 W, 94
2026/09/22 00:07:14.474, 100 %, 43 %, 12113 MiB, 16376 MiB, 135.96 W, 94
2026/09/22 00:07:15.475, 100 %, 49 %, 12113 MiB, 16376 MiB, 136.82 W, 94
2026/09/22 00:07:16.475, 100 %, 50 %, 12113 MiB, 16376 MiB, 136.13 W, 94
2026/09/22 00:07:17.475, 100 %, 48 %, 12113 MiB, 16376 MiB, 135.93 W, 94
2026/09/22 00:07:18.476, 100 %, 45 %, 12113 MiB, 16376 MiB, 135.13 W, 94
2026/09/22 00:07:19.476, 100 %, 47 %, 12113 MiB, 16376 MiB, 135.34 W, 94
2026/09/22 00:07:20.476, 100 %, 46 %, 12113 MiB, 16376 MiB, 135.26 W, 94
2026/09/22 00:07:21.477, 100 %, 41 %, 12113 MiB, 16376 MiB, 134.54 W, 94
2026/09/22 00:07:22.477, 100 %, 45 %, 12113 MiB, 16376 MiB, 136.09 W, 94
2026/09/22 00:07:23.477, 100 %, 38 %, 12113 MiB, 16376 MiB, 134.36 W, 94
2026/09/22 00:07:24.478, 100 %, 41 %, 12113 MiB, 16376 MiB, 135.90 W, 94
2026/09/22 00:07:25.478, 100 %, 43 %, 12113 MiB, 16376 MiB, 135.01 W, 94
2026/09/22 00:07:26.478, 100 %, 49 %, 12113 MiB, 16376 MiB, 137.47 W, 94
2026/09/22 00:07:27.479, 100 %, 53 %, 12113 MiB, 16376 MiB, 136.72 W, 94
2026/09/22 00:07:28.479, 100 %, 47 %, 12113 MiB, 16376 MiB, 136.63 W, 94
2026/09/22 00:07:29.479, 100 %, 47 %, 12113 MiB, 16376 MiB, 137.02 W, 94
2026/09/22 00:07:30.479, 100 %, 46 %, 12113 MiB, 16376 MiB, 135.95 W, 94
2026/09/22 00:07:31.480, 100 %, 46 %, 12113 MiB, 16376 MiB, 137.24 W, 94
2026/09/22 00:07:32.480, 100 %, 50 %, 12113 MiB, 16376 MiB, 135.85 W, 94
2026/09/22 00:07:33.480, 100 %, 45 %, 12113 MiB, 16376 MiB, 136.53 W, 94
2026/09/22 00:07:34.481, 100 %, 43 %, 12113 MiB, 16376 MiB, 135.55 W, 94
2026/09/22 00:07:35.481, 100 %, 45 %, 12113 MiB, 16376 MiB, 134.64 W, 94
2026/09/22 00:07:36.481, 100 %, 47 %, 12113 MiB, 16376 MiB, 135.26 W, 94
2026/09/22 00:07:37.482, 100 %, 41 %, 12113 MiB, 16376 MiB, 134.64 W, 94
2026/09/22 00:07:38.482, 100 %, 45 %, 12113 MiB, 16376 MiB, 134.74 W, 94
2026/09/22 00:07:39.482, 87 %, 59 %, 12113 MiB, 16376 MiB, 133.62 W, 94
2026/09/22 00:07:40.483, 100 %, 39 %, 12113 MiB, 16376 MiB, 134.96 W, 94
2026/09/22 00:07:41.483, 100 %, 43 %, 12113 MiB, 16376 MiB, 135.65 W, 94
2026/09/22 00:07:42.483, 100 %, 43 %, 12113 MiB, 16376 MiB, 134.91 W, 94
