wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1790002823492540754,125419540,36,0,2788,0
1790002824505289328,125419540,40,0,2788,0
1790002825513185315,125356856,40,0,2788,16
1790002826527137713,125348544,44,0,2788,16
1790002827540939122,125348036,376,0,2788,16
1790002828557107085,124881136,812,32,2788,16
1790002829571600616,124698692,860,0,2788,16
1790002830585466558,125150288,860,0,2788,16
1790002831599416262,125150712,864,0,2788,16
1790002832613512188,125159348,868,0,2788,16
1790002833629626434,124939548,276,0,2788,16
1790002834643634723,124889352,248,0,2788,16
1790002835657834448,124811260,296,0,2788,16
1790002836671975545,124704436,308,0,10852,16
1790002837685836618,124586524,308,0,80612,16
1790002838700024882,124471700,476,8,82920,16
1790002839713919792,124476228,504,0,82924,16
1790002840727798195,124430940,504,0,82924,16
1790002841742034788,124432812,508,0,82924,16
1790002842755481797,124438272,524,0,82924,16
1790002843769199196,124295108,292,32,82924,16
1790002844783156567,124166048,336,0,82924,16
1790002845797549147,121323284,352,0,2913972,16
1790002846811638022,119873876,492,0,4277228,16
1790002847825453953,119842868,492,0,4277228,16
1790002848839103674,119802832,456,20,4277228,16
1790002849852583127,119803268,540,0,4277228,16
1790002850865662939,119802512,376,0,4277228,16
1790002851878720288,119801008,512,0,4277228,16
1790002852892117637,119806736,512,0,4277228,16
1790002853905618596,119746424,552,0,4277228,16
1790002854918468021,119758068,584,0,4277228,16
1790002855931776120,119763824,620,0,4277228,16
1790002856945627827,119682672,568,0,4277228,16
1790002857960149973,119683384,220,0,4277228,16
1790002858973611995,119681848,936,0,4277228,16
1790002859987213077,119681628,892,0,4277228,16
1790002861000527702,119689096,916,0,4277228,16
1790002862013961645,119690788,864,0,4277228,16
1790002863027035692,119696480,888,0,4277228,16
1790002864040096649,119694600,1120,0,4277228,16
1790002865053419041,119696352,1080,0,4277228,16
1790002866066767939,119703856,1124,0,4277228,16
1790002867080308148,119710832,1156,0,4277228,16
1790002868093392786,119713272,932,0,4277228,16
1790002869106577527,119716536,1532,0,4277228,16
1790002870119903520,119717944,1484,0,4277228,16
1790002871133211701,119718760,1576,0,4277228,16
1790002872146187997,119720528,1592,0,4277228,16
1790002873159305361,119731340,2176,0,4277228,16
1790002874171978908,119687904,1508,0,4277228,16
1790002875184310635,119688848,1524,0,4277228,16
1790002876198062291,119688448,2460,0,4277228,16
1790002877211367994,119687692,2488,0,4277228,16
1790002878224428923,119688888,2516,0,4277228,16
1790002879237797218,119689620,2540,0,4277228,16
1790002880251328672,119689728,2404,0,4277228,16
1790002881264676938,119689612,2440,0,4277228,16
1790002882277867075,119688220,3172,0,4277228,16
1790002883291171400,119688724,3192,0,4277228,16
1790002884304440797,119688380,3212,0,4277228,16
1790002885317339759,119689368,3212,0,4277228,16
1790002886330677441,119687576,3860,0,4277228,16
1790002887344221012,119687312,3780,0,4277228,16
1790002888356729445,119687328,3824,0,4277228,16
1790002889369199969,119688140,360,0,4277228,16
1790002890381423833,119685652,248,0,4277228,16
1790002891393982161,119685584,200,0,4277228,16
1790002892407279687,119685836,484,0,4277228,16
1790002893420438633,119686108,476,0,4277228,16
1790002894433639395,119686360,504,0,4277228,16
1790002895447142590,119686672,568,0,4277228,16
1790002896460487260,119686756,1392,0,4277228,16
1790002897473864897,119687276,1592,0,4277228,16
1790002898487341842,119686268,1596,0,4277228,16
1790002899500604424,119685772,1544,0,4277228,16
1790002900514007536,119687564,1572,0,4277228,16
1790002901527395305,119686132,1576,0,4277228,16
1790002902551436443,119685196,1976,0,4277228,16
1790002903564945371,119683564,1988,0,4277228,16
1790002904578308758,119682812,1976,0,4277228,16
1790002905591910375,119682040,2056,0,4277228,16
1790002906605359773,119681124,3080,0,4277228,16
1790002907618855351,119680480,2908,0,4277228,16
1790002908632119566,119680716,3052,0,4277228,16
1790002909644982856,119680224,3056,0,4277228,16
1790002910658562314,119678976,3040,0,4277228,16
1790002911671660557,119678556,3564,0,4277228,16
1790002912685185863,119662160,3720,0,4277228,16
1790002913698656206,119661692,3544,0,4277228,16
1790002914711667349,119661440,3672,0,4277228,16
1790002915724215248,119661192,3584,0,4277228,16
