#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    23:04:40       0     23     72      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      3      5 
 20260921    23:04:41       0     23     72      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      1 
 20260921    23:04:42       0     23     71      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    23:04:43       0     23     71      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0     19     11 
 20260921    23:04:45       0     23     71      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    23:04:46       0     23     71      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    23:04:47       0     22     70      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    23:04:48       0     22     70      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    23:04:49       0     22     70      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    23:04:50       0     22     70      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    23:04:51       0     22     69      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    23:04:52       0     22     69      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    23:04:53       0     22     69      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    23:04:54       0     22     68      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    23:04:55       0     22     68      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    23:04:56       0     34     69      -      0      0      0      0      0      0   6501   1560      0      0    281      5      0      -      -      0      0      0 
 20260921    23:04:57       0     46     69      -      0      0      0      0      0      0   6501   1560      0      0   5803      5      0      -      -      0      0      0 
 20260921    23:04:58       0     46     69      -      0      0      0      0      0      0   6501   1560      0      0   6251      5      0      -      -      0   5336    612 
 20260921    23:04:59       0     64     71      -     41      3      0      0      0      0   6501   1890      0      0   7833      5      0      -      -      0      0      0 
 20260921    23:05:00       0     74     73      -      0      0      0      0      0      0   6501   1275     44      0   6901      5      0      -      -      0     22     11 
 20260921    23:05:01       0    134     75      -    100     59      0      0      0      0   6501   1320    100      0   6901      5      0      -      -      0     22      8 
 20260921    23:05:02       0    138     76      -    100     59      0      0      0      0   6501   1305     78      0   6917      5      0      -      -      0      0      0 
 20260921    23:05:03       0     69     73      -      0      0      0      0      0      0   6501   1890      0      0   6917      5      0      -      -      0      0      0 
 20260921    23:05:05       0     70     73      -      0      0      0      0      0      0   6501   1560     10      0  11439   4741      0      -      -      0      0      0 
 20260921    23:05:06       0     54     74      -     95     58      0      0      0      0   6501   1335     24      0  12111   4741      0      -      -      0     20      9 
 20260921    23:05:07       0    139     77      -    100     54      0      0      0      0   6501   1155    100      0  12111   4741      0      -      -      0     25      6 
 20260921    23:05:08       0    138     78      -    100     50      0      0      0      0   6501   1140    100      0  12111   4741      0      -      -      0     21      5 
 20260921    23:05:09       0    138     79      -    100     57      0      0      0      0   6501   1290    100      0  12111   4741      0      -      -      0     13      6 
 20260921    23:05:10       0    139     80      -    100     51      0      0      0      0   6501   1185    100      0  12111   4741      0      -      -      0     17      7 
 20260921    23:05:11       0    139     81      -    100     55      0      0      0      0   6501   1305    100      0  12111   4741      0      -      -      0    118   5710 
 20260921    23:05:12       0    139     81      -    100     58      0      0      0      0   6501   1275    100      0  12111   4741      0      -      -      0     20      9 
 20260921    23:05:13       0    139     82      -    100     54      0      0      0      0   6501   1200    100      0  12111   4741      0      -      -      0     27     10 
 20260921    23:05:14       0    138     83      -    100     58      0      0      0      0   6501   1200     89      0  12111   4741      0      -      -      0     23      7 
 20260921    23:05:15       0    137     84      -    100     50      0      0      0      0   6501   1215    100      0  12111   4741      0      -      -      0     29      9 
 20260921    23:05:16       0    139     84      -    100     47      0      0      0      0   6501   1245    100      0  12111   4741      0      -      -      0     17      8 
 20260921    23:05:17       0    139     85      -    100     49      0      0      0      0   6501   1170    100      0  12111   4741      0      -      -      0     23      9 
 20260921    23:05:18       0    139     85      -    100     56      0      0      0      0   6501   1155    100      0  12113   4741      0      -      -      0   1404   6453 
 20260921    23:05:19       0    139     86      -    100     53      0      0      0      0   6501   1260    100      0  12113   4741      0      -      -      0     13      9 
 20260921    23:05:20       0    139     86      -    100     52      0      0      0      0   6501   1245    100      0  12113   4741      0      -      -      0     14     10 
 20260921    23:05:21       0    139     87      -    100     48      0      0      0      0   6501   1185    100      0  12113   4741      0      -      -      0     23      8 
 20260921    23:05:22       0    138     87      -    100     56      0      0      0      0   6501   1605    100      0  12113   4741      0      -      -      0     21      6 
 20260921    23:05:23       0    138     87      -    100     51      0      0      0      0   6501   1065    100      0  12113   4741      0      -      -      0     23     10 
 20260921    23:05:24       0    139     88      -    100     46      0      0      0      0   6501   1095    100      0  12113   4741      0      -      -      0     26      8 
 20260921    23:05:26       0    139     88      -    100     55      0      0      0      0   6501    990    100      0  12113   4741      0      -      -      0     26      8 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    23:05:27       0    139     89      -    100     55      0      0      0      0   6501   1005    100      0  12113   4741      0      -      -      0     23     12 
 20260921    23:05:28       0    139     89      -    100     56      0      0      0      0   6501   1050    100      0  12113   4741      0      -      -      0     26     11 
 20260921    23:05:29       0    139     89      -    100     57      0      0      0      0   6501   1095    100      0  12113   4741      0      -      -      0   1404   6406 
 20260921    23:05:30       0    139     90      -    100     51      0      0      0      0   6501    990    100      0  12113   4741      0      -      -      0   1325   5103 
 20260921    23:05:31       0    138     90      -    100     51      0      0      0      0   6501   1095     94      0  12113   4741      0      -      -      0     15      7 
 20260921    23:05:32       0    138     90      -    100     52      0      0      0      0   6501   1095    100      0  12113   4741      0      -      -      0     17      7 
 20260921    23:05:33       0    139     91      -    100     52      0      0      0      0   6501   1185    100      0  12113   4741      0      -      -      0     15      6 
 20260921    23:05:34       0    139     91      -    100     45      0      0      0      0   6501    930    100      0  12113   4741      0      -      -      0     12      6 
 20260921    23:05:35       0    139     91      -    100    100      0      0      0      0   6501   1110    100      0  12113   4741      0      -      -      0     25      8 
 20260921    23:05:36       0    139     91      -    100     54      0      0      0      0   6501   1125    100      0  12113   4741      0      -      -      0     25      6 
 20260921    23:05:37       0    139     92      -    100     52      0      0      0      0   6501   1125    100      0  12113   4741      0      -      -      0     21      7 
 20260921    23:05:38       0    139     92      -    100     46      0      0      0      0   6501    945    100      0  12113   4741      0      -      -      0     27      7 
