wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789999481798750232,125459464,36,0,2788,0
1789999482811872377,125457028,124,0,2788,0
1789999483822354810,125455552,124,0,2788,16
1789999484836612570,125325612,132,0,2788,16
1789999485853184136,125338684,144,0,2788,16
1789999486869019646,125342940,60,0,2788,16
1789999487882612144,124831520,64,0,2788,16
1789999488895684679,124672344,68,0,2788,16
1789999489909860488,124864880,72,0,2788,16
1789999490925996472,124888056,72,0,2788,16
1789999491942231619,124815736,20,0,2788,16
1789999492956398553,124694792,32,0,2788,16
1789999493970228925,124634692,48,0,2788,16
1789999494984181417,124594924,60,0,2792,16
1789999495997738263,124559336,60,0,10980,16
1789999497011476890,124349188,32,0,82628,16
1789999498025416091,124360028,52,0,82936,16
1789999499039032656,124388076,116,0,82924,16
1789999500052980032,124350660,120,0,82924,16
1789999501066443020,124350020,124,0,82924,16
1789999502079968159,124365396,80,0,82924,16
1789999503093297590,124116816,104,0,82924,16
1789999504106329913,123816220,112,0,82924,16
1789999505118117058,123040900,44,0,82924,16
1789999506131369581,122976544,52,0,82924,16
1789999507143792386,122985832,4,0,82924,16
1789999508156173673,122995152,28,0,82924,16
1789999509168772158,123006988,32,0,82924,16
1789999510182095837,123013488,444,0,82924,16
1789999511195972325,123040776,672,0,82924,16
1789999512209957748,122988204,672,0,82924,16
1789999513223284733,122989392,660,0,82924,16
1789999514236918999,122966524,68,0,82924,16
1789999515250294199,122975260,36,0,82924,16
1789999516263635929,122981856,84,0,82924,16
1789999517276820757,122987464,84,0,82924,16
1789999518289848780,122991752,68,0,82924,16
1789999519303379272,122994072,72,0,82924,16
1789999520316750828,122997684,72,0,82924,16
1789999521329817214,123001988,88,0,82924,16
1789999522343166535,123005876,40,0,82924,16
1789999523356854754,123007136,60,0,82924,16
1789999524370183961,123009364,44,0,82924,16
1789999525383490610,123010012,44,0,82924,16
1789999526396817839,123012036,72,0,82924,16
1789999527410484653,123012988,76,0,82924,16
1789999528424120119,123014072,44,0,82924,16
1789999529437705789,123013928,64,0,82924,16
1789999530451264930,123009436,72,0,82924,16
1789999531464469526,123009832,76,0,82924,16
1789999532477924224,123008832,84,0,82924,16
1789999533491358904,123008928,28,0,82924,16
1789999534504706815,123008352,60,0,82924,16
1789999535518352194,123008328,72,0,82924,16
1789999536531518366,123008088,76,0,82924,16
1789999537544356855,123007364,56,0,82924,16
1789999538557710099,123007112,64,0,82924,16
1789999539569637165,123007116,8,0,82924,16
1789999540582668658,123007124,28,0,82924,16
1789999541595644780,123006620,40,0,82924,16
1789999542608056050,123006384,80,0,82924,16
1789999543620966299,123006132,80,0,82924,16
1789999544634343523,123007264,48,0,82924,16
1789999545647565617,123007776,64,0,82924,16
1789999546660892657,123007776,76,0,82924,16
1789999547674074571,123006284,44,0,82924,16
1789999548687389832,123006044,48,0,82924,16
1789999549700611810,123006548,56,0,82924,16
1789999550714095284,123005300,40,0,82924,16
1789999551727377580,123005560,40,0,82924,16
1789999552740400912,123004572,72,0,82924,16
1789999553753653822,123004828,72,0,82924,16
1789999554766928240,123005588,72,0,82924,16
1789999555780188050,123011768,616,0,82924,16
1789999556795560723,123013376,624,0,82924,16
1789999557808907474,123014524,612,0,82924,16
1789999558821926719,123014524,612,0,82924,16
1789999559835138978,123015308,612,0,82924,16
1789999560848090429,123014612,36,8,82924,16
1789999561860753290,123014384,80,0,82924,16
1789999562873597796,122997276,284,0,82924,16
1789999563885955200,122996772,284,0,82924,16
1789999564899610641,123001812,328,0,82924,16
1789999565913138268,123005160,360,0,82924,16
1789999566926682558,123005732,312,0,82924,16
1789999567939858868,123011032,128,0,82924,16
1789999568953118044,123011072,128,0,82924,16
1789999569966218690,123010984,132,0,82924,16
1789999570979096038,123016756,84,0,82924,16
1789999571992422481,123018596,96,0,82924,16
1789999573005794176,123023088,156,0,82924,16
1789999574019133432,123021076,160,0,82924,16
1789999575032785444,123020332,168,0,82924,16
1789999576046339486,123020000,104,0,82924,16
1789999577059626114,123019244,44,0,82924,16
1789999578072654272,123019244,48,0,82924,16
1789999579085730945,123018740,48,0,82924,16
1789999580097277272,123018240,48,0,82924,16
