wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1790000176370521596,0.0,0.1,0.00,8.50,0
1790000177383271526,0.0,0.0,0.00,0.00,0
1790000178393950356,0.0,0.0,0.00,0.00,0
1790000179408121128,0.0,0.0,0.00,0.00,0
1790000180424348561,0.0,0.0,0.00,14.00,0
1790000181440051832,0.0,0.7,0.00,0.94,0
1790000182454474435,0.0,0.0,0.00,0.00,0
1790000183462932827,0.0,0.0,0.00,0.00,0
1790000184477335503,0.0,0.0,0.00,0.00,0
1790000185493396204,0.0,0.0,0.00,14.00,0
1790000186509178623,0.0,0.2,0.00,6.67,0
1790000187523251568,0.0,0.0,0.00,0.00,0
1790000188536937488,0.0,0.0,0.00,0.00,0
1790000189550328028,0.0,0.0,0.00,0.00,0
1790000190563483313,0.0,0.0,0.00,13.83,0
1790000191576937920,0.0,0.1,0.00,8.94,0
1790000192590275248,0.0,0.0,0.00,0.00,0
1790000193603899739,0.0,0.0,0.00,13.00,0
1790000194617463777,0.0,0.5,0.00,0.94,0
1790000195631724787,0.0,0.0,0.00,0.00,5
1790000196645534403,0.0,0.1,0.00,12.29,0
1790000197658821701,0.0,0.1,0.00,0.09,0
1790000198672578136,0.0,0.0,0.00,0.00,0
1790000199686560999,0.0,0.0,0.00,0.00,0
