wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1790000176370521596,125264052,692,0,2788,0
1790000177383271526,125260840,696,0,2788,0
1790000178393950356,125196360,696,0,2788,16
1790000179408121128,125072284,704,0,2788,16
1790000180424348561,125080156,672,0,2788,16
1790000181440051832,125086716,32,0,2788,16
1790000182454474435,124684988,96,0,2788,16
1790000183462932827,124588548,96,0,2788,16
1790000184477335503,124834840,104,0,2788,16
1790000185493396204,124849712,112,0,2788,16
1790000186509178623,124865592,24,40,2788,16
1790000187523251568,124743880,132,0,2788,16
1790000188536937488,124663496,132,0,2788,16
1790000189550328028,124593240,676,0,2788,16
1790000190563483313,124532400,660,0,10852,16
1790000191576937920,124395168,576,0,80532,16
1790000192590275248,124296984,640,0,82932,16
1790000193603899739,124326656,644,0,82924,16
1790000194617463777,124268840,108,4,82924,16
1790000195631724787,124281624,64,40,82924,16
1790000196645534403,124289184,88,0,82924,16
1790000197658821701,124024336,32,0,82924,16
1790000198672578136,124020536,32,0,82924,16
1790000199686560999,122924992,44,0,82924,16
