wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789999784057476499,0.0,0.0,0.00,0.00,0
1789999785070138575,0.0,0.0,0.00,0.00,0
1789999786082437594,0.0,0.0,0.00,0.00,0
1789999787096221552,0.0,0.8,0.00,2.14,0
1789999788111848687,0.0,0.0,0.00,14.00,0
1789999789125838882,0.0,0.0,0.00,0.00,0
1789999790138809469,0.0,0.0,0.00,0.00,0
1789999791151959845,0.0,0.0,0.00,0.00,0
1789999792168250526,0.0,0.1,0.00,8.50,0
1789999793184320688,0.0,0.1,0.00,3.36,0
1789999794198920922,0.0,0.0,0.00,14.00,0
1789999795214211099,0.0,0.0,0.00,0.00,0
1789999796228204262,0.0,0.0,0.00,0.00,0
1789999797242283114,0.0,0.1,0.00,11.90,0
1789999798256233698,0.0,0.0,0.00,0.00,0
1789999799270104475,0.0,0.0,0.00,13.75,0
1789999800284351309,0.0,0.3,0.00,3.61,0
1789999801298433674,0.0,0.0,0.00,0.00,0
1789999802312695980,0.0,0.1,0.00,8.50,0
1789999803326573523,0.0,0.0,0.00,0.00,0
1789999804339956990,0.0,0.0,0.00,13.88,0
1789999805353698496,0.0,0.0,0.00,0.00,0
1789999806371034967,0.0,0.0,0.00,0.00,0
1789999807396812526,0.0,0.1,0.00,1.39,0
1789999808410589634,0.0,0.0,0.00,0.00,0
1789999809424352099,0.0,0.1,0.00,11.10,0
1789999810437487355,0.0,0.3,0.00,4.15,0
1789999811450763119,0.0,0.0,0.00,4.71,0
1789999812464395030,0.0,7.9,0.00,15.12,0
1789999813477663842,0.0,0.0,0.00,0.00,0
1789999814491032915,0.0,7.9,0.00,7.81,0
1789999815504618307,0.0,0.0,0.00,0.00,0
1789999816517980556,0.0,5.5,0.00,4.31,4
1789999817531781787,0.0,460.2,0.00,1.64,0
1789999818545137555,0.0,63.3,0.00,1.45,0
1789999819557138385,0.0,0.0,0.00,0.00,0
1789999820570501439,0.0,23.8,0.00,13.38,0
1789999821583469715,0.0,0.8,0.00,10.50,0
1789999822596669336,0.0,0.2,0.00,13.78,0
1789999823609110101,0.0,126.4,0.00,2.56,0
1789999824622386338,0.0,213.2,0.00,1.18,0
1789999825635675220,0.0,181.6,0.00,0.98,0
1789999826648988079,0.0,1.9,0.00,1.21,0
1789999827662130733,0.0,0.0,0.00,5.67,0
1789999828675323872,0.0,0.0,0.00,0.00,0
1789999829688599890,0.0,0.0,0.00,0.00,0
1789999830701638553,0.0,0.1,0.00,13.80,0
1789999831714986425,0.0,0.0,0.00,0.00,0
1789999832728158850,3.9,522.4,0.67,0.64,0
1789999833741644288,240.7,150.0,1.36,1.53,0
1789999834755193768,0.0,150.0,0.00,5.31,0
1789999835768631158,0.0,71.3,0.00,2.04,0
1789999836781831144,0.0,0.0,0.00,0.00,0
1789999837794683524,0.0,0.9,0.00,10.33,0
1789999838808113233,0.0,402.5,0.00,2.90,0
1789999839821448305,0.0,126.3,0.00,0.88,0
1789999840834649859,0.0,158.0,0.00,0.57,0
1789999841848290882,0.0,23.7,0.00,0.56,0
1789999842861389741,0.0,2.5,0.00,1.64,0
1789999843874593828,0.0,0.2,0.00,13.84,0
1789999844887934485,0.0,102.6,0.00,0.82,0
1789999845901325173,0.0,75.1,0.00,0.50,0
1789999846914485635,0.0,23.7,0.00,0.54,0
1789999847927623128,0.0,136.5,0.00,0.78,0
1789999848941359567,0.0,593.8,0.00,1.26,0
1789999849955269091,0.0,0.0,0.00,0.00,0
1789999850968559811,0.0,0.1,0.00,0.67,0
1789999851981752647,0.0,39.5,0.00,4.97,0
1789999852995380981,39.5,452.9,0.90,0.68,0
1789999854008620794,0.0,0.0,0.00,0.00,0
1789999855022057888,0.0,0.2,0.00,0.18,0
1789999856035380737,0.0,0.0,0.00,0.00,0
1789999857048801449,0.0,189.6,0.00,1.70,0
1789999858062355753,0.0,55.8,0.00,1.02,0
1789999859075777366,0.0,211.2,0.00,2.77,0
1789999860089460662,0.0,286.1,0.00,0.49,0
1789999861103085594,102.6,276.2,1.56,1.59,0
