timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/21 23:09:43.073, 0 %, 0 %, 1 MiB, 16376 MiB, 26.28 W, 78
2026/09/21 23:09:44.090, 0 %, 0 %, 1 MiB, 16376 MiB, 26.08 W, 78
2026/09/21 23:09:45.090, 0 %, 0 %, 1 MiB, 16376 MiB, 25.86 W, 77
2026/09/21 23:09:46.091, 0 %, 0 %, 1 MiB, 16376 MiB, 25.58 W, 77
2026/09/21 23:09:47.091, 0 %, 0 %, 1 MiB, 16376 MiB, 25.27 W, 76
2026/09/21 23:09:48.091, 0 %, 0 %, 1 MiB, 16376 MiB, 24.91 W, 76
2026/09/21 23:09:49.092, 0 %, 0 %, 1 MiB, 16376 MiB, 24.67 W, 75
2026/09/21 23:09:50.092, 0 %, 0 %, 1 MiB, 16376 MiB, 24.49 W, 75
2026/09/21 23:09:51.093, 0 %, 0 %, 1 MiB, 16376 MiB, 24.25 W, 74
2026/09/21 23:09:52.093, 0 %, 0 %, 1 MiB, 16376 MiB, 24.00 W, 74
2026/09/21 23:09:53.093, 0 %, 0 %, 1 MiB, 16376 MiB, 23.80 W, 73
2026/09/21 23:09:54.094, 0 %, 0 %, 1 MiB, 16376 MiB, 23.65 W, 73
2026/09/21 23:09:55.094, 0 %, 0 %, 1 MiB, 16376 MiB, 23.56 W, 72
2026/09/21 23:09:56.094, 0 %, 0 %, 1 MiB, 16376 MiB, 23.50 W, 72
2026/09/21 23:09:57.095, 0 %, 0 %, 169 MiB, 16376 MiB, 23.32 W, 72
2026/09/21 23:09:58.095, 0 %, 0 %, 1317 MiB, 16376 MiB, 43.44 W, 73
2026/09/21 23:09:59.096, 2 %, 1 %, 5803 MiB, 16376 MiB, 49.46 W, 73
2026/09/21 23:10:00.096, 0 %, 0 %, 6553 MiB, 16376 MiB, 49.47 W, 73
2026/09/21 23:10:01.096, 36 %, 3 %, 7833 MiB, 16376 MiB, 67.38 W, 74
2026/09/21 23:10:02.097, 33 %, 4 %, 6901 MiB, 16376 MiB, 84.75 W, 76
2026/09/21 23:10:03.097, 100 %, 63 %, 6901 MiB, 16376 MiB, 138.25 W, 78
2026/09/21 23:10:04.097, 100 %, 57 %, 6917 MiB, 16376 MiB, 138.26 W, 79
2026/09/21 23:10:05.098, 0 %, 0 %, 6917 MiB, 16376 MiB, 89.06 W, 77
2026/09/21 23:10:06.098, 0 %, 0 %, 11627 MiB, 16376 MiB, 71.65 W, 77
2026/09/21 23:10:07.099, 0 %, 0 %, 11635 MiB, 16376 MiB, 54.52 W, 75
2026/09/21 23:10:08.099, 0 %, 0 %, 11635 MiB, 16376 MiB, 64.70 W, 76
2026/09/21 23:10:09.099, 0 %, 0 %, 11635 MiB, 16376 MiB, 94.12 W, 79
2026/09/21 23:10:10.100, 100 %, 50 %, 11635 MiB, 16376 MiB, 139.29 W, 80
2026/09/21 23:10:11.100, 100 %, 52 %, 11635 MiB, 16376 MiB, 138.97 W, 81
2026/09/21 23:10:12.100, 100 %, 56 %, 11635 MiB, 16376 MiB, 138.75 W, 82
2026/09/21 23:10:13.101, 100 %, 53 %, 11639 MiB, 16376 MiB, 139.33 W, 82
2026/09/21 23:10:14.101, 100 %, 52 %, 11639 MiB, 16376 MiB, 139.20 W, 83
2026/09/21 23:10:15.101, 100 %, 52 %, 11639 MiB, 16376 MiB, 137.83 W, 84
2026/09/21 23:10:16.101, 100 %, 57 %, 11639 MiB, 16376 MiB, 139.03 W, 84
