timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/21 23:42:51.102, 0 %, 0 %, 1 MiB, 16376 MiB, 26.21 W, 79
2026/09/21 23:42:52.123, 0 %, 0 %, 1 MiB, 16376 MiB, 25.99 W, 78
2026/09/21 23:42:53.124, 0 %, 0 %, 1 MiB, 16376 MiB, 25.77 W, 77
2026/09/21 23:42:54.124, 0 %, 0 %, 1 MiB, 16376 MiB, 25.54 W, 77
2026/09/21 23:42:55.124, 0 %, 0 %, 1 MiB, 16376 MiB, 25.30 W, 77
2026/09/21 23:42:56.124, 0 %, 0 %, 1 MiB, 16376 MiB, 25.07 W, 76
2026/09/21 23:42:57.125, 0 %, 0 %, 1 MiB, 16376 MiB, 24.78 W, 76
2026/09/21 23:42:58.125, 0 %, 0 %, 1 MiB, 16376 MiB, 24.51 W, 76
2026/09/21 23:42:59.125, 0 %, 0 %, 1 MiB, 16376 MiB, 24.37 W, 75
2026/09/21 23:43:00.126, 0 %, 0 %, 1 MiB, 16376 MiB, 24.28 W, 75
2026/09/21 23:43:01.126, 0 %, 0 %, 1 MiB, 16376 MiB, 24.14 W, 75
2026/09/21 23:43:02.127, 0 %, 0 %, 1 MiB, 16376 MiB, 23.99 W, 74
2026/09/21 23:43:03.127, 0 %, 0 %, 1 MiB, 16376 MiB, 23.87 W, 74
2026/09/21 23:43:04.127, 0 %, 0 %, 1 MiB, 16376 MiB, 23.73 W, 74
2026/09/21 23:43:05.128, 0 %, 0 %, 169 MiB, 16376 MiB, 23.55 W, 73
2026/09/21 23:43:06.128, 0 %, 0 %, 1317 MiB, 16376 MiB, 43.86 W, 74
2026/09/21 23:43:07.128, 2 %, 1 %, 5803 MiB, 16376 MiB, 49.97 W, 74
2026/09/21 23:43:08.129, 0 %, 0 %, 6733 MiB, 16376 MiB, 50.10 W, 74
2026/09/21 23:43:09.129, 42 %, 3 %, 7401 MiB, 16376 MiB, 73.50 W, 76
2026/09/21 23:43:10.129, 48 %, 6 %, 6901 MiB, 16376 MiB, 87.34 W, 78
2026/09/21 23:43:11.130, 100 %, 55 %, 6901 MiB, 16376 MiB, 136.92 W, 80
2026/09/21 23:43:12.130, 100 %, 63 %, 6917 MiB, 16376 MiB, 138.13 W, 81
2026/09/21 23:43:13.130, 2 %, 2 %, 6917 MiB, 16376 MiB, 90.20 W, 79
2026/09/21 23:43:14.131, 0 %, 0 %, 11627 MiB, 16376 MiB, 73.61 W, 79
2026/09/21 23:43:15.131, 0 %, 0 %, 11635 MiB, 16376 MiB, 53.40 W, 78
2026/09/21 23:43:16.131, 0 %, 0 %, 11635 MiB, 16376 MiB, 65.48 W, 78
2026/09/21 23:43:17.132, 0 %, 0 %, 11635 MiB, 16376 MiB, 87.91 W, 81
2026/09/21 23:43:18.132, 100 %, 54 %, 11635 MiB, 16376 MiB, 138.12 W, 82
2026/09/21 23:43:19.132, 100 %, 54 %, 11635 MiB, 16376 MiB, 139.24 W, 83
2026/09/21 23:43:20.133, 100 %, 53 %, 11635 MiB, 16376 MiB, 138.91 W, 84
2026/09/21 23:43:21.133, 100 %, 49 %, 11639 MiB, 16376 MiB, 139.03 W, 85
2026/09/21 23:43:22.133, 100 %, 50 %, 11639 MiB, 16376 MiB, 139.27 W, 85
2026/09/21 23:43:23.133, 100 %, 36 %, 11639 MiB, 16376 MiB, 139.44 W, 86
2026/09/21 23:43:24.134, 100 %, 54 %, 11639 MiB, 16376 MiB, 139.63 W, 86
2026/09/21 23:43:25.134, 100 %, 49 %, 11639 MiB, 16376 MiB, 139.02 W, 87
2026/09/21 23:43:26.134, 100 %, 50 %, 11639 MiB, 16376 MiB, 137.31 W, 88
2026/09/21 23:43:27.134, 100 %, 47 %, 11639 MiB, 16376 MiB, 137.36 W, 88
2026/09/21 23:43:28.134, 100 %, 47 %, 11639 MiB, 16376 MiB, 139.21 W, 88
2026/09/21 23:43:29.135, 100 %, 49 %, 11639 MiB, 16376 MiB, 139.23 W, 89
2026/09/21 23:43:30.135, 100 %, 50 %, 11639 MiB, 16376 MiB, 139.45 W, 89
2026/09/21 23:43:31.135, 100 %, 50 %, 11639 MiB, 16376 MiB, 139.51 W, 90
2026/09/21 23:43:32.135, 100 %, 48 %, 11639 MiB, 16376 MiB, 139.24 W, 90
2026/09/21 23:43:33.136, 100 %, 49 %, 11639 MiB, 16376 MiB, 139.54 W, 91
2026/09/21 23:43:34.136, 100 %, 52 %, 11639 MiB, 16376 MiB, 138.46 W, 91
2026/09/21 23:43:35.136, 100 %, 50 %, 11639 MiB, 16376 MiB, 138.53 W, 91
2026/09/21 23:43:36.136, 100 %, 49 %, 11639 MiB, 16376 MiB, 139.05 W, 92
2026/09/21 23:43:37.136, 100 %, 48 %, 11639 MiB, 16376 MiB, 139.30 W, 92
2026/09/21 23:43:38.136, 100 %, 52 %, 11639 MiB, 16376 MiB, 139.15 W, 92
2026/09/21 23:43:39.137, 100 %, 53 %, 11639 MiB, 16376 MiB, 139.07 W, 93
2026/09/21 23:43:40.137, 100 %, 49 %, 11639 MiB, 16376 MiB, 139.81 W, 93
2026/09/21 23:43:41.137, 100 %, 52 %, 11639 MiB, 16376 MiB, 138.27 W, 93
2026/09/21 23:43:42.137, 65 %, 36 %, 11641 MiB, 16376 MiB, 125.71 W, 93
2026/09/21 23:43:43.138, 100 %, 51 %, 11641 MiB, 16376 MiB, 137.06 W, 94
2026/09/21 23:43:44.138, 100 %, 44 %, 11641 MiB, 16376 MiB, 138.58 W, 94
2026/09/21 23:43:45.138, 100 %, 55 %, 11641 MiB, 16376 MiB, 138.27 W, 94
2026/09/21 23:43:46.138, 100 %, 43 %, 11641 MiB, 16376 MiB, 137.55 W, 94
2026/09/21 23:43:47.139, 100 %, 47 %, 11641 MiB, 16376 MiB, 135.33 W, 94
2026/09/21 23:43:48.139, 100 %, 65 %, 11641 MiB, 16376 MiB, 132.71 W, 94
2026/09/21 23:43:49.139, 100 %, 47 %, 11641 MiB, 16376 MiB, 135.41 W, 94
2026/09/21 23:43:50.140, 100 %, 44 %, 11641 MiB, 16376 MiB, 133.46 W, 94
2026/09/21 23:43:51.140, 100 %, 49 %, 11641 MiB, 16376 MiB, 133.37 W, 94
