wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1790001457499800090,125259152,116,0,2788,0
1790001458512820971,125256888,120,0,2788,0
1790001459521684459,125255660,120,0,2788,16
1790001460535586258,125251884,124,0,2788,16
1790001461549635897,125251632,128,0,2788,16
1790001462570662987,124782264,128,0,2788,16
1790001463583036380,124635416,16,0,2788,16
1790001464597271229,125174732,32,0,2788,16
1790001465610401739,125182292,36,0,2788,16
1790001466623996341,125190176,36,0,2788,16
1790001467640175676,124996688,108,0,2788,16
1790001468653974190,124931420,124,0,2788,16
1790001469668163155,124850028,24,0,2788,16
1790001470682536927,124759304,40,0,10852,16
1790001471696620493,124640964,80,0,80532,16
1790001472710332638,124519300,84,0,82932,16
1790001473724308785,124539192,100,0,82924,16
1790001474738492994,124533412,0,0,82924,16
1790001475752880477,124525664,28,0,82924,16
1790001476766462902,124526116,92,0,82924,16
1790001477779773833,124256268,96,0,82924,16
1790001478794067177,124247912,100,0,82924,16
1790001479808178931,120736000,0,0,3578164,16
1790001480822154453,119911356,24,0,4277228,16
1790001481835845442,119875508,112,0,4277228,16
1790001482849556998,119843636,136,0,4277228,16
1790001483863310176,119845880,640,0,4277232,16
1790001484876614450,119845392,700,0,4277228,16
1790001485889780404,119846108,592,0,4277228,16
1790001486903415689,119857176,656,0,4277228,16
1790001487916028966,119793660,656,0,4277228,16
1790001488929411235,119787620,660,0,4277228,16
1790001489942420701,119793044,104,0,4277228,16
1790001490956122679,119735972,360,0,4277228,16
1790001491970945527,119738832,384,0,4277228,16
1790001492984553578,119743192,384,0,4277228,16
1790001493997754275,119745568,388,0,4277228,16
1790001495011151404,119748708,388,0,4277228,16
1790001496024501081,119750180,492,0,4277228,16
1790001497038320052,119753108,524,0,4277228,16
1790001498052079903,119754636,532,0,4277228,16
1790001499065254839,119754712,540,0,4277228,16
1790001500079059783,119756188,564,0,4277228,16
1790001501092479920,119757908,564,0,4277228,16
1790001502113101526,119759940,12,0,4277228,16
1790001503126351202,119762272,40,0,4277228,16
1790001504139851311,119762196,40,0,4277228,16
1790001505153346929,119762996,48,0,4277228,16
1790001506166533976,119762780,48,0,4277228,16
1790001507186815780,119762968,12,0,4277228,16
1790001508200181371,119761700,56,0,4277228,16
1790001509212676704,119767676,72,0,4277228,16
1790001510226540503,119767256,80,0,4277228,16
1790001511239972635,119766772,1212,0,4277228,16
1790001512252539455,119767028,204,0,4277228,16
1790001513266036525,119764536,64,0,4277228,16
1790001514279710341,119764796,80,0,4277228,16
1790001515293323136,119763320,84,0,4277228,16
1790001516306685530,119763276,596,0,4277228,16
1790001517320012484,119762804,492,0,4277228,16
1790001518333406005,119762560,28,0,4277228,16
1790001519346614483,119762324,32,0,4277228,16
1790001520359835554,119761404,68,0,4277228,16
1790001521373276100,119760184,72,0,4277228,16
1790001522394238574,119761204,220,0,4277228,16
1790001523407694871,119760492,28,0,4277228,16
1790001524420951185,119761260,32,0,4277228,16
1790001525434178363,119760564,44,0,4277228,16
1790001526447320140,119759956,48,0,4277228,16
1790001527466905726,119759996,148,0,4277228,16
1790001528480242785,119759888,56,0,4277228,16
1790001529494202107,119765860,656,0,4277224,16
1790001530506636693,119766580,656,0,4277228,16
1790001531519943227,119771844,660,0,4277228,16
1790001532540709163,119771848,1840,0,4277228,16
1790001533553971275,119771468,852,440,4277228,16
1790001534567791384,119770980,108,0,4277228,16
1790001535581339253,119769888,60,0,4277228,16
1790001536595257849,119769468,584,0,4277228,16
1790001537608860949,119768492,584,0,4277228,16
1790001538622511250,119767464,104,432,4277228,16
1790001539635999489,119766424,52,0,4277228,16
1790001540647801066,119766060,56,0,4277228,16
1790001541661239671,119764580,568,0,4277228,16
1790001542673465433,119764660,796,0,4277228,16
1790001543687065547,119763044,288,0,4277228,16
1790001544700684491,119763136,36,0,4277228,16
1790001545715087480,119763024,72,0,4277228,16
1790001546728858353,119762564,1036,0,4277228,16
1790001547742376319,119761808,1036,0,4277228,16
1790001548755788748,119761064,40,0,4277228,16
1790001549768946631,119759808,24,0,4277228,16
1790001550782467874,119764520,560,0,4277228,16
1790001551796165118,119763780,696,0,4277228,16
1790001552809800159,119763672,720,0,4277228,16
1790001553823129294,119760428,224,0,4277228,16
1790001554836838491,119748564,192,0,4277228,16
1790001555850411875,119748824,200,0,4277228,16
