#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    23:32:05       0     26     79      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      3      2 
 20260921    23:32:06       0     26     78      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      1 
 20260921    23:32:08       0     26     78      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    23:32:09       0     25     77      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    23:32:10       0     25     77      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    23:32:11       0     25     76      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    23:32:12       0     24     76      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    23:32:13       0     24     75      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    23:32:14       0     24     75      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    23:32:15       0     24     75      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    23:32:16       0     24     74      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    23:32:17       0     24     74      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    23:32:18       0     23     73      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    23:32:19       0     23     73      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0     19 
 20260921    23:32:20       0     42     74      -      0      0      0      0      0      0   6501   1560      0      0    281      5      0      -      -      0      0      0 
 20260921    23:32:21       0     49     74      -      2      1      0      0      0      0   6501   1560      0      0   5803      5      0      -      -      0      0      0 
 20260921    23:32:22       0     50     74      -      0      0      0      0      0      0   6501   1560      0      0   6313      5      0      -      -      0   5314    574 
 20260921    23:32:23       0     67     76      -     39      3      0      0      0      0   6501   1860      0      0   7833      5      0      -      -      0      0      0 
 20260921    23:32:24       0     83     77      -     13      2      0      0      0      0   6501   1215     46      0   6901      5      0      -      -      0     27     11 
 20260921    23:32:25       0    139     79      -    100     54      0      0      0      0   6501   1230    100      0   6901      5      0      -      -      0     31      8 
 20260921    23:32:26       0    137     80      -    100     60      0      0      0      0   6501   1215     81      0   6917      5      0      -      -      0      0      0 
 20260921    23:32:27       0     92     78      -      5      5      0      0      0      0   6501   1875      0      0   6917      5      0      -      -      0      0      0 
 20260921    23:32:29       0     64     77      -      0      0      0      0      0      0   6501   1560      0      0  11627      5      0      -      -      0      0      0 
 20260921    23:32:30       0     50     76      -      0      0      0      0      0      0   6501   1560      0      0  11635      5      0      -      -      0      0      0 
 20260921    23:32:31       0     50     76      -      0      0      0      0      0      0   6501   1560      0      0  11635      5      0      -      -      0      0      0 
 20260921    23:32:32       0     50     76      -      0      0      0      0      0      0   6501   1560      0      0  11635      5      0      -      -      0      0      0 
 20260921    23:32:33       0     50     76      -      0      0      0      0      0      0   6501   1560      0      0  11635      5      0      -      -      0      0      0 
 20260921    23:32:34       0     50     76      -      0      0      0      0      0      0   6501   1560      0      0  11635      5      0      -      -      0      0      0 
 20260921    23:32:35       0     50     76      -      0      0      0      0      0      0   6501   1560      0      0  11635      5      0      -      -      0      0      0 
 20260921    23:32:36       0     50     76      -      0      0      0      0      0      0   6501   1560      0      0  11635      5      0      -      -      0      0      0 
 20260921    23:32:37       0     50     76      -      0      0      0      0      0      0   6501   1560      0      0  11635      5      0      -      -      0      0      0 
 20260921    23:32:38       0     50     75      -      0      0      0      0      0      0   6501   1560      0      0  11635      5      0      -      -      0      0      1 
 20260921    23:32:39       0     50     75      -      0      0      0      0      0      0   6501   1560      0      0  11635      5      0      -      -      0      0      0 
