wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1790001126859847102,125380824,720,0,2788,0
1790001127872371401,125379048,256,0,2788,16
1790001128881038542,125321852,128,0,2788,16
1790001129895506228,125312556,128,0,2788,16
1790001130911552112,125307028,140,4,2788,16
1790001131925814955,124859304,132,0,2788,16
1790001132938906088,124752608,136,0,2788,16
1790001133953304329,124948800,36,0,2788,16
1790001134967965507,124964428,40,0,2788,16
1790001135983862016,124948512,112,0,2788,16
1790001136998430918,124790508,92,0,2788,16
1790001138013995907,124733308,100,0,2788,16
1790001139028274692,124741920,112,0,2792,16
1790001140042596258,124634544,116,0,10980,16
1790001141056580408,124445880,128,0,82628,16
1790001142070229162,124443164,20,0,82924,16
1790001143084665654,124449396,32,0,82924,16
1790001144098523827,124580464,36,0,82924,16
1790001145112624246,124565684,36,0,82924,16
1790001146125971295,124566692,76,0,82924,16
1790001147139579871,124294928,84,0,82924,16
1790001148153419359,124100424,72,0,251260,16
1790001149177076888,120015360,80,0,4277228,16
1790001150242480842,119933772,84,0,4277228,16
1790001151257369056,119842944,52,0,4277228,16
1790001152271155465,119679288,8,24,4277228,16
1790001153285320168,119501324,28,0,4277228,16
1790001154299386893,119477312,32,0,4277228,16
1790001155313201803,119372736,36,0,4277228,16
1790001156326942923,119211716,76,0,4277228,16
1790001157340708939,119187124,84,0,4277228,16
1790001158354708718,119074064,64,0,4277228,16
1790001159368915809,118912584,68,0,4277228,16
1790001160382967438,118759228,72,0,4277228,16
1790001161396936288,118670544,92,0,4277228,16
1790001162410790788,118670336,16,20,4277228,16
1790001163424999890,118630128,40,0,4277228,16
1790001164439720239,118534084,44,0,4277228,16
1790001165453855579,118518012,48,0,4277228,16
1790001166467693851,118486060,52,0,4277228,16
1790001167481730173,118469504,1080,0,4277224,16
1790001168495805542,118453712,604,0,4277228,16
1790001169509717781,118429896,1240,0,4277228,16
1790001170522770957,119878644,1680,0,4277228,16
1790001171536415614,119851556,1572,0,4277228,16
1790001172550467543,119810796,1192,0,4277228,16
1790001173564121686,119819628,1080,0,4277228,16
1790001174576535017,119826948,1088,0,4277228,16
1790001175590482922,119807540,1096,0,4277228,16
1790001176603606985,119820640,1164,4,4277228,16
1790001177617061717,119764548,1160,0,4277228,16
1790001178630141170,119771612,1164,0,4277228,16
1790001179643704229,119779428,1164,0,4277228,16
1790001180657336560,119688616,1188,0,4277228,16
1790001181671693645,119686048,1824,0,4277228,16
1790001182684990875,119687028,1136,0,4277228,16
1790001183698484294,119694600,136,0,4277228,16
1790001184711575735,119693144,56,0,4277228,16
1790001185724411245,119699188,60,0,4277228,16
1790001186737384891,119698000,36,0,4277228,16
1790001187750791804,119700340,220,0,4277228,16
1790001188764901009,119696192,244,0,4277228,16
1790001189778307539,119700896,244,0,4277228,16
1790001190791414455,119705672,820,0,4277228,16
1790001191804592710,119710844,304,0,4277228,16
1790001192817734489,119714776,28,0,4277228,16
1790001193830988623,119718272,40,0,4277228,16
1790001194844293276,119721080,44,0,4277228,16
1790001195857312836,119724332,76,0,4277228,16
1790001196870161295,119707724,780,0,4277228,16
1790001197883182786,119709872,724,0,4277228,16
1790001198897495531,119712568,740,0,4277228,16
1790001199910958341,119712360,740,0,4277228,16
1790001200924311177,119710444,884,0,4277228,16
1790001201937799297,119710652,192,0,4277228,16
1790001202951349139,119710908,228,0,4277228,16
1790001203964777229,119712868,252,0,4277228,16
1790001204978025127,119713636,256,0,4277228,16
1790001205990314134,119718524,1188,0,4277228,16
1790001207002807040,119720172,916,0,4277228,16
1790001208016241774,119719244,976,0,4277228,16
1790001209028687144,119725192,984,0,4277228,16
1790001210040971877,119725588,992,0,4277228,16
1790001211053572652,119726596,992,0,4277228,16
1790001212073439597,119724044,8,0,4277228,16
1790001213085993359,119729600,580,0,4277228,16
