#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    20:38:49       0     26     79      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      3      5 
 20260921    20:38:50       0     26     78      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      1 
 20260921    20:38:51       0     26     78      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:38:52       0     25     77      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:38:53       0     25     77      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:38:54       0     25     76      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:38:55       0     24     76      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:38:56       0     24     75      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:38:57       0     24     75      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:38:59       0     24     74      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:39:00       0     24     74      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:39:01       0     23     74      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:39:02       0     23     73      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    20:39:03       0     23     73      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    20:39:04       0     37     74      -      3      0      0      0      0      0   6501   1560      0      0    169      5      0      -      -      0      3      5 
 20260921    20:39:05       0     49     74      -      0      0      0      0      0      0   6501   1560      0      0   5803      5      0      -      -      0      0      0 
 20260921    20:39:06       0     49     74      -      0      0      0      0      0      0   6501   1560      0      0   5803      5      0      -      -      0   6677    734 
 20260921    20:39:07       0     65     75      -     41      3      0      0      0      0   6501   1875      0      0   7833      5      0      -      -      0      0      0 
 20260921    20:39:08       0     76     75      -      0      0      0      0      0      0   6501   1875     23      0   6901      5      0      -      -      0     21     11 
 20260921    20:39:09       0    126     79      -    100     53      0      0      0      0   6501   1230    100      0   6901      5      0      -      -      0     29     11 
 20260921    20:39:10       0    137     80      -    100     62      0      0      0      0   6501   1305    100      0   6911      5      0      -      -      0    110     18 
 20260921    20:39:11       0    106     78      -     75     43      0      0      0      0   6501   1875      0      0   6917      5      0      -      -      0      0      1 
 20260921    20:39:12       0     67     77      -      0      0      0      0      0      0   6501   1560      0      0  11627      5      0      -      -      0      0      0 
 20260921    20:39:13       0     58     77      -      0      0      0      0      0      0   6501   1560      0      0  11627      5      0      -      -      0      0      0 
 20260921    20:39:14       0     51     76      -      0      0      0      0      0      0   6501   1560      7      0  11643      5      0      -      -      0      0      0 
 20260921    20:39:15       0     59     76      -      0      0      0      0      0      0   6501   1560      0      0  11643      5      0      -      -      0      0      0 
 20260921    20:39:16       0     91     80      -    100     56      0      0      0      0   6501   1305     77      0  11643      5      0      -      -      0     15      8 
 20260921    20:39:17       0    139     81      -    100     51      0      0      0      0   6501   1110    100      0  11643      5      0      -      -      0     12      6 
 20260921    20:39:18       0    138     82      -    100     52      0      0      0      0   6501   1140    100      0  11645      5      0      -      -      0     24      5 
 20260921    20:39:20       0    138     82      -    100     51      0      0      0      0   6501   1200    100      0  11645      5      0      -      -      0     24      9 
 20260921    20:39:21       0    139     83      -    100     55      0      0      0      0   6501   1260    100      0  11647     13      0      -      -      0   2939    422 
 20260921    20:39:22       0    139     84      -    100     54      0      0      0      0   6501   1290    100      0  11647     13      0      -      -      0    408     62 
 20260921    20:39:23       0    138     85      -    100     51      0      0      0      0   6501   1245    100      0  11647     13      0      -      -      0    413     55 
 20260921    20:39:24       0    139     85      -    100     57      0      0      0      0   6501   1185    100      0  11647     13      0      -      -      0    409     59 
 20260921    20:39:25       0    137     86      -     71     73      0      0      0      0   6501   1245     90      0  11647     13      0      -      -      0    500   5165 
 20260921    20:39:26       0    137     86      -    100     48      0      0      0      0   6501   1170    100      0  11647     13      0      -      -      0    410     53 
 20260921    20:39:27       0    138     86      -    100     50      0      0      0      0   6501   1065    100      0  11647     13      0      -      -      0    416     56 
 20260921    20:39:28       0    139     87      -    100     50      0      0      0      0   6501   1215    100      0  11647     13      0      -      -      0   1493    312 
 20260921    20:39:29       0    139     88      -    100     50      0      0      0      0   6501   1245    100      0  11647     13      0      -      -      0   1808    189 
 20260921    20:39:30       0    139     88      -    100     50      0      0      0      0   6501   1215    100      0  11647     13      0      -      -      0   1326    186 
 20260921    20:39:31       0    139     88      -    100     51      0      0      0      0   6501   1155    100      0  11647     13      0      -      -      0    586    534 
 20260921    20:39:32       0    139     89      -    100     54      0      0      0      0   6501   1170    100      0  11647     13      0      -      -      0    451     62 
 20260921    20:39:33       0    138     89      -    100     50      0      0      0      0   6501   1005     96      0  11647     13      0      -      -      0    415     58 
 20260921    20:39:34       0    138     90      -    100     50      0      0      0      0   6501   1095    100      0  11647     13      0      -      -      0    426     58 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    20:39:35       0    139     90      -    100     50      0      0      0      0   6501   1230    100      0  11647     13      0      -      -      0    430     59 
 20260921    20:39:36       0    139     90      -    100     54      0      0      0      0   6501   1065    100      0  11647     13      0      -      -      0   1100    427 
 20260921    20:39:37       0    139     90      -    100     54      0      0      0      0   6501    990    100      0  11647     13      0      -      -      0   1193    126 
 20260921    20:39:38       0    139     91      -    100     56      0      0      0      0   6501   1065    100      0  11647     13      0      -      -      0    938    143 
 20260921    20:39:39       0    139     91      -    100     50      0      0      0      0   6501   1200    100      0  11647     13      0      -      -      0      1   2974 
 20260921    20:39:41       0    124     91      -    100     54      0      0      0      0   6501   1080     65      0  11649     13      0      -      -      0   3694    477 
 20260921    20:39:42       0    136     91      -     74     69      0      0      0      0   6501    915     88      0  11655     21      0      -      -      0    328     50 
 20260921    20:39:43       0    139     91      -    100     48      0      0      0      0   6501   1275    100      0  11655     21      0      -      -      0    573    102 
 20260921    20:39:44       0    139     92      -    100     60      0      0      0      0   6501   1035    100      0  11655     21      0      -      -      0    407     56 
 20260921    20:39:45       0    139     92      -    100     43      0      0      0      0   6501   1080    100      0  11655     21      0      -      -      0    431     58 
