timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/21 19:48:17.380, 0 %, 0 %, 1 MiB, 16376 MiB, 16.63 W, 48
2026/09/21 19:48:18.396, 0 %, 0 %, 1 MiB, 16376 MiB, 16.66 W, 47
2026/09/21 19:48:19.396, 0 %, 0 %, 1 MiB, 16376 MiB, 16.66 W, 47
2026/09/21 19:48:20.397, 0 %, 0 %, 1 MiB, 16376 MiB, 16.63 W, 48
2026/09/21 19:48:21.397, 0 %, 0 %, 4 MiB, 16376 MiB, 16.65 W, 47
2026/09/21 19:48:22.397, 0 %, 0 %, 4 MiB, 16376 MiB, 16.66 W, 48
2026/09/21 19:48:23.398, 0 %, 0 %, 4 MiB, 16376 MiB, 16.56 W, 47
2026/09/21 19:48:24.398, 0 %, 0 %, 4 MiB, 16376 MiB, 16.53 W, 47
2026/09/21 19:48:25.399, 0 %, 0 %, 4 MiB, 16376 MiB, 16.52 W, 47
2026/09/21 19:48:26.399, 0 %, 0 %, 4 MiB, 16376 MiB, 16.52 W, 47
2026/09/21 19:48:27.399, 0 %, 0 %, 4 MiB, 16376 MiB, 16.53 W, 47
2026/09/21 19:48:28.400, 0 %, 0 %, 4 MiB, 16376 MiB, 16.54 W, 47
2026/09/21 19:48:29.400, 0 %, 0 %, 4 MiB, 16376 MiB, 16.55 W, 48
2026/09/21 19:48:30.401, 0 %, 0 %, 4 MiB, 16376 MiB, 16.57 W, 47
2026/09/21 19:48:31.401, 0 %, 0 %, 4 MiB, 16376 MiB, 16.57 W, 47
2026/09/21 19:48:32.401, 0 %, 0 %, 4 MiB, 16376 MiB, 16.57 W, 47
2026/09/21 19:48:33.402, 0 %, 0 %, 281 MiB, 16376 MiB, 23.45 W, 48
2026/09/21 19:48:34.402, 0 %, 0 %, 5803 MiB, 16376 MiB, 37.36 W, 49
2026/09/21 19:48:35.402, 0 %, 0 %, 5803 MiB, 16376 MiB, 37.46 W, 49
2026/09/21 19:48:36.403, 52 %, 2 %, 7833 MiB, 16376 MiB, 45.71 W, 50
2026/09/21 19:48:37.403, 50 %, 53 %, 6901 MiB, 16376 MiB, 59.80 W, 51
2026/09/21 19:48:38.403, 100 %, 66 %, 6901 MiB, 16376 MiB, 111.19 W, 55
2026/09/21 19:48:39.404, 100 %, 61 %, 6901 MiB, 16376 MiB, 138.77 W, 56
2026/09/21 19:48:40.404, 24 %, 12 %, 6917 MiB, 16376 MiB, 94.77 W, 54
2026/09/21 19:48:41.405, 11 %, 12 %, 11439 MiB, 16376 MiB, 54.56 W, 54
2026/09/21 19:48:42.405, 8 %, 7 %, 11439 MiB, 16376 MiB, 54.82 W, 54
2026/09/21 19:48:43.405, 0 %, 0 %, 12111 MiB, 16376 MiB, 69.14 W, 57
2026/09/21 19:48:44.406, 100 %, 56 %, 12111 MiB, 16376 MiB, 138.08 W, 59
2026/09/21 19:48:45.406, 100 %, 49 %, 12111 MiB, 16376 MiB, 138.97 W, 60
2026/09/21 19:48:46.406, 100 %, 64 %, 12111 MiB, 16376 MiB, 139.05 W, 61
2026/09/21 19:48:47.406, 100 %, 55 %, 12111 MiB, 16376 MiB, 138.92 W, 62
2026/09/21 19:48:48.406, 100 %, 60 %, 12111 MiB, 16376 MiB, 139.02 W, 62
2026/09/21 19:48:49.407, 100 %, 63 %, 12111 MiB, 16376 MiB, 139.36 W, 63
2026/09/21 19:48:50.407, 100 %, 61 %, 12111 MiB, 16376 MiB, 139.61 W, 64
2026/09/21 19:48:51.407, 100 %, 52 %, 12111 MiB, 16376 MiB, 138.15 W, 65
2026/09/21 19:48:52.407, 100 %, 60 %, 12111 MiB, 16376 MiB, 138.46 W, 66
2026/09/21 19:48:53.407, 100 %, 57 %, 12111 MiB, 16376 MiB, 139.09 W, 67
2026/09/21 19:48:54.407, 100 %, 65 %, 12111 MiB, 16376 MiB, 139.43 W, 67
2026/09/21 19:48:55.408, 100 %, 66 %, 12113 MiB, 16376 MiB, 139.30 W, 68
2026/09/21 19:48:56.408, 100 %, 57 %, 12113 MiB, 16376 MiB, 138.84 W, 69
2026/09/21 19:48:57.408, 100 %, 58 %, 12113 MiB, 16376 MiB, 139.08 W, 69
2026/09/21 19:48:58.408, 100 %, 64 %, 12113 MiB, 16376 MiB, 139.66 W, 70
2026/09/21 19:48:59.408, 100 %, 53 %, 12113 MiB, 16376 MiB, 139.53 W, 71
2026/09/21 19:49:00.409, 100 %, 53 %, 12113 MiB, 16376 MiB, 138.75 W, 72
2026/09/21 19:49:01.409, 100 %, 54 %, 12113 MiB, 16376 MiB, 138.66 W, 72
2026/09/21 19:49:02.409, 100 %, 65 %, 12113 MiB, 16376 MiB, 139.40 W, 73
2026/09/21 19:49:03.410, 100 %, 65 %, 12113 MiB, 16376 MiB, 139.44 W, 74
2026/09/21 19:49:04.410, 100 %, 63 %, 12113 MiB, 16376 MiB, 139.42 W, 75
2026/09/21 19:49:05.410, 100 %, 58 %, 12113 MiB, 16376 MiB, 136.30 W, 75
2026/09/21 19:49:06.410, 100 %, 56 %, 12113 MiB, 16376 MiB, 137.77 W, 75
2026/09/21 19:49:07.411, 100 %, 70 %, 12113 MiB, 16376 MiB, 138.57 W, 76
2026/09/21 19:49:08.411, 100 %, 50 %, 12113 MiB, 16376 MiB, 139.01 W, 76
2026/09/21 19:49:09.411, 100 %, 51 %, 12113 MiB, 16376 MiB, 139.26 W, 77
2026/09/21 19:49:10.412, 100 %, 59 %, 12113 MiB, 16376 MiB, 139.39 W, 78
2026/09/21 19:49:11.412, 100 %, 60 %, 12113 MiB, 16376 MiB, 139.29 W, 78
2026/09/21 19:49:12.412, 88 %, 57 %, 12113 MiB, 16376 MiB, 138.41 W, 79
2026/09/21 19:49:13.413, 100 %, 54 %, 12113 MiB, 16376 MiB, 138.35 W, 79
2026/09/21 19:49:14.413, 100 %, 49 %, 12113 MiB, 16376 MiB, 138.73 W, 80
2026/09/21 19:49:15.413, 100 %, 55 %, 12113 MiB, 16376 MiB, 139.25 W, 80
2026/09/21 19:49:16.414, 100 %, 52 %, 12113 MiB, 16376 MiB, 138.49 W, 80
2026/09/21 19:49:17.414, 100 %, 54 %, 12113 MiB, 16376 MiB, 139.29 W, 81
2026/09/21 19:49:18.414, 100 %, 54 %, 12113 MiB, 16376 MiB, 139.67 W, 81
2026/09/21 19:49:19.415, 100 %, 56 %, 12113 MiB, 16376 MiB, 139.24 W, 82
2026/09/21 19:49:20.415, 100 %, 58 %, 12113 MiB, 16376 MiB, 139.69 W, 82
2026/09/21 19:49:21.415, 100 %, 56 %, 12113 MiB, 16376 MiB, 139.36 W, 82
2026/09/21 19:49:22.415, 100 %, 58 %, 12113 MiB, 16376 MiB, 139.74 W, 82
2026/09/21 19:49:23.416, 100 %, 47 %, 12113 MiB, 16376 MiB, 139.69 W, 83
2026/09/21 19:49:24.416, 100 %, 55 %, 12113 MiB, 16376 MiB, 138.96 W, 83
2026/09/21 19:49:25.416, 100 %, 55 %, 12113 MiB, 16376 MiB, 138.98 W, 83
2026/09/21 19:49:26.417, 100 %, 54 %, 12113 MiB, 16376 MiB, 139.20 W, 84
2026/09/21 19:49:27.417, 100 %, 55 %, 12113 MiB, 16376 MiB, 139.90 W, 84
2026/09/21 19:49:28.417, 100 %, 55 %, 12113 MiB, 16376 MiB, 139.62 W, 84
2026/09/21 19:49:29.418, 100 %, 54 %, 12113 MiB, 16376 MiB, 139.49 W, 84
2026/09/21 19:49:30.418, 100 %, 60 %, 12113 MiB, 16376 MiB, 140.35 W, 85
2026/09/21 19:49:31.418, 100 %, 58 %, 12113 MiB, 16376 MiB, 139.62 W, 85
2026/09/21 19:49:32.419, 100 %, 47 %, 12113 MiB, 16376 MiB, 139.58 W, 85
2026/09/21 19:49:33.419, 100 %, 53 %, 12113 MiB, 16376 MiB, 138.93 W, 85
2026/09/21 19:49:34.419, 100 %, 74 %, 12113 MiB, 16376 MiB, 139.62 W, 85
2026/09/21 19:49:35.420, 100 %, 57 %, 12113 MiB, 16376 MiB, 139.20 W, 86
2026/09/21 19:49:36.420, 96 %, 77 %, 12113 MiB, 16376 MiB, 138.22 W, 86
2026/09/21 19:49:37.420, 100 %, 52 %, 12113 MiB, 16376 MiB, 139.73 W, 86
2026/09/21 19:49:38.421, 100 %, 49 %, 12113 MiB, 16376 MiB, 139.36 W, 86
2026/09/21 19:49:39.421, 100 %, 51 %, 12113 MiB, 16376 MiB, 139.22 W, 86
2026/09/21 19:49:40.421, 100 %, 60 %, 12113 MiB, 16376 MiB, 140.19 W, 86
2026/09/21 19:49:41.422, 100 %, 57 %, 12113 MiB, 16376 MiB, 139.30 W, 87
2026/09/21 19:49:42.422, 100 %, 53 %, 12113 MiB, 16376 MiB, 139.03 W, 87
2026/09/21 19:49:43.422, 100 %, 54 %, 12113 MiB, 16376 MiB, 139.44 W, 87
2026/09/21 19:49:44.423, 100 %, 53 %, 12113 MiB, 16376 MiB, 138.96 W, 87
2026/09/21 19:49:45.423, 100 %, 53 %, 12113 MiB, 16376 MiB, 138.87 W, 87
2026/09/21 19:49:46.423, 93 %, 52 %, 12113 MiB, 16376 MiB, 138.97 W, 87
2026/09/21 19:49:47.424, 100 %, 50 %, 12113 MiB, 16376 MiB, 139.47 W, 87
2026/09/21 19:49:48.424, 100 %, 54 %, 12113 MiB, 16376 MiB, 139.58 W, 88
2026/09/21 19:49:49.424, 100 %, 58 %, 12113 MiB, 16376 MiB, 139.56 W, 88
2026/09/21 19:49:50.424, 100 %, 55 %, 12113 MiB, 16376 MiB, 139.35 W, 88
2026/09/21 19:49:51.425, 100 %, 56 %, 12113 MiB, 16376 MiB, 139.57 W, 88
2026/09/21 19:49:52.425, 100 %, 57 %, 12113 MiB, 16376 MiB, 139.62 W, 88
2026/09/21 19:49:53.425, 100 %, 56 %, 12113 MiB, 16376 MiB, 139.58 W, 88
2026/09/21 19:49:54.426, 100 %, 56 %, 12113 MiB, 16376 MiB, 139.64 W, 88
2026/09/21 19:49:55.426, 100 %, 55 %, 12113 MiB, 16376 MiB, 139.53 W, 88
2026/09/21 19:49:56.426, 100 %, 49 %, 12113 MiB, 16376 MiB, 139.64 W, 88
2026/09/21 19:49:57.427, 100 %, 52 %, 12113 MiB, 16376 MiB, 139.73 W, 89
2026/09/21 19:49:58.427, 100 %, 100 %, 12113 MiB, 16376 MiB, 139.47 W, 89
2026/09/21 19:49:59.427, 100 %, 46 %, 12113 MiB, 16376 MiB, 139.09 W, 89
2026/09/21 19:50:00.428, 100 %, 55 %, 12113 MiB, 16376 MiB, 137.55 W, 89
2026/09/21 19:50:01.428, 100 %, 46 %, 12113 MiB, 16376 MiB, 137.68 W, 89
2026/09/21 19:50:02.428, 100 %, 49 %, 12113 MiB, 16376 MiB, 139.29 W, 89
2026/09/21 19:50:03.429, 100 %, 47 %, 12113 MiB, 16376 MiB, 139.23 W, 89
2026/09/21 19:50:04.429, 100 %, 53 %, 12113 MiB, 16376 MiB, 139.45 W, 89
2026/09/21 19:50:05.429, 100 %, 54 %, 12113 MiB, 16376 MiB, 139.65 W, 89
2026/09/21 19:50:06.430, 100 %, 55 %, 12113 MiB, 16376 MiB, 138.75 W, 89
2026/09/21 19:50:07.430, 100 %, 53 %, 12113 MiB, 16376 MiB, 139.05 W, 90
2026/09/21 19:50:08.430, 100 %, 52 %, 12113 MiB, 16376 MiB, 140.07 W, 89
2026/09/21 19:50:09.431, 83 %, 51 %, 12113 MiB, 16376 MiB, 139.36 W, 90
2026/09/21 19:50:10.431, 100 %, 52 %, 12113 MiB, 16376 MiB, 139.36 W, 90
2026/09/21 19:50:11.431, 100 %, 45 %, 12113 MiB, 16376 MiB, 138.39 W, 90
2026/09/21 19:50:12.431, 100 %, 52 %, 12113 MiB, 16376 MiB, 139.46 W, 90
2026/09/21 19:50:13.432, 100 %, 47 %, 12113 MiB, 16376 MiB, 138.31 W, 90
2026/09/21 19:50:14.432, 100 %, 49 %, 12113 MiB, 16376 MiB, 139.16 W, 90
2026/09/21 19:50:15.432, 100 %, 48 %, 12113 MiB, 16376 MiB, 139.11 W, 90
2026/09/21 19:50:16.433, 100 %, 50 %, 12113 MiB, 16376 MiB, 139.08 W, 90
2026/09/21 19:50:17.433, 100 %, 54 %, 12113 MiB, 16376 MiB, 139.34 W, 90
2026/09/21 19:50:18.433, 100 %, 54 %, 12113 MiB, 16376 MiB, 138.66 W, 90
2026/09/21 19:50:19.434, 89 %, 61 %, 12113 MiB, 16376 MiB, 138.11 W, 90
2026/09/21 19:50:20.434, 100 %, 47 %, 12113 MiB, 16376 MiB, 139.68 W, 90
2026/09/21 19:50:21.434, 100 %, 47 %, 12113 MiB, 16376 MiB, 139.47 W, 90
2026/09/21 19:50:22.435, 100 %, 47 %, 12113 MiB, 16376 MiB, 139.52 W, 91
2026/09/21 19:50:23.435, 100 %, 56 %, 12113 MiB, 16376 MiB, 139.66 W, 91
2026/09/21 19:50:24.435, 97 %, 78 %, 12113 MiB, 16376 MiB, 139.58 W, 90
2026/09/21 19:50:25.436, 100 %, 51 %, 12113 MiB, 16376 MiB, 138.66 W, 90
2026/09/21 19:50:26.436, 100 %, 50 %, 12113 MiB, 16376 MiB, 139.14 W, 91
2026/09/21 19:50:27.436, 100 %, 54 %, 12113 MiB, 16376 MiB, 139.25 W, 90
2026/09/21 19:50:28.437, 100 %, 52 %, 12113 MiB, 16376 MiB, 139.16 W, 91
2026/09/21 19:50:29.437, 100 %, 53 %, 12113 MiB, 16376 MiB, 139.43 W, 91
