wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789987987393877755,0.0,0.1,0.00,5.67,0
1789987988406554586,0.0,0.0,0.00,0.00,0
1789987989416949352,0.0,0.0,0.00,0.00,0
1789987990431213451,0.0,0.0,0.00,0.00,0
1789987991447084764,0.0,0.0,0.00,14.00,0
1789987992460642370,0.0,0.0,0.00,5.33,0
1789987993472899512,0.0,0.1,0.00,13.88,0
1789987994487660783,0.0,0.0,0.00,0.00,0
1789987995501749968,0.0,0.0,0.00,0.00,0
1789987996518118462,0.0,0.0,0.00,0.00,0
1789987997532940108,0.0,0.1,0.00,11.30,0
1789987998548611872,0.0,0.0,0.00,0.00,0
1789987999562791667,0.0,0.0,0.00,0.00,0
1789988000577032615,0.0,0.0,0.00,0.00,0
1789988001590894384,0.0,0.0,0.00,0.00,0
1789988002604715407,0.0,0.2,0.00,0.59,0
1789988003619042754,0.0,0.0,0.00,0.00,0
1789988004633155283,0.0,0.0,0.00,0.00,0
1789988005646779025,0.0,0.0,0.00,0.00,0
1789988006660339354,0.0,0.0,0.00,0.00,0
1789988007673973804,0.0,0.1,0.00,3.80,0
1789988008687627231,0.0,0.0,0.00,13.88,0
1789988009701828491,0.0,0.0,0.00,0.00,0
1789988010715854200,0.0,0.0,0.00,0.00,0
1789988011729603110,0.0,0.0,0.00,0.00,0
1789988012743549400,0.0,0.2,0.00,1.41,0
1789988013757136557,0.0,0.1,0.00,13.77,0
1789988014770800685,0.0,0.0,0.00,0.00,0
1789988015784280320,0.0,8.4,0.00,0.99,0
1789988016798017985,0.0,0.0,0.00,0.00,0
1789988017811372642,0.0,0.1,0.00,5.67,0
1789988018824764198,0.0,7.9,0.00,8.93,0
1789988019838162208,0.0,0.0,0.00,0.00,0
1789988020851422769,0.0,0.0,0.00,14.00,0
1789988021864839659,0.0,426.0,0.00,1.45,0
1789988022879036554,0.0,103.9,0.00,0.97,0
1789988023892888563,0.0,0.0,0.00,0.00,0
1789988024906356570,0.0,15.8,0.00,2.42,0
1789988025919673217,0.0,0.0,0.00,0.00,0
1789988026932868803,0.0,0.0,0.00,14.00,0
1789988027946420820,0.0,134.3,0.00,4.39,0
1789988028960573965,0.0,213.0,0.00,0.91,0
1789988029974144726,0.0,181.5,0.00,0.92,0
1789988030986814478,0.0,0.0,0.00,0.00,0
1789988031998613664,0.0,0.0,0.00,0.00,0
1789988033012034604,0.0,1.3,0.00,1.23,0
1789988034025574329,0.0,0.0,0.00,0.00,0
1789988035038908350,0.0,0.0,0.00,0.00,0
1789988036052124196,0.0,84.4,0.00,1.02,1
1789988037065896672,3.9,389.3,0.50,0.47,0
1789988038079197163,240.7,55.9,1.12,1.22,0
1789988039093022938,0.0,78.9,0.00,2.09,0
1789988040107077388,0.0,15.8,0.00,7.95,0
1789988041120572880,0.0,0.0,0.00,0.00,0
1789988042133984708,0.0,63.1,0.00,4.58,0
1789988043147841585,0.0,96.2,0.00,0.86,0
1789988044161367023,0.0,71.0,0.00,0.71,0
1789988045174728323,0.0,47.4,0.00,1.31,0
1789988046186531457,0.0,0.0,0.00,0.00,0
1789988047198963554,0.0,0.0,0.00,0.00,0
1789988048211629929,0.0,31.8,0.00,1.64,0
1789988049224519399,0.0,102.7,0.00,0.40,0
1789988050237621093,0.0,31.6,0.00,0.39,0
1789988051251085455,0.0,0.0,0.00,0.00,0
1789988052264582176,0.0,252.6,0.00,1.47,0
1789988053278281222,0.0,1.3,0.00,0.47,0
1789988054291621545,0.0,0.1,0.00,13.89,0
1789988055305281753,0.0,0.0,0.00,0.00,0
1789988056318870150,39.5,197.8,0.83,0.78,0
1789988057332521566,0.0,7.9,0.00,0.77,0
1789988058345831905,0.0,0.3,0.00,6.00,0
1789988059359038732,0.0,0.1,0.00,13.89,0
