--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
   5    0            0    118472840        86528      8184260    0    0  1030   272   57   89   1   0  99   0   0 2026-09-21 19:53:06
   1    0            0    118411200        86540      8184276    0    0     0   108 1990 1600   3   0  97   0   0 2026-09-21 19:53:07
   1    0            0    118410704        86540      8184292    0    0     0     0 32089 2296   4   8  88   0   0 2026-09-21 19:53:08
   1    0            0    118398192        86540      8184324    0    0     0     0 1809 1356   3   0  97   0   0 2026-09-21 19:53:09
   0    0            0    118398192        86540      8184328    0    0     0     0  961 1226   1   0  99   0   0 2026-09-21 19:53:10
   1    0            0    118397936        86540      8184328    0    0     0    44  880 1219   0   0  99   0   0 2026-09-21 19:53:11
   2    0            0    117923096        86548      8184316    0    0     0    32 8296 2903  17   1  82   0   0 2026-09-21 19:53:12
   2    0            0    117759328        86548      8184448    0    0     0    64 3487 1810   5   0  94   0   0 2026-09-21 19:53:13
   1    0            0    118146656        86548      8184448    0    0     0     2 3789 1733   1   0  98   0   0 2026-09-21 19:53:14
   2    0            0    118160008        86548      8184452    0    0     0     0 1232 1369   1   0  99   0   0 2026-09-21 19:53:15
   1    0            0    118159256        86548      8184456    0    0     0     0  759 1139   0   0 100   0   0 2026-09-21 19:53:16
   0    0            0    117935824        86560      8184456    0    0     0   132 1694 1334   2   0  97   0   0 2026-09-21 19:53:17
   1    0            0    117880432        86560      8184460    0    0     0     0 1636 1263   2   0  97   0   0 2026-09-21 19:53:18
   0    0            0    117792016        86560      8184460    0    0     0     0 1643 1265   2   0  97   0   0 2026-09-21 19:53:19
   1    0            0    117697312        86560      8192532    0    0     0     4 4781 2337   2   1  98   0   0 2026-09-21 19:53:20
   2    0            0    117564784        86560      8262220    0    0     0     0 3230 3214   4   0  96   0   0 2026-09-21 19:53:21
   2    0            0    117456824        86568      8264716    0    0     0   168 3060 2951   3   1  96   0   0 2026-09-21 19:53:22
   1    0            0    117466560        86568      8264716    0    0     0    20 2512 2941   2   0  97   0   0 2026-09-21 19:53:23
   1    0            0    117470928        86568      8264720    0    0     0     0 2548 2885   2   1  97   0   0 2026-09-21 19:53:24
