#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260920    23:29:00       0      9     35      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:29:01       0     10     35      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:29:02       0      7     35      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260920    23:29:03       0     12     35      -      0      0      0      0      0      0    810    690      0      0     16      5      0      -      -      0     18      0 
 20260920    23:29:04       0     12     36      -      0      0      0      0      0      0    810    690      0      0     18      5      0      -      -      0      1      0 
 20260920    23:29:06       0      7     35      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      1      1 
 20260920    23:29:07       0      6     35      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      1      1 
 20260920    23:29:08       0      6     35      -      1      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      1 
 20260920    23:29:09       0      6     35      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      1 
 20260920    23:29:10       0      5     35      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      1 
 20260920    23:29:11       0      6     35      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      1      7 
 20260920    23:29:12       0      6     35      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      1 
 20260920    23:29:13       0      6     35      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      1      1 
 20260920    23:29:14       0      6     35      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      1 
 20260920    23:29:16       0     38     37      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      1      1 
 20260920    23:29:17       0     38     38      -      0      0      0      0      0      0   6500   1620      0      0   5760      7      0      -      -      0      0      1 
 20260920    23:29:18       0     46     39      -     52      2      0      0      0      0   6500   1950      0      0   5760      7      0      -      -      0   6241    667 
 20260920    23:29:19       0     69     41      -     33      3      0      0      0      0   6500   1950      0      0   7788      7      0      -      -      0      5      1 
 20260920    23:29:20       0    215     46      -    100     56      0      0      0      0   6500   1920      0      0   6858      7      0      -      -      0     22     11 
 20260920    23:29:21       0    220     48      -    100     58      0      0      0      0   6500   1905      0      0   6858      7      0      -      -      0     23     12 
 20260920    23:29:22       0    231     45      -     90     50      0      0      0      0   6500   1935      0      0   6870      7      0      -      -      0     16      1 
 20260920    23:29:23       0     53     43      -     19     18      0      0      0      0   6500   1935      0      0   6870      7      0      -      -      0      0      1 
 20260920    23:29:24       0     53     43      -      0      0      0      0      0      0   6500   1935      0      0   8876      7      0      -      -      0      0      1 
 20260920    23:29:25       0    113     47      -    100     12      0      0      0      0   6500   1890      0      0   9548      7      0      -      -      0      0      1 
 20260920    23:29:26       0    112     45      -    100     11      0      0      0      0   6500   1935      0      0   9548      7      0      -      -      0      1      1 
 20260920    23:29:27       0    110     46      -    100     10      0      0      0      0   6500   1935      0      0   9548      7      0      -      -      0      1      1 
 20260920    23:29:29       0    114     49      -    100      9      0      0      0      0   6500   1890      0      0   9548      7      0      -      -      0      1      1 
 20260920    23:29:30       0    112     47      -    100     14      0      0      0      0   6500   1935      0      0   9548      7      0      -      -      0      1      1 
 20260920    23:29:31       0    208     48      -    100      8      0      0      0      0   6500   1920      0      0   9548      7      0      -      -      0      1      1 
