timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/20 23:29:00.680, 0 %, 0 %, 15 MiB, 16384 MiB, 9.90 W, 35
2026/09/20 23:29:01.710, 0 %, 0 %, 15 MiB, 16384 MiB, 6.19 W, 35
2026/09/20 23:29:02.716, 0 %, 0 %, 15 MiB, 16384 MiB, 6.21 W, 35
2026/09/20 23:29:03.721, 0 %, 0 %, 15 MiB, 16384 MiB, 6.39 W, 35
2026/09/20 23:29:04.726, 0 %, 0 %, 18 MiB, 16384 MiB, 10.41 W, 35
2026/09/20 23:29:05.731, 0 %, 0 %, 18 MiB, 16384 MiB, 10.77 W, 35
2026/09/20 23:29:06.737, 0 %, 0 %, 18 MiB, 16384 MiB, 6.78 W, 35
2026/09/20 23:29:07.743, 0 %, 0 %, 18 MiB, 16384 MiB, 6.86 W, 35
2026/09/20 23:29:08.749, 0 %, 0 %, 18 MiB, 16384 MiB, 5.68 W, 35
2026/09/20 23:29:09.754, 0 %, 0 %, 18 MiB, 16384 MiB, 5.71 W, 35
2026/09/20 23:29:10.760, 0 %, 0 %, 18 MiB, 16384 MiB, 6.12 W, 35
2026/09/20 23:29:11.766, 0 %, 0 %, 18 MiB, 16384 MiB, 11.41 W, 35
2026/09/20 23:29:12.771, 0 %, 0 %, 18 MiB, 16384 MiB, 10.97 W, 35
2026/09/20 23:29:13.791, 0 %, 0 %, 18 MiB, 16384 MiB, 6.39 W, 35
2026/09/20 23:29:14.797, 0 %, 0 %, 18 MiB, 16384 MiB, 6.45 W, 35
2026/09/20 23:29:15.802, 0 %, 0 %, 134 MiB, 16384 MiB, 38.86 W, 37
2026/09/20 23:29:16.804, 1 %, 1 %, 3456 MiB, 16384 MiB, 39.66 W, 38
2026/09/20 23:29:17.807, 0 %, 0 %, 5760 MiB, 16384 MiB, 39.06 W, 38
2026/09/20 23:29:18.809, 42 %, 3 %, 7108 MiB, 16384 MiB, 55.41 W, 39
2026/09/20 23:29:19.811, 19 %, 3 %, 5770 MiB, 16384 MiB, 54.25 W, 39
2026/09/20 23:29:20.814, 100 %, 59 %, 6858 MiB, 16384 MiB, 224.80 W, 47
2026/09/20 23:29:21.816, 100 %, 60 %, 6858 MiB, 16384 MiB, 219.32 W, 48
2026/09/20 23:29:22.820, 3 %, 3 %, 6870 MiB, 16384 MiB, 65.22 W, 43
2026/09/20 23:29:23.824, 0 %, 0 %, 6870 MiB, 16384 MiB, 55.97 W, 42
2026/09/20 23:29:24.826, 0 %, 0 %, 8876 MiB, 16384 MiB, 54.38 W, 43
2026/09/20 23:29:25.828, 100 %, 12 %, 9548 MiB, 16384 MiB, 113.50 W, 48
2026/09/20 23:29:26.842, 100 %, 11 %, 9548 MiB, 16384 MiB, 109.96 W, 46
2026/09/20 23:29:27.844, 100 %, 10 %, 9548 MiB, 16384 MiB, 113.66 W, 49
2026/09/20 23:29:28.846, 100 %, 13 %, 9548 MiB, 16384 MiB, 110.49 W, 46
2026/09/20 23:29:29.848, 100 %, 8 %, 9548 MiB, 16384 MiB, 113.91 W, 50
2026/09/20 23:29:30.854, 100 %, 15 %, 9548 MiB, 16384 MiB, 110.89 W, 47
2026/09/20 23:29:31.856, 100 %, 6 %, 9548 MiB, 16384 MiB, 116.81 W, 50
2026/09/20 23:29:32.859, 100 %, 19 %, 9548 MiB, 16384 MiB, 115.07 W, 48
2026/09/20 23:29:33.861, 100 %, 21 %, 9548 MiB, 16384 MiB, 117.39 W, 49
2026/09/20 23:29:34.863, 100 %, 0 %, 9548 MiB, 16384 MiB, 129.26 W, 49
2026/09/20 23:29:35.865, 100 %, 22 %, 9548 MiB, 16384 MiB, 117.47 W, 49
2026/09/20 23:29:36.867, 100 %, 0 %, 9548 MiB, 16384 MiB, 147.14 W, 50
2026/09/20 23:29:37.870, 100 %, 22 %, 9548 MiB, 16384 MiB, 118.50 W, 50
2026/09/20 23:29:38.872, 0 %, 0 %, 9548 MiB, 16384 MiB, 55.75 W, 48
2026/09/20 23:29:39.875, 100 %, 21 %, 9556 MiB, 16384 MiB, 118.71 W, 50
2026/09/20 23:29:40.877, 100 %, 0 %, 9556 MiB, 16384 MiB, 199.63 W, 51
2026/09/20 23:29:41.879, 100 %, 0 %, 9556 MiB, 16384 MiB, 118.82 W, 51
2026/09/20 23:29:42.881, 100 %, 21 %, 9556 MiB, 16384 MiB, 119.14 W, 52
2026/09/20 23:29:43.889, 100 %, 0 %, 9556 MiB, 16384 MiB, 206.21 W, 54
2026/09/20 23:29:44.892, 100 %, 0 %, 9556 MiB, 16384 MiB, 119.46 W, 52
2026/09/20 23:29:45.894, 100 %, 21 %, 9556 MiB, 16384 MiB, 116.86 W, 53
2026/09/20 23:29:46.896, 100 %, 0 %, 9556 MiB, 16384 MiB, 118.32 W, 55
2026/09/20 23:29:47.898, 100 %, 2 %, 9556 MiB, 16384 MiB, 115.94 W, 53
2026/09/20 23:29:48.900, 100 %, 17 %, 9556 MiB, 16384 MiB, 190.21 W, 53
2026/09/20 23:29:49.904, 100 %, 1 %, 9556 MiB, 16384 MiB, 118.93 W, 54
2026/09/20 23:29:50.906, 100 %, 16 %, 9556 MiB, 16384 MiB, 116.20 W, 54
2026/09/20 23:29:51.908, 100 %, 0 %, 9556 MiB, 16384 MiB, 186.98 W, 55
2026/09/20 23:29:52.910, 100 %, 0 %, 9556 MiB, 16384 MiB, 118.29 W, 55
2026/09/20 23:29:53.912, 100 %, 21 %, 9556 MiB, 16384 MiB, 113.37 W, 55
2026/09/20 23:29:54.915, 100 %, 0 %, 9556 MiB, 16384 MiB, 123.63 W, 58
2026/09/20 23:29:55.918, 100 %, 1 %, 9556 MiB, 16384 MiB, 118.10 W, 55
2026/09/20 23:29:56.921, 100 %, 21 %, 9556 MiB, 16384 MiB, 110.72 W, 56
2026/09/20 23:29:57.923, 100 %, 0 %, 9556 MiB, 16384 MiB, 119.92 W, 58
2026/09/20 23:29:58.926, 100 %, 36 %, 9558 MiB, 16384 MiB, 136.66 W, 57
2026/09/20 23:29:59.928, 100 %, 14 %, 9558 MiB, 16384 MiB, 115.96 W, 59
2026/09/20 23:30:00.930, 100 %, 14 %, 9558 MiB, 16384 MiB, 132.18 W, 57
2026/09/20 23:30:01.932, 100 %, 3 %, 9558 MiB, 16384 MiB, 137.24 W, 59
2026/09/20 23:30:02.935, 100 %, 14 %, 9558 MiB, 16384 MiB, 111.43 W, 57
2026/09/20 23:30:03.937, 100 %, 0 %, 9558 MiB, 16384 MiB, 180.13 W, 59
2026/09/20 23:30:04.941, 100 %, 14 %, 9558 MiB, 16384 MiB, 113.67 W, 58
2026/09/20 23:30:05.943, 100 %, 8 %, 9558 MiB, 16384 MiB, 179.51 W, 59
2026/09/20 23:30:06.946, 100 %, 14 %, 9558 MiB, 16384 MiB, 115.98 W, 59
2026/09/20 23:30:07.948, 100 %, 14 %, 9558 MiB, 16384 MiB, 145.43 W, 59
2026/09/20 23:30:08.951, 100 %, 6 %, 9558 MiB, 16384 MiB, 134.20 W, 59
2026/09/20 23:30:09.954, 100 %, 6 %, 9558 MiB, 16384 MiB, 134.13 W, 60
2026/09/20 23:30:10.957, 100 %, 7 %, 9558 MiB, 16384 MiB, 133.91 W, 60
2026/09/20 23:30:11.960, 100 %, 34 %, 9558 MiB, 16384 MiB, 140.56 W, 60
2026/09/20 23:30:12.964, 100 %, 22 %, 9558 MiB, 16384 MiB, 145.29 W, 60
2026/09/20 23:30:13.966, 100 %, 14 %, 9558 MiB, 16384 MiB, 163.57 W, 62
2026/09/20 23:30:14.969, 100 %, 11 %, 9558 MiB, 16384 MiB, 162.84 W, 63
2026/09/20 23:30:15.972, 100 %, 20 %, 9558 MiB, 16384 MiB, 124.40 W, 62
2026/09/20 23:30:16.975, 0 %, 0 %, 9558 MiB, 16384 MiB, 60.41 W, 59
2026/09/20 23:30:17.977, 0 %, 0 %, 9558 MiB, 16384 MiB, 58.03 W, 59
2026/09/20 23:30:18.980, 0 %, 0 %, 9558 MiB, 16384 MiB, 46.66 W, 58
2026/09/20 23:30:19.988, 0 %, 0 %, 9558 MiB, 16384 MiB, 46.40 W, 58
2026/09/20 23:30:20.990, 0 %, 0 %, 9558 MiB, 16384 MiB, 46.43 W, 58
2026/09/20 23:30:21.992, 0 %, 0 %, 9558 MiB, 16384 MiB, 46.21 W, 58
2026/09/20 23:30:22.995, 0 %, 0 %, 9558 MiB, 16384 MiB, 46.20 W, 57
2026/09/20 23:30:23.997, 0 %, 0 %, 9558 MiB, 16384 MiB, 46.67 W, 57
2026/09/20 23:30:24.999, 0 %, 0 %, 9558 MiB, 16384 MiB, 46.59 W, 57
2026/09/20 23:30:26.002, 0 %, 0 %, 9558 MiB, 16384 MiB, 46.29 W, 57
2026/09/20 23:30:27.005, 0 %, 0 %, 9558 MiB, 16384 MiB, 46.12 W, 57
2026/09/20 23:30:28.008, 0 %, 0 %, 9558 MiB, 16384 MiB, 45.81 W, 57
2026/09/20 23:30:29.012, 0 %, 0 %, 9558 MiB, 16384 MiB, 45.64 W, 57
2026/09/20 23:30:30.014, 0 %, 0 %, 9558 MiB, 16384 MiB, 46.15 W, 57
2026/09/20 23:30:31.018, 0 %, 0 %, 9558 MiB, 16384 MiB, 46.08 W, 56
2026/09/20 23:30:32.020, 0 %, 0 %, 9558 MiB, 16384 MiB, 46.14 W, 56
2026/09/20 23:30:33.022, 0 %, 0 %, 9558 MiB, 16384 MiB, 46.08 W, 56
2026/09/20 23:30:34.024, 0 %, 0 %, 9558 MiB, 16384 MiB, 14.41 W, 55
2026/09/20 23:30:35.028, 0 %, 0 %, 9558 MiB, 16384 MiB, 8.43 W, 54
2026/09/20 23:30:36.032, 0 %, 0 %, 9558 MiB, 16384 MiB, 8.14 W, 54
2026/09/20 23:30:37.037, 0 %, 0 %, 9558 MiB, 16384 MiB, 7.80 W, 53
2026/09/20 23:30:38.041, 0 %, 0 %, 9558 MiB, 16384 MiB, 7.53 W, 53
2026/09/20 23:30:39.045, 0 %, 0 %, 9558 MiB, 16384 MiB, 7.49 W, 53
2026/09/20 23:30:40.049, 0 %, 0 %, 9558 MiB, 16384 MiB, 7.39 W, 53
2026/09/20 23:30:41.053, 0 %, 0 %, 9558 MiB, 16384 MiB, 7.53 W, 52
2026/09/20 23:30:42.057, 0 %, 0 %, 9558 MiB, 16384 MiB, 8.89 W, 52
2026/09/20 23:30:43.061, 0 %, 0 %, 9558 MiB, 16384 MiB, 8.62 W, 52
2026/09/20 23:30:44.065, 0 %, 0 %, 9558 MiB, 16384 MiB, 7.73 W, 52
2026/09/20 23:30:45.079, 0 %, 0 %, 9558 MiB, 16384 MiB, 7.55 W, 51
