procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 5  0       546576     91908088      1279640     29873468    2    2 13309   488    0    0   1   1  96   2   0 2026-09-20 23:39:21
 2  0       546576     91810968      1279640     29873524    0    0     0   212 2287 3242   3   1  97   0   0 2026-09-20 23:39:22
 2  0       546576     91758320      1279640     29873548    0    0     0     0 4560 71660   5   7  88   0   0 2026-09-20 23:39:23
 3  0       546576     91708048      1279640     29873628    0    0     0     0 2143 2863   3   0  97   0   0 2026-09-20 23:39:24
 1  0       546576     91706032      1279648     29873640    0    0     0    96 2175 3237   0   0  99   0   0 2026-09-20 23:39:25
 3  0       546576     91669336      1279648     29873672    0    0     0     0 2135 3465   1   0  99   0   0 2026-09-20 23:39:26
 3  0       546576     91151536      1279648     29873700    0    0     0   220 3847 3964  16   1  83   0   0 2026-09-20 23:39:27
 1  0       546576     91645352      1279648     29873820    0    0     0     0 4028 4057   5   1  94   0   0 2026-09-20 23:39:28
 1  0       546576     91645536      1279648     29873840    0    0     0     0 1978 3377   0   0  99   0   0 2026-09-20 23:39:29
 1  0       546576     91641144      1279656     29873852    0    0     0   136 1955 3207   0   0  99   0   0 2026-09-20 23:39:30
 1  0       546576     91602168      1279656     29873896    0    0     0     0 2236 3139   1   0  99   0   0 2026-09-20 23:39:31
 1  0       546576     91412512      1279656     29873920    0    0     0     0 2094 2946   2   1  97   0   0 2026-09-20 23:39:32
 1  0       546576     91322848      1279656     29873948    0    0     0   276 2282 2918   3   0  97   0   0 2026-09-20 23:39:33
 1  0       546576     91229776      1279656     29873976    0    0     0     0 2066 2988   2   1  97   0   0 2026-09-20 23:39:34
 1  0       546576     91116176      1279660     29884068    0    0     0   104 3828 4216   2   1  97   0   0 2026-09-20 23:39:35
 1  0       546576     90904240      1279660     29953872    0    0     0     0 3202 4839   4   1  96   0   0 2026-09-20 23:39:36
 0  0       546576     90915568      1279660     29953900    0    0     0     4 2938 4440   2   0  97   0   0 2026-09-20 23:39:37
 1  0       546576     90903664      1279660     29953912    0    0     0   232 3192 4572   2   1  97   0   0 2026-09-20 23:39:38
 1  0       546576     90848840      1279660     29953948    0    0     0     0 2807 4341   2   1  97   0   0 2026-09-20 23:39:39
 1  0       546576     90838512      1279664     29953956    0    0     0   144 3378 4130   3   0  97   0   0 2026-09-20 23:39:40
 1  0       546576     90862456      1279664     29954000    0    0     0     0 3568 4310   3   0  97   0   0 2026-09-20 23:39:41
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 1  0       546576     90743808      1279664     29954008    0    0     0     0 3870 4442   3   0  97   0   0 2026-09-20 23:39:42
 1  0       546576     90713856      1279664     29954040    0    0     0   260 3104 4453   3   0  97   0   0 2026-09-20 23:39:43
 1  0       546576     86219472      1279664     34422516    0    0     0     0 4602 4444   0   3  97   0   0 2026-09-20 23:39:44
 1  0       546576     82168384      1279668     38342440    0    0     0   100 5235 4674   0   3  97   0   0 2026-09-20 23:39:45
 1  0       546576     82152576      1279668     38342660    0    0     0     0 8292 6640  29   3  68   0   0 2026-09-20 23:39:46
 1  0       546576     82123864      1279668     38342676    0    0     0     0 7342 12437   3   0  97   0   0 2026-09-20 23:39:47
 1  0       546576     82124400      1279668     38342588    0    0     0   444 7093 12456   3   0  97   0   0 2026-09-20 23:39:48
 1  0       546576     82122416      1279668     38342620    0    0     0     0 6892 12343   3   0  97   0   0 2026-09-20 23:39:49
 1  0       546576     82122176      1279676     38342644    0    0     0   164 6878 12275   3   0  97   0   0 2026-09-20 23:39:50
 1  0       546576     82119952      1279676     38342648    0    0     0     0 6907 12335   3   0  97   0   0 2026-09-20 23:39:51
 1  0       546576     82119488      1279676     38342688    0    0     0     4 6851 12309   3   0  97   0   0 2026-09-20 23:39:52
 1  0       546576     82118776      1279676     38342696    0    0     0   392 7197 12504   3   0  97   0   0 2026-09-20 23:39:53
 1  0       546576     82116048      1279676     38342732    0    0     0     0 6881 12262   3   0  97   0   0 2026-09-20 23:39:54
 1  0       546576     82114544      1279692     38342756    0    0     0   160 7102 12357   3   0  97   0   0 2026-09-20 23:39:55
 1  0       546576     82116864      1279692     38342772    0    0     0     0 7012 12308   3   0  97   0   0 2026-09-20 23:39:56
 1  0       546576     82119136      1279692     38342808    0    0     0     0 6924 12225   3   0  97   0   0 2026-09-20 23:39:57
 1  0       546576     82119648      1279692     38342816    0    0     0   216 7236 12642   3   0  97   0   0 2026-09-20 23:39:58
 1  0       546576     82118672      1279692     38342860    0    0     0     0 7057 12207   3   0  97   0   0 2026-09-20 23:39:59
 1  0       546576     82119712      1279704     38342868    0    0     0    92 6992 12082   3   0  97   0   0 2026-09-20 23:40:00
 1  0       546576     82058024      1279704     38342904    0    0     0 51200 6967 12609   3   1  96   0   0 2026-09-20 23:40:01
 1  0       546576     82045992      1279704     38342920    0    0     0     0 6906 12538   2   1  97   0   0 2026-09-20 23:40:02
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 1  0       546576     82046768      1279704     38342960    0    0     0     0 6886 12392   2   1  97   0   0 2026-09-20 23:40:03
 1  0       546576     82046552      1279704     38342964    0    0     0   204 7125 12269   2   1  97   0   0 2026-09-20 23:40:04
 1  0       546576     82045104      1279716     38343012    0    0     0   116 7025 12409   2   1  97   0   0 2026-09-20 23:40:05
 1  0       546576     82045152      1279716     38343020    0    0     0     0 7077 12426   2   1  97   0   0 2026-09-20 23:40:06
 1  0       546576     82043408      1279716     38343060    0    0     0     0 7017 12284   2   1  97   0   0 2026-09-20 23:40:07
 1  0       546576     82045008      1279716     38343084    0    0     0     0 6971 12332   2   1  97   0   0 2026-09-20 23:40:08
 1  0       546576     82045072      1279716     38343096    0    0     0   224 7063 12289   2   1  97   0   0 2026-09-20 23:40:09
 1  0       546576     82042560      1279724     38343128    0    0     0   108 6950 12353   2   1  97   0   0 2026-09-20 23:40:10
 1  0       546576     82041056      1279724     38343140    0    0     0     0 7055 12396   2   1  97   0   0 2026-09-20 23:40:11
 1  0       546576     82040808      1279724     38343176    0    0     0     0 7054 12314   2   1  97   0   0 2026-09-20 23:40:12
 1  0       546576     82039344      1279724     38343192    0    0     0     0 7038 12329   2   1  97   0   0 2026-09-20 23:40:13
 1  0       546576     82037680      1279724     38343216    0    0     0   212 7068 12371   2   1  97   0   0 2026-09-20 23:40:14
 1  0       546576     82036464      1279728     38343244    0    0     0    76 6840 12106   2   1  97   0   0 2026-09-20 23:40:15
 2  0       546576     82034032      1279728     38343260    0    0     0     0 6957 12390   2   1  97   0   0 2026-09-20 23:40:16
 1  0       546576     82033984      1279728     38343288    0    0     0     0 6982 12378   2   1  97   0   0 2026-09-20 23:40:17
 1  0       546576     82033520      1279728     38343312    0    0     0     0 7136 12398   2   1  97   0   0 2026-09-20 23:40:18
 1  0       546576     82032944      1279728     38343352    0    0     0   184 6978 12319   2   1  97   0   0 2026-09-20 23:40:19
 1  0       546576     82034464      1279736     38343368    0    0     0    88 6934 12416   2   1  97   0   0 2026-09-20 23:40:20
 0  4       546576     82012240      1279736     38343500    0    0     0 1489920 12312 19544   2   1  89   8   0 2026-09-20 23:40:21
 4  0       546576     82011592      1279736     38343724    0    0     0 487424 9684 16007   4   1  92   3   0 2026-09-20 23:40:22
 5  0       546576     82010672      1279736     38343740    0    0     0  3072 8161 12409  13   1  86   0   0 2026-09-20 23:40:23
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 5  0       546576     82009280      1279736     38343764    0    0     0   192 7956 12186  13   1  86   0   0 2026-09-20 23:40:24
 5  0       546576     82008848      1279748     38343780    0    0     0   672 8104 12430  13   1  86   0   0 2026-09-20 23:40:25
