round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b
1,0,coursera,0,1971,1.1148,0,0,0,0,0,0
1,1,financial_qa,0,1963,1.1373,16,0,0,0,0,0
1,2,legal_contract_qa,0,1964,1.1006,16,0,0,0,0,0
1,3,meeting_summ,0,1938,1.1094,16,0,0,0,0,0
1,4,multidoc_qa,0,1952,1.4158,16,0,0,0,0,0
1,5,narrative_qa,0,1935,1.0859,16,0,0,0,0,0
1,6,natural_question,0,1940,1.0928,16,0,0,0,0,0
1,7,paper_assistant,0,1934,1.0842,16,0,0,0,0,0
2,1,financial_qa,1,1966,0.0941,1936,0,0,0,0,0
2,3,meeting_summ,1,1937,0.0737,1920,0,0,0,0,0
2,6,natural_question,1,1936,0.1326,1920,0,0,0,0,0
2,0,coursera,1,1974,0.1198,1920,0,0,0,0,0
2,2,legal_contract_qa,1,1976,0.0992,1936,0,0,0,0,0
2,5,narrative_qa,1,1937,0.067,1920,0,0,0,0,0
2,7,paper_assistant,1,2032,0.157,1920,0,0,0,0,0
2,4,multidoc_qa,1,1953,0.0941,1920,0,0,0,0,0
