rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.007,4.539,5.6641,16,0,0
r2,1,2,legal_contract_qa,0,1964,0.008,4.538,7.2713,24,16,0
r5,1,5,narrative_qa,0,1935,7.282,1.211,2.3609,16,16,0
r4,1,4,multidoc_qa,0,1952,5.673,1.2243,5.7418,34,16,0
r6,1,6,natural_question,0,1940,9.645,1.2307,3.3807,16,16,0
r1,1,1,financial_qa,0,1963,0.008,4.5385,14.5321,66,16,0
r3,1,3,meeting_summ,0,1938,0.009,4.5375,15.8448,70,16,0
r8,1,8,quality,0,1988,13.027,1.2797,3.32,16,16,0
r10,1,10,sci_fi,0,1961,15.856,2.433,4.5925,16,16,0
r11,1,11,scientific_qa,0,1934,16.349,3.0976,4.2221,16,16,0
r12,1,12,topic_retrieval_longchat,0,1945,20.45,1.2204,3.4512,16,16,0
r13,1,13,tpo,0,1994,20.573,2.3141,3.4528,16,16,0
r14,1,14,coursera,0,1986,23.903,1.2666,3.4926,16,16,0
r7,1,7,paper_assistant,0,1934,11.417,1.221,17.2323,114,16,0
r9,1,9,review_summ,0,1940,14.542,1.2365,14.5215,108,16,0
r15,1,15,financial_qa,0,1969,24.028,2.346,6.1439,79,16,0
r19,1,19,narrative_qa,0,1939,30.174,4.6784,5.82,16,16,0
r16,1,16,legal_contract_qa,0,1961,27.397,4.2576,10.0606,24,16,0
r18,1,18,multidoc_qa,0,1936,29.064,5.7879,9.9214,29,16,0
r20,1,20,natural_question,0,1939,35.995,1.2345,4.4518,16,16,0
r22,1,22,quality,0,2032,38.987,1.3072,3.484,16,16,0
r17,1,17,meeting_summ,0,1939,28.652,6.2004,14.0048,50,16,0
r24,1,24,sci_fi,0,1968,42.473,2.7031,3.8629,16,16,0
r25,1,25,scientific_qa,0,1933,42.658,2.5175,5.1144,22,16,0
r26,1,26,topic_retrieval_longchat,0,1945,46.337,1.3591,3.5708,16,32,0
r27,1,27,tpo,0,1980,47.774,1.2737,3.4883,16,16,0
r28,1,28,coursera,0,1980,49.909,1.2766,2.2296,16,16,0
r21,1,21,paper_assistant,0,1934,37.46,1.2225,15.921,114,16,0
r23,1,23,review_summ,0,1942,40.449,1.2389,13.0555,106,16,0
r30,1,30,legal_contract_qa,0,1961,52.141,5.9556,7.1105,16,16,0
r32,1,32,multidoc_qa,0,1938,53.506,4.59,5.745,16,16,0
r33,1,33,narrative_qa,0,1942,59.253,2.2411,3.4006,16,16,0
r34,1,34,natural_question,0,1940,59.255,2.2394,3.3989,16,16,0
r29,1,29,financial_qa,0,1974,51.265,3.6231,12.0004,48,16,0
r31,1,31,meeting_summ,0,1933,53.383,4.7136,10.0939,54,16,0
r36,1,36,quality,0,2001,62.658,3.7327,6.975,16,16,0
r38,1,38,sci_fi,0,1954,63.478,5.0713,6.2151,16,16,0
r40,1,40,topic_retrieval_longchat,0,1945,69.695,2.4869,3.6424,16,32,0
r39,1,39,scientific_qa,0,1931,69.635,1.1904,4.57,35,16,0
r37,1,37,review_summ,0,1943,63.267,5.2829,15.9106,105,16,0
