t_s,backlog,inflight,kvroot_b,disk_free_b
1.0,0,4,1893,312240050176
2.0,0,4,1893,312240050176
3.0,0,4,1893,312240050176
4.0,0,4,1893,312240050176
5.0,0,4,176293733,312063557632
6.0,0,4,386008933,311843713024
7.0,0,4,1813546853,310426169344
8.0,0,4,2630944613,309597941760
9.0,0,4,2965014373,309264678912
10.0,0,4,3774875493,308462977024
11.1,0,4,3774875493,308462977024
12.1,0,4,3946252133,308284526592
13.1,0,4,4404021093,307833462784
14.1,0,4,4774954853,307455500288
15.1,0,4,5031528294,307202932736
16.2,0,4,5277288293,306951786496
17.2,0,4,5504534373,306723708928
18.2,0,4,5722441573,306513326080
19.2,0,4,5937071973,306297864192
20.2,0,4,6138267493,306097455104
21.3,0,4,6347163493,305888047104
22.3,0,4,6571132773,305664397312
23.3,0,4,6782158693,305453506560
24.3,0,4,6994167653,305241812992
25.3,0,4,7188645733,305046335488
26.4,0,4,7395739493,304840699904
27.4,0,4,7597918053,304638005248
28.4,0,4,7819265893,304416129024
29.4,0,4,8051099493,304183820288
30.4,0,4,8263763813,303971926016
31.5,0,4,8469055333,303765790720
32.5,0,4,8681228133,303555076096
33.5,0,4,8892909413,303342399488
34.5,0,4,9108359013,303125454848
35.6,0,4,9313814373,302925721600
36.6,0,4,9513699173,302721396736
37.7,0,4,9716041573,302523609088
38.7,0,4,9941976933,302293094400
39.8,0,4,10156115813,302082695168
40.8,0,4,10357966693,301877219328
41.8,0,4,10567026533,301667663872
42.9,0,4,10758391653,301475454976
43.9,0,4,10758391653,301475454976
44.9,0,4,10962863973,301264244736
46.0,0,4,11154065253,301074706432
47.0,0,4,11358865256,300867551232
48.0,0,4,11557930853,300669169664
49.0,0,4,11773544293,300456509440
50.1,0,4,11977852773,300255203328
51.1,0,4,12182488933,300044115968
52.2,0,4,12377950053,299848663040
53.2,0,4,12591597413,299634401280
54.2,0,4,12804917093,299421507584
55.2,0,4,12992677733,299233095680
56.3,0,4,13186991973,299046113280
57.3,0,4,13274974053,298957455360
58.3,0,4,13391136613,298833408000
59.4,0,4,13597575016,298629554176
60.4,0,4,13801883493,298429517824
61.5,0,4,14013073253,298212757504
62.5,0,4,14218037093,298008178688
63.5,0,4,14396950373,297829376000
64.5,0,4,14588807013,297642586112
65.6,0,4,14786070373,297445462016
66.6,0,4,15009548133,297223593984
67.7,0,4,15216314213,297010987008
68.8,0,4,15415707493,296808087552
69.8,0,4,15630010213,296594259968
70.8,0,4,15821866859,296403660800
71.9,0,4,16008480613,296215625728
72.9,0,4,16188540773,296037404672
73.9,0,4,16386131813,295840083968
75.0,0,4,16572254053,295659692032
76.0,0,4,16755263333,295477325824
77.1,0,4,16946956133,295285284864
78.1,0,4,17127671655,295105961984
79.2,0,4,17336076133,294896136192
80.3,0,4,17551361893,294680690688
81.3,0,4,17757964133,294473572352
82.3,0,4,17957848933,294273024000
83.4,0,4,18177722213,294053789696
84.4,0,4,18392024933,293839302656
85.4,0,4,18583553893,293647429632
86.5,0,4,18784749413,293443723264
87.5,0,4,18984470373,293248602112
88.6,0,4,19200739173,293030055936
89.6,0,4,19404064613,292827688960
90.6,0,4,19587401573,292641501184
91.7,0,4,19610503013,292622503936
92.8,0,4,19791710053,292434882560
93.8,0,4,19987007333,292243521536
94.8,0,4,20193609573,292042981376
95.9,0,4,20413810533,291816697856
97.0,0,4,20622870373,291605831680
98.0,0,4,20828325733,291403440128
99.1,0,4,21020837733,291207098368
100.1,0,4,21223835493,290998206464
101.1,0,4,21425522533,290800312320
102.2,0,4,21619017573,290606776320
103.2,0,4,21847082853,290378588160
104.3,0,4,22062860133,290160394240
105.3,0,4,22265202533,289959571456
106.3,0,4,22474262374,289746960384
107.4,0,4,22688728934,289537003520
108.4,0,4,22909421413,289313394688
109.5,0,4,23141091173,289082892288
110.5,0,4,23359162213,288872894464
111.6,0,4,23567566695,288655060992
112.7,0,4,23774332774,288448856064
113.7,0,4,24001415013,288222781440
114.7,0,4,24209164133,288013615104
115.8,0,4,24408229734,287813775360
116.8,0,4,24599758693,287628083200
117.9,0,4,24795547493,287432798208
118.9,0,4,25030985573,287213944832
120.1,0,4,25256920933,286975655936
121.2,0,4,25468929893,286757466112
122.2,0,4,25662261093,286558576640
123.3,0,4,25875089253,286359330816
124.3,0,4,25899829093,286325739520
125.3,0,4,26089064293,286145658880
126.4,0,4,26321389413,285910384640
127.5,0,4,26529793893,285698985984
128.6,0,4,26733938533,285492727808
129.6,0,4,26931365733,285298601984
130.7,0,4,27122894693,285101113344
131.7,0,4,27310983013,284913455104
132.8,0,4,27494975333,284722401280
133.8,0,4,27690436453,284531499008
134.9,0,4,27891959653,284333568000
135.9,0,4,28098725733,284129751040
137.0,0,4,28302706533,283928383488
138.1,0,4,28480636773,283746390016
139.1,0,4,28660533093,283566624768
140.2,0,4,28853045093,283378376704
141.3,0,4,29034907493,283191906304
142.3,0,4,29209888613,283018571776
143.4,0,4,29400106853,282827177984
144.4,0,4,29589178213,282634997760
145.5,0,4,29786113894,282434363392
146.5,0,4,29973055333,282246873088
147.6,0,4,30150821733,282070171648
148.6,0,4,30303848293,281919401984
149.7,0,4,30425089893,281792081920
150.7,0,4,30620551015,281597730816
151.8,0,4,30824040293,281396555776
152.8,0,4,31022614373,281200689152
153.9,0,4,31233476453,280987893760
154.9,0,4,31453022053,280771313664
156.0,0,4,31673386853,280554913792
157.0,0,4,31886378853,280340557824
158.1,0,4,32107726693,280118919168
159.2,0,4,32333006693,279900688384
160.3,0,4,32549111653,279691079680
161.4,0,4,32753747813,279472533504
162.5,0,4,32942327653,279282020352
163.6,0,4,33139263333,279086845952
164.6,0,4,33325713253,278900113408
165.7,0,4,33470547813,278751019008
166.7,0,4,33502496613,278716170240
167.8,0,4,33708607334,278527033344
169.0,0,4,33926842213,278293286912
170.0,0,4,34132461413,278093238272
171.1,0,4,34331690853,277893451776
172.1,0,4,34519451493,277702778880
173.2,0,4,34722613093,277499707392
174.3,0,4,34920040293,277299904512
175.3,0,4,35111896933,277102485504
176.4,0,4,35318007653,276905304064
177.4,0,4,35474474853,276759810048
178.5,0,4,35678619493,276546138112
179.6,0,4,35902752613,276321525760
180.7,0,4,36111484773,276110446592
181.7,0,4,36305635173,275909730304
182.8,0,4,36512401253,275705819136
183.8,0,4,36720478053,275495370752
184.9,0,4,36917741413,275298615296
185.9,0,4,37111891813,275105722368
187.0,0,4,37287364453,274932174848
188.1,0,4,37329799013,274894704640
189.2,0,4,37535745893,274678861824
190.2,0,4,37734811493,274481442816
191.3,0,4,37936826213,274285010944
192.3,0,4,38170298213,274074779648
193.5,0,4,38379685733,273845071872
194.6,0,4,38581700453,273641533440
195.7,0,4,38806980453,273416499200
196.7,0,4,39025870693,273190567936
197.8,0,4,39174801253,273043755008
198.8,0,4,39237879653,272991498240
199.9,0,4,39440713573,272781127680
201.0,0,4,39679919973,272544698368
202.0,0,4,39940917093,272294260736
203.2,0,4,40188643173,272047759360
204.3,0,4,40423262053,271804329984
205.8,0,4,40454063973,271763849216
207.0,0,4,40454063973,271763849216
208.5,0,4,40454063973,271763849216
209.6,0,4,40496007013,271721885696
211.0,0,4,40516978533,271700905984
212.4,0,4,40537950053,271679926272
214.0,0,4,40537950053,271679926272
215.4,0,4,40537950053,271679926272
216.6,0,4,40558921573,271658946560
218.1,0,4,40558921573,271658946560
219.3,0,4,40558921573,271658946560
220.4,0,4,40579893093,271637966848
221.5,0,4,40600864613,271637966848
223.0,0,4,40621836133,271596015616
224.1,0,4,40642807653,271575035904
225.3,0,4,40642807653,271575035904
226.7,0,4,40642807653,271575035904
228.1,0,4,40642807653,271575035904
229.3,0,4,40642807653,271575035904
230.9,0,4,40642807653,271575035904
232.1,0,4,40642807653,271575035904
233.5,0,4,40642807653,271575035904
234.6,0,4,40642807653,271575035904
235.9,0,4,40642807653,271575035904
237.5,0,4,40644446053,271575035904
238.7,0,4,40663779173,271554060288
239.9,0,4,40684750693,271533076480
241.0,0,4,40684750693,271533076480
242.1,0,4,40705722213,271512096768
243.2,0,4,40705722213,271512096768
244.8,0,4,40726693733,271491112960
246.3,0,4,40726693733,271491112960
247.4,0,4,40726693733,271491112960
248.9,0,4,40747665253,271470133248
250.1,0,4,40747665253,271470133248
251.2,0,4,40747665253,271470133248
252.3,0,4,40747665253,271470133248
253.6,0,4,40747665253,271470133248
254.9,0,3,40768636773,271449153536
256.0,0,1,40768636773,271449153536
