rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.952,2.2329,4.162,16,0,0
r2,1,2,legal_contract_qa,0,1964,3.186,1.1533,6.7333,24,16,0
r5,1,5,narrative_qa,0,1935,7.729,2.1901,4.716,16,16,0
r6,1,6,natural_question,0,1940,9.92,1.2072,2.6796,16,16,0
r4,1,4,multidoc_qa,0,1952,7.728,2.1907,5.8641,34,16,0
r1,1,1,financial_qa,0,1963,2.065,1.1459,11.9286,66,16,0
r3,1,3,meeting_summ,0,1938,5.392,2.3352,9.3668,70,16,0
r7,1,7,paper_assistant,0,1934,21.605,1.081,4.4983,114,16,0
r8,1,8,quality,0,1988,35.431,1.1539,1.6064,16,16,0
r9,1,9,review_summ,0,1940,37.199,1.1884,4.4279,108,16,0
r10,1,10,sci_fi,0,1961,43.956,1.1349,1.5836,16,16,0
r11,1,11,scientific_qa,0,1934,50.989,1.0949,2.8113,16,16,0
r12,1,12,topic_retrieval_longchat,0,1945,52.085,1.1203,1.7714,16,16,0
r13,1,13,tpo,0,1994,56.516,1.149,1.6031,16,16,0
r14,1,14,coursera,0,1986,60.596,1.1658,4.1945,16,16,0
r16,1,16,legal_contract_qa,0,1961,62.918,1.1668,2.4293,24,16,0
r15,1,15,financial_qa,0,1969,61.763,1.153,6.5908,79,16,0
r17,1,17,meeting_summ,0,1939,66.298,1.1131,2.9283,50,16,0
r19,1,19,narrative_qa,0,1939,75.149,1.1228,4.2786,16,16,0
r20,1,20,natural_question,0,1939,76.273,2.1685,3.2774,16,16,0
r18,1,18,multidoc_qa,0,1936,74.055,1.0939,5.9101,29,16,0
r22,1,22,quality,0,2032,81.962,1.1947,3.1618,16,16,0
r21,1,21,paper_assistant,0,1934,76.273,2.168,9.1333,114,16,0
r23,1,23,review_summ,0,1942,83.158,1.1511,4.8724,106,16,0
r24,1,24,sci_fi,0,1968,94.732,1.1324,2.8232,16,16,0
r25,1,25,scientific_qa,0,1933,95.866,1.0949,1.9284,22,16,0
r26,1,26,topic_retrieval_longchat,0,1945,101.62,1.1083,1.5534,16,16,0
r27,1,27,tpo,0,1980,107.731,1.1508,2.9053,16,16,0
