t_s,backlog,inflight,kvroot_b,disk_free_b
1.0,0,1,1893,312239988736
2.0,0,1,1893,312239988736
3.0,0,2,22284133,312217571328
4.0,0,3,48498533,312191356928
5.0,0,3,193988453,312043835392
6.0,0,3,397313893,311833292800
7.0,0,3,618825573,311610445824
8.0,0,5,1887438693,310351446016
9.0,0,5,2516584293,309721931776
10.0,0,5,2516584293,309721931776
11.0,0,5,2687797093,309540859904
12.0,0,5,3788638053,308504014848
13.1,0,3,4404021093,307833401344
14.1,0,2,4404021093,307833401344
15.2,0,1,4404021093,307833401344
16.2,0,0,4404021093,307833401344
17.3,0,0,4404021093,307833401344
18.3,0,0,4404021093,307833401344
19.3,0,0,4404021093,307833401344
20.3,0,0,4404021093,307833401344
21.3,0,0,4404021093,307833401344
22.3,0,1,4404021093,307833401344
23.3,0,1,4565239653,307666747392
24.4,0,1,4822796133,307410329600
25.4,0,1,5033166693,307203891200
26.4,0,0,5033166693,307203891200
27.4,0,0,5033166693,307203891200
28.4,0,0,5033166693,307203891200
29.5,0,0,5033166693,307203891200
30.5,0,0,5033166693,307203891200
31.5,0,0,5033166693,307203891200
32.5,0,0,5033166693,307203891200
33.5,0,0,5033166693,307203891200
34.5,0,0,5033166693,307203891200
35.5,0,1,5033166693,307203891200
36.6,0,1,5033166693,307203891200
37.6,0,1,5238458213,306989895680
38.6,0,1,5498144613,306733150208
39.6,0,1,5683283813,306553417728
40.6,0,1,6312429413,305923911680
41.6,0,1,6312429413,305923911680
42.7,0,1,6312429413,305923911680
43.7,0,0,6312429413,305923911680
44.7,0,1,6312429413,305923911680
45.8,0,0,6474303333,305762009088
46.8,0,0,6698764133,305537871872
47.8,0,0,6941575013,305294401536
48.8,0,0,6941575013,305294401536
49.8,0,0,6941575013,305294401536
50.9,0,0,6941575013,305294401536
51.9,0,1,6941575013,305294401536
52.9,0,2,7570720613,304664883200
53.9,0,0,7751927653,304483479552
54.9,0,0,8059291493,304178073600
56.0,0,0,8199866213,304035368960
57.0,0,1,8199866213,304035368960
58.0,0,1,8288831333,303952433152
59.1,0,0,8650426213,303670657024
60.2,0,0,8849983333,303384883200
61.2,0,1,8849983333,303384883200
62.2,0,2,8960411493,303273447424
63.2,0,3,9194211173,303041650688
64.2,0,3,10708092773,301649719296
65.4,0,1,10758391653,301475393536
66.5,0,2,10758391653,301475393536
67.5,0,2,11111139173,301242884096
68.7,0,1,11387537253,300845899776
69.8,0,0,11387537253,300845899776
70.8,0,0,11387537253,300845899776
71.9,0,0,11387537253,300845899776
72.9,0,0,11387537253,300845899776
73.9,0,0,11387537253,300845899776
75.0,0,1,11387537253,300845899776
76.0,0,2,11595286373,300631236608
77.0,0,4,12357142373,299906187264
78.1,0,4,12645828453,299586899968
79.1,0,4,12855871333,299368640512
80.1,0,1,13170116453,299065856000
81.2,0,1,13904119653,298327887872
82.4,0,2,13904119653,298327887872
83.4,0,3,13965559653,298259062784
84.4,0,3,14256047973,297975660544
85.5,0,1,14504920933,297727873024
86.6,0,1,14759036773,297473114112
87.6,0,1,15007745893,297223741440
88.7,0,0,15183382373,297047908352
89.7,0,0,15183382373,297047908352
90.8,0,0,15183382373,297047908352
91.8,0,0,15183382373,297047908352
92.8,0,0,15183382373,297047908352
93.9,0,0,15183382373,297047908352
94.9,0,1,15183382373,297047908352
95.9,0,2,15209105253,297019441152
97.0,0,2,15498119014,296746090496
98.1,0,0,16109242213,296156106752
99.2,0,0,16441673573,295788929024
100.2,0,0,16441673573,295788929024
101.3,0,0,16441673573,295788929024
102.3,0,1,16441673573,295788929024
103.3,0,0,16617637733,295612772352
104.3,0,0,16976283493,295257890816
105.4,0,0,17070819173,295159422976
106.4,0,0,17070819173,295159422976
107.5,0,0,17070819173,295159422976
108.5,0,1,17070819173,295159422976
109.5,0,2,17699964773,294529933312
110.6,0,2,17899849573,294356074496
111.7,0,0,18329110373,293900439552
112.7,0,0,18329110373,293900439552
113.8,0,1,18329110373,293900439552
114.8,0,1,18331567973,293900439552
115.9,0,2,18677270373,293555953664
117.0,0,1,19001182053,293247295488
118.2,0,0,19298551653,292934172672
119.2,0,0,19523503973,292708286464
120.3,0,0,19587401573,292641439744
121.3,0,0,19587401573,292641439744
122.4,0,0,19587401573,292641439744
123.4,0,0,19587401573,292641439744
124.5,0,0,19587401573,292641439744
125.5,0,0,19587401573,292641439744
126.5,0,0,19587401573,292641439744
127.6,0,1,19587401573,292641439744
128.6,0,1,19804161893,292447436800
129.8,0,0,20216547173,292011954176
130.8,0,0,20216547173,292011954176
131.8,0,1,20216547173,292011954176
132.9,0,1,20332218213,291899867136
133.9,0,1,20845692773,291382476800
135.0,0,1,20892551013,291365617664
136.2,0,2,21230552933,291000713216
137.2,0,0,22103983973,290123522048
138.3,0,0,22103983973,290123522048
139.3,0,0,22103983973,290123522048
140.3,0,0,22103983973,290123522048
141.4,0,1,22103983973,290123522048
142.4,0,1,22181644133,290064846848
143.6,0,2,22634497893,289612980224
144.6,0,4,23046883175,289180217344
145.7,0,4,23383246693,288843579392
146.7,0,7,23682090853,288545873920
147.8,0,7,24060397413,288164343808
148.8,0,7,24359241573,287865344000
149.8,0,8,24696915813,287527452672
150.9,0,8,25000511333,287223083008
151.9,0,7,25275762533,286954717184
153.0,0,3,25525946213,286700154880
154.1,0,2,25760892773,286465531904
155.2,0,2,26040895333,286189662208
156.3,0,2,26299762533,285921153024
157.4,0,3,26547816294,285673844736
158.4,0,3,26768508773,285451706368
159.4,0,3,26987235173,285233983488
160.5,0,5,27158120293,285066694656
161.5,0,5,27174668135,285043646464
162.6,0,5,27411908453,284808142848
163.6,0,5,27651770213,284568449024
164.6,0,5,27920303973,284310417408
165.7,0,4,28195882853,284034342912
166.8,0,3,28436399973,283801317376
167.9,0,2,28678719333,283566055424
169.0,0,0,28945123173,283286876160
170.1,0,0,29226764133,283003092992
171.1,0,1,29477111653,282750976000
172.2,0,1,29674702693,282548785152
173.2,0,1,29742040933,282501427200
174.5,0,2,30017128293,282212229120
175.5,0,0,30276978533,281953705984
176.6,0,1,30534207333,281693511680
177.7,0,1,30758504293,281470054400
178.7,0,2,30932993893,281289830400
179.8,0,2,30987388773,281240338432
180.8,0,2,31305074533,280950751232
182.1,0,2,31674861413,280546799616
183.1,0,2,31906858853,280312778752
184.2,0,2,32136890213,280085909504
185.2,0,4,32212256613,280009887744
186.2,0,5,32356927333,279870119936
187.3,0,5,32603670373,279633862656
188.4,0,6,32864339814,279362351104
189.4,0,6,33114851173,279108243456
190.5,0,6,33391413093,278833672192
191.6,0,4,33650935653,278573146112
192.6,0,3,33891616613,278334111744
193.7,0,3,34126563173,278100766720
194.7,0,3,34378221414,277838778368
195.8,0,3,34602026853,277614841856
196.8,0,3,34811905893,277406633984
197.9,0,3,35056027493,277162209280
198.9,0,3,35300640613,276922589184
200.0,0,6,35378956133,276841488384
201.0,0,6,35510519653,276707794944
202.1,0,6,35751528293,276468129792
203.1,0,6,36029073253,276191039488
204.2,0,9,36178986853,276040949760
