t_s,backlog,inflight,kvroot_b,disk_free_b
1.0,0,1,1893,312392585216
2.0,0,1,1893,312392585216
3.0,0,2,21628773,312370823168
4.0,0,3,55052133,312337399808
5.0,0,3,210372453,312171528192
6.0,0,3,449087333,311933431808
7.0,0,3,1336280933,311053930496
8.0,0,5,1941342053,310440984576
9.0,0,5,2234779493,310147706880
10.0,0,4,2600634213,309858680832
11.1,0,5,3774875493,308615507968
12.1,0,5,4404021093,307985981440
13.1,0,3,4404021093,307985981440
14.1,0,1,4404021093,307985981440
15.2,0,0,4404021093,307985981440
16.2,0,0,4404021093,307985981440
17.2,0,0,4404021093,307985981440
18.2,0,0,4404021093,307985981440
19.2,0,0,4404021093,307985981440
20.2,0,0,4404021093,307985981440
21.3,0,0,4404021093,307985977344
22.3,0,1,4404021093,307985973248
23.3,0,1,4552132453,307827675136
24.3,0,1,4810999653,307575357440
25.3,0,1,5033166693,307356463104
26.4,0,0,5033166693,307356463104
27.4,0,0,5033166693,307356463104
28.4,0,0,5033166693,307356463104
29.4,0,0,5033166693,307356463104
30.4,0,0,5033166693,307356463104
31.5,0,0,5033166693,307356463104
32.5,0,0,5033166693,307356463104
33.5,0,0,5033166693,307356463104
34.5,0,0,5033166693,307356463104
35.5,0,1,5033166693,307356463104
36.5,0,1,5033166693,307356463104
37.5,0,1,5255989093,307126902784
38.6,0,1,5504862053,306876547072
39.6,0,1,5683283813,306705989632
40.6,0,1,5757175653,306632073216
41.6,0,1,5989009253,306398928896
42.7,0,1,6312429413,306076483584
43.7,0,0,6312429413,306076483584
44.7,0,1,6312429413,306076483584
45.7,0,0,6479382373,305909174272
46.7,0,0,6941575013,305446973440
47.8,0,0,6941575013,305446965248
48.8,0,0,6941575013,305446965248
49.8,0,0,6941575013,305446879232
50.8,0,0,6941575013,305446879232
51.8,0,1,6941575013,305446879232
52.9,0,2,7120160613,305267761152
53.9,0,0,7346587493,305040965632
54.9,0,0,8199866213,304187834368
55.9,0,0,8199866213,304187834368
56.9,0,1,8199866213,304187834368
58.0,0,1,8279164773,304114724864
59.0,0,0,8849983333,303537344512
60.1,0,0,8849983333,303537348608
61.1,0,1,8849983333,303537348608
62.1,0,2,8959428453,303428206592
63.1,0,3,10114008933,302373031936
64.2,0,3,10517055333,301936361472
65.4,0,2,10758391653,301627858944
66.5,0,2,10758391653,301627858944
67.6,0,2,10827368293,301567877120
68.6,0,1,11160455013,301239533568
69.7,0,0,11387537253,300998361088
