rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.007,4.2407,5.3428,16,0,0
r2,1,2,legal_contract_qa,0,1964,0.008,4.2397,6.9333,24,16,0
r5,1,5,narrative_qa,0,1935,6.943,1.1311,2.2573,16,16,0
r4,1,4,multidoc_qa,0,1952,5.352,1.1424,5.6082,34,16,0
r6,1,6,natural_question,0,1940,9.203,1.154,3.2736,16,16,0
r1,1,1,financial_qa,0,1963,0.008,4.2402,13.0975,66,16,0
r3,1,3,meeting_summ,0,1938,0.009,4.2392,13.4127,70,16,0
r10,2,6,natural_question,1,1936,13.423,0.1431,1.2708,16,1920,0
r11,2,0,coursera,1,1974,14.696,0.19,1.332,16,1920,0
r9,2,3,meeting_summ,1,1937,13.107,0.1635,4.3211,55,1920,0
r13,2,5,narrative_qa,1,1937,17.43,0.165,1.321,16,1920,0
r8,2,1,financial_qa,1,1966,12.478,0.1695,6.5117,82,1936,0
r12,2,2,legal_contract_qa,1,1976,16.03,0.1683,3.672,45,1936,0
r14,2,7,paper_assistant,1,2032,18.753,0.2369,1.3185,16,1920,0
r7,1,7,paper_assistant,0,1934,10.962,1.1415,9.6081,114,16,0
r15,2,4,multidoc_qa,1,1953,18.992,0.1688,2.2952,49,1920,0
