rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.008,2.2899,2.9952,16,0,0
r2,1,2,legal_contract_qa,0,1964,3.003,1.1365,2.202,24,16,0
r1,1,1,financial_qa,0,1963,0.008,2.2894,7.327,66,16,0
r4,1,4,multidoc_qa,0,1952,7.337,1.1465,2.6682,34,16,0
r3,1,3,meeting_summ,0,1938,5.207,1.1478,6.3372,70,16,0
r5,1,5,narrative_qa,0,1935,10.007,1.12,2.8279,16,16,0
r6,1,6,natural_question,0,1940,11.546,1.1468,2.8259,16,16,0
r8,1,8,quality,0,1988,14.374,1.1898,1.884,16,16,0
r7,1,7,paper_assistant,0,1934,12.837,1.1265,8.4418,114,16,0
r10,1,10,sci_fi,0,1961,21.281,1.1632,1.868,16,16,0
r9,1,9,review_summ,0,1940,16.26,1.147,8.155,108,16,0
r11,1,11,scientific_qa,0,1934,23.15,1.125,2.8188,16,16,0
r12,1,12,topic_retrieval_longchat,0,1945,24.417,1.1454,2.8903,16,16,0
r13,1,13,tpo,0,1994,25.97,1.1979,1.7005,16,16,0
r14,1,14,coursera,0,1986,27.309,2.0343,3.8038,16,16,0
r16,1,16,legal_contract_qa,0,1961,31.114,1.1672,2.2398,24,16,0
r15,1,15,financial_qa,0,1969,27.672,2.7888,8.2401,79,16,0
r17,1,17,meeting_summ,0,1939,33.356,1.6109,4.8956,50,16,0
r18,1,18,multidoc_qa,0,1936,35.913,1.1393,2.3986,29,16,0
r19,1,19,narrative_qa,0,1939,38.252,4.9232,6.6538,16,16,0
r20,1,20,natural_question,0,1939,38.314,5.9539,6.6221,16,16,0
r22,1,22,quality,0,2032,44.938,2.2278,2.9365,16,16,0
r21,1,21,paper_assistant,0,1934,44.908,1.0917,5.9113,114,16,0
r24,1,24,sci_fi,0,1968,50.821,6.4213,7.1128,16,16,0
r25,1,25,scientific_qa,0,1933,57.936,1.1259,2.0959,22,16,0
r26,1,26,topic_retrieval_longchat,0,1945,60.033,1.5605,2.2608,16,32,0
r27,1,27,tpo,0,1980,62.296,1.1828,1.8899,16,16,0
r23,1,23,review_summ,0,1942,47.876,8.2609,18.0635,106,16,0
r28,1,28,coursera,0,1980,64.187,1.1844,2.9362,16,16,0
r30,1,30,legal_contract_qa,0,1961,67.126,1.1648,1.8578,16,16,0
r29,1,29,financial_qa,0,1974,65.941,1.1831,5.3866,48,16,0
r31,1,31,meeting_summ,0,1933,68.984,1.1284,4.4119,54,16,0
r32,1,32,multidoc_qa,0,1938,71.329,1.5144,3.2206,16,16,0
r33,1,33,narrative_qa,0,1942,73.397,1.1523,2.851,16,16,0
r34,1,34,natural_question,0,1940,74.551,1.1513,1.7869,16,16,0
r36,1,36,quality,0,2001,76.34,3.0294,3.729,16,16,0
r35,1,35,paper_assistant,0,1934,76.249,1.97,9.3754,114,16,0
r37,1,37,review_summ,0,1943,80.071,1.152,5.8622,105,16,0
r38,1,38,sci_fi,0,1954,85.626,3.5254,5.2305,16,16,0
r39,1,39,scientific_qa,0,1931,85.935,4.2831,5.5195,35,16,0
r41,1,41,tpo,0,1980,91.455,3.4747,5.1351,16,16,0
r40,1,40,topic_retrieval_longchat,0,1945,90.858,5.3625,5.9421,16,32,0
r42,1,42,coursera,0,1964,96.592,3.7734,5.5396,16,16,0
r43,1,43,financial_qa,0,1970,96.802,4.6843,6.0286,38,16,0
r44,1,44,legal_contract_qa,0,1964,102.133,3.9564,7.895,63,16,0
r45,1,45,meeting_summ,0,1942,102.832,4.3508,8.6028,71,16,0
r46,1,46,multidoc_qa,0,1935,110.029,1.128,1.674,16,16,0
r47,1,47,narrative_qa,0,1932,111.436,4.3594,6.0875,16,16,0
r48,1,48,natural_question,0,1941,111.705,5.1817,5.8487,16,16,0
r50,1,50,quality,0,2032,117.555,2.2268,2.9399,16,16,0
r49,1,49,paper_assistant,0,1934,117.525,1.0926,8.5211,114,16,0
r51,1,51,review_summ,0,1942,120.497,1.1477,7.0974,106,16,0
r52,1,52,sci_fi,0,1956,126.047,1.1694,1.7565,16,16,0
r53,1,53,scientific_qa,0,1935,127.596,4.3748,6.0428,16,16,0
r54,1,54,topic_retrieval_longchat,0,1945,127.805,5.3339,5.9547,16,32,0
r55,1,55,tpo,0,2009,133.64,4.8755,5.582,16,16,0
r56,1,56,coursera,0,2011,133.761,4.7542,5.4607,16,16,0
r58,1,58,legal_contract_qa,0,1961,139.225,4.9066,5.7842,20,16,0
r57,1,57,financial_qa,0,1971,139.224,4.9082,9.4836,77,16,0
r59,1,59,meeting_summ,0,1942,145.011,1.1534,4.8271,92,16,0
r61,1,61,narrative_qa,0,1937,149.84,4.4778,5.1607,16,16,0
r60,1,60,multidoc_qa,0,1935,148.709,4.5177,6.6802,30,16,0
r62,1,62,natural_question,0,1934,155.003,3.9816,4.4348,16,16,0
r63,1,63,paper_assistant,0,1934,155.39,8.397,11.8304,114,16,0
r64,2,14,coursera,1,1984,159.44,9.0191,9.4715,16,1920,0
r65,2,8,quality,1,1952,167.222,4.4642,4.9207,16,1920,0
r66,2,3,meeting_summ,1,1937,168.913,6.3254,7.9563,55,1920,0
r67,2,48,natural_question,1,1941,172.144,8.4319,8.8811,16,1920,0
r68,2,18,multidoc_qa,1,1952,176.871,7.1056,8.0679,33,1920,0
r69,2,26,topic_retrieval_longchat,1,1945,181.027,5.3746,5.8212,16,1920,0
r71,2,63,paper_assistant,1,2032,186.85,0.1527,0.6121,16,1920,0
r72,2,56,coursera,1,2007,187.463,0.175,0.6304,16,1920,0
r70,2,41,tpo,1,1987,184.941,4.3806,4.8337,16,1920,0
r73,2,17,meeting_summ,1,1934,188.095,3.7558,4.9033,39,1920,0
r74,2,0,coursera,1,1974,189.777,6.3832,6.8408,16,1920,0
r75,2,16,legal_contract_qa,1,1981,193.0,6.7806,8.7988,67,1936,0
r76,2,55,tpo,1,1989,196.619,5.3625,5.8146,16,1920,0
r78,2,11,scientific_qa,2,1944,202.436,3.7558,4.4444,16,1920,0
r77,2,51,review_summ,1,1948,201.8,3.8005,6.8607,78,1920,0
r80,2,27,tpo,1,1990,208.663,0.7754,1.4722,16,1920,0
r79,2,31,meeting_summ,1,1932,206.882,0.7536,4.2783,83,1920,0
