t_s,backlog,inflight,kvroot_b,disk_free_b
1.0,0,4,1893,317661155328
2.0,0,4,1893,317661155328
3.0,0,4,1893,317661155328
4.0,0,4,1893,317661155328
5.0,4,4,1893,317661155328
6.0,3,4,101582693,317548892160
7.0,3,4,299501413,317354246144
8.0,3,4,526255973,317126008832
9.0,4,4,629147493,317031636992
10.0,4,4,629147493,317031636992
11.0,3,4,836896613,316814352384
12.0,3,4,1046775653,316604637184
13.0,4,4,1258293093,316402122752
14.0,4,4,1258293093,316402122752
15.0,3,4,1319241573,316330991616
16.0,3,4,1532397413,316117835776
17.0,4,4,1887438693,315772616704
18.1,4,4,1887438693,315772616704
19.1,3,4,2056849253,315593510912
20.1,3,4,2264598373,315386273792
21.1,3,4,2516584293,315143106560
22.1,4,4,2516584293,315143106560
23.1,3,4,2627667813,315023634432
24.1,3,4,2924545893,314725928960
25.1,4,4,3145729893,314513592320
26.1,4,4,3145729893,314513592320
27.2,3,4,3285321573,314364465152
28.2,3,4,3485206373,314165780480
29.2,3,4,3698853733,313950765056
30.2,4,4,3774875493,313884082176
31.2,3,4,3872032613,313778372608
32.2,3,4,4094199656,313556836352
33.2,3,4,4310959973,313340256256
34.2,4,4,4404021093,313254567936
35.3,3,4,4476110693,313174269952
36.3,3,4,4691724133,312957992960
37.3,3,4,4898817893,312750727168
38.3,4,4,5054138213,312604090368
39.3,4,4,5054138213,312604090368
40.4,3,4,5207656293,312450379776
41.4,3,4,5475370853,312182820864
42.4,4,4,5683283813,311974580224
43.4,3,4,5687052138,311971667968
44.4,3,4,5929699173,311727153152
45.4,3,4,6172510053,311486791680
46.5,4,4,6312429413,311345070080
47.5,4,4,6312429413,311345070080
48.5,3,4,6487738213,311169728512
49.5,3,4,6715639653,310942965760
50.6,4,4,6941575013,310715555840
51.6,3,4,6982371173,310675550208
52.6,3,4,7243695973,310412255232
53.6,3,4,7508789093,310148775936
54.6,4,4,7591692133,310065053696
55.7,4,4,7591692133,310065053696
56.7,3,4,7747831653,309908557824
57.7,3,4,8021608293,309635588096
58.7,4,4,8241809253,309414559744
59.8,4,4,8241809253,309414559744
60.8,4,4,8241809253,309414559744
61.8,3,4,8384186213,309275267072
62.9,4,4,8870954853,308785057792
63.9,4,4,8870954853,308785057792
64.9,4,4,8870954853,308785057792
66.0,3,4,9062483813,308586299392
67.0,3,4,9323808613,308326612992
68.0,4,4,9500100453,308155564032
69.0,3,4,9536800613,308119494656
70.1,3,4,9776334693,307878649856
71.1,3,4,10011281253,307644841984
72.1,4,4,10129246053,307526057984
73.1,4,4,10129246053,307526057984
74.2,3,4,10257205093,307399065600
75.2,3,4,10480027493,307176939520
76.2,4,4,10758391653,306896560128
77.3,3,4,11387537253,306267062272
78.4,4,4,11387537253,306267062272
79.4,3,4,11624449893,306025693184
80.4,3,4,12016682853,305637560320
81.5,3,4,12611585893,305062141952
82.5,4,4,12645828453,305008070656
83.6,3,4,12764448613,304883380224
84.6,4,4,13274974053,304378564608
85.6,4,4,13274974053,304378564608
86.7,3,4,13534168933,304112955392
87.7,3,4,13775013733,303872757760
88.8,4,4,13925091173,303728087040
89.8,4,4,13925091173,303728087040
90.8,3,4,14131529573,303516717056
91.9,3,4,14374340453,303275712512
92.9,4,4,14554236773,303098597376
93.9,4,4,14554236773,303098597376
95.0,3,4,14645659493,303001124864
96.0,3,4,14899611493,302749495296
97.1,4,4,15183382373,302469107712
98.1,4,4,15183382373,302469107712
99.2,3,4,15412103013,302243962880
100.2,3,4,15636727653,302018842624
101.3,4,4,15812527973,301839601664
102.3,4,4,15812527973,301839601664
103.4,3,4,15921645413,301733736448
104.4,3,4,16183134053,301472264192
105.5,3,4,16431351653,301224525824
106.5,4,4,16441673573,301210107904
107.5,3,4,16593225573,301061152768
108.6,3,4,16815064933,300839645184
109.6,3,4,17048536933,300604862464
110.7,4,4,17070819173,300580614144
111.7,4,4,17070819173,300580614144
112.7,3,4,17213523813,300440342528
113.8,3,4,17412261734,300240408576
114.8,3,4,17623615333,300029767680
115.9,4,4,17699964773,299951124480
116.9,4,4,17699964773,299951124480
118.0,4,4,17699964773,299951124480
119.1,3,4,17940318053,299715002368
120.1,3,4,18153637733,299498397696
121.1,4,4,18329110373,299321614336
122.2,3,4,18348443493,299304263680
123.2,3,4,18573395813,299079270400
124.2,3,4,18786387813,298867089408
125.3,4,4,18958255973,298692108288
126.3,4,4,18958255973,298692108288
127.4,3,4,19171411813,298473029632
128.4,3,4,19386697573,298260688896
129.4,4,4,19587401573,298062602240
130.5,4,4,19587401573,298062602240
131.6,3,4,19647530853,298004254720
132.6,3,4,19850200933,297801584640
133.7,3,4,20061718373,297592377344
134.7,4,4,20216547173,297433124864
135.8,3,4,20261439333,297382207488
136.8,3,4,20481476453,297162104832
137.8,3,4,20695123813,296950919168
138.9,4,4,20845692773,296803627008
139.9,3,4,20848314214,296803627008
141.0,3,4,21068679013,296575885312
142.0,3,4,21271021413,296374382592
143.0,3,4,21474838373,296174653440
144.2,4,4,21474838373,296174161920
145.3,3,4,21656536933,295994908672
146.3,3,4,21868218213,295783731200
147.4,3,4,22088910693,295565328384
148.4,4,4,22103983973,295544684544
149.5,3,4,22167881573,295480651776
150.6,3,4,22385461093,295258771456
151.6,3,4,22601566053,295043158016
152.6,4,4,22754101093,294894227456
153.7,4,4,22754101093,294894227456
154.8,3,4,22935144293,294711697408
155.9,3,4,23157802853,294485442560
156.9,4,4,23383246693,294264750080
157.9,4,4,23383246693,294264750080
159.0,4,4,23383246693,294264750080
160.1,3,4,23735011173,293910556672
161.1,3,4,23957178213,293695729664
162.2,4,4,24012392293,293635272704
163.2,4,4,24012392293,293635272704
164.3,3,4,24247175013,293401944064
165.3,3,4,24479991653,293175525376
166.4,4,4,24641537893,293005787136
167.4,4,4,24641537893,293005787136
168.5,3,4,24846993253,292802113536
169.5,3,4,25124210533,292535382016
170.6,4,4,25270683493,292376293376
171.6,4,4,25270683493,292376293376
172.8,3,4,25458607973,292191145984
173.8,4,4,25899829093,291746816000
174.9,4,4,25899829093,291746816000
176.0,4,4,25899829093,291746816000
177.1,3,4,25952094053,291688534016
178.2,3,4,26193921893,291447795712
179.2,3,4,26399377253,291240214528
180.2,4,4,26528974693,291117334528
181.3,4,4,26528974693,291117334528
182.4,3,4,26662995813,290977251328
183.4,3,4,26869106533,290773655552
184.4,3,4,27115358053,290529476608
185.5,4,4,27158120293,290487861248
186.5,3,4,27329333093,290314498048
187.6,3,4,27633256293,290011238400
188.6,4,4,27787265893,289858375680
189.7,4,4,27787265893,289858375680
190.8,3,4,27912603493,289735970816
191.8,3,4,28207351653,289444995072
192.9,4,4,28416411493,289228890112
193.9,3,4,28479981413,289159098368
194.9,3,4,28804548453,288870969344
196.0,4,4,29045557093,288599429120
197.0,3,4,29166307173,288484405248
198.1,3,4,29571811173,288101855232
199.1,4,4,29674702693,287969964032
200.2,3,4,29719431013,287921840128
201.2,3,4,29935699813,287705997312
202.3,3,4,30270261093,287387983872
203.3,4,4,30303848293,287340470272
204.4,3,4,30391502693,287258046464
205.4,3,4,30629234533,287019167744
206.5,3,4,30897768293,286753914880
207.5,4,4,30953965413,286690017280
208.6,4,4,30953965413,286690017280
209.7,3,4,31069472613,286577946624
210.7,3,4,31257560933,286389035008
211.8,3,4,31445321573,286202265600
212.8,4,4,31583111013,286060544000
213.9,3,4,31672239973,285978292224
214.9,3,4,31918491493,285731700736
216.0,3,4,32161466213,285488087040
217.0,4,4,32212256613,285431070720
218.1,4,4,32212256613,285431070720
219.2,3,4,32400181093,285241163776
220.3,3,4,32751617893,284915785728
221.3,4,4,32841402213,284801585152
222.4,3,4,33005406053,284641173504
223.4,3,4,33240188773,284407869440
224.5,3,4,33467926373,284178329600
225.6,4,4,33470547813,284172103680
226.7,4,4,33470547813,284172103680
227.8,3,4,33732200293,283905675264
228.8,3,4,33946011493,283694804992
229.9,4,4,34120664933,283521626112
230.9,4,4,34124597093,283521626112
232.0,3,4,34336769893,283311886336
233.1,3,4,34538948453,283106111488
234.1,3,4,34747516773,282900492288
235.2,4,4,34770782053,282871164928
236.3,4,4,34770782053,282871164928
237.3,3,4,34845001573,282794160128
238.3,3,4,35048654693,282590339072
239.4,3,4,35246901093,282393575424
240.4,4,4,35399927653,282241695744
241.5,4,4,35399927653,282241695744
242.6,4,4,35399927653,282241695744
243.7,3,4,35584247653,282053922816
244.8,3,4,35788883813,281852895232
245.8,3,4,35996796773,281649074176
246.9,4,4,36029073253,281612210176
247.9,3,4,36149659493,281495871488
249.0,3,4,36362323813,281284022272
250.1,3,4,36600055653,281047117824
251.1,4,4,36658218853,280982728704
252.2,4,4,36658218853,280982728704
253.3,3,4,36788799333,280850509824
254.3,3,4,37035050853,280604917760
255.4,4,4,37287364453,280353255424
256.4,4,4,37287364453,280353255424
257.6,3,4,37480859493,280163848192
258.6,3,4,37663049573,279980851200
259.7,3,4,37855889253,279788326912
260.7,4,4,37916510053,279723773952
261.8,3,4,38020220773,279615963136
262.8,3,4,38251562855,279385014272
263.9,3,4,38465865573,279169998848
