t_s,backlog,inflight,kvroot_b,disk_free_b
1.0,0,1,1893,317662470144
2.0,0,1,1893,317662470144
3.0,1,2,1893,317662470144
4.0,3,3,1893,317662470144
5.0,3,3,1893,317662470144
6.0,2,3,137627493,317514813440
7.0,2,3,349308773,317303672832
8.0,3,5,629147493,317032951808
9.0,5,5,629147493,317032951808
10.0,5,5,629147493,317032951808
11.0,4,5,629147493,317032951808
12.0,4,5,839026533,316813209600
13.0,5,5,1258293093,316403437568
14.0,5,5,1258293093,316403437568
15.0,5,3,1258293093,316403437568
16.0,5,2,1258293093,316403437568
17.0,5,1,1258293093,316403437568
18.1,0,0,1466861413,316184350720
19.1,0,0,1689847653,315962011648
20.1,0,0,4089612133,313578455040
21.1,0,0,4404021093,313255882752
22.1,1,1,4404021093,313255882752
23.1,1,1,4404021093,313255882752
24.2,1,1,4404021093,313255882752
25.2,1,1,4404021093,313255882752
26.2,0,0,4436297573,313214468096
27.2,0,0,4665673573,312985681920
28.2,0,0,5033166693,312626372608
29.3,0,0,5033166693,312626372608
30.3,0,0,5033166693,312626372608
31.3,0,0,5033166693,312626372608
32.3,0,0,5033166693,312626372608
33.3,0,0,5033166693,312626372608
34.3,0,0,5033166693,312626372608
35.3,0,0,5033166693,312626372608
36.3,1,1,5033166693,312626372608
37.4,0,0,5102634853,312547381248
38.4,0,0,5311203173,312340942848
39.4,1,1,5683283813,311975899136
40.4,1,1,5683283813,311975899136
41.5,1,1,5683283813,311975899136
42.5,1,1,5683283813,311975899136
43.6,0,0,5693769573,311964295168
44.6,0,0,5952636773,311706521600
45.6,0,0,6191843173,311466323968
46.6,1,1,6312429413,311346388992
47.6,0,0,6353225573,311305076736
48.7,0,0,6552455013,311105187840
49.7,0,0,6760859493,310898413568
50.7,0,0,6941575013,310716878848
51.7,1,1,6941575013,310716878848
52.7,2,2,6941575013,310716878848
53.8,2,2,6941575013,310716878848
54.8,0,0,8078788453,309627908096
55.8,0,0,8199866213,309457842176
56.8,1,1,8199866213,309457842176
57.8,1,1,8199866213,309457842176
58.9,0,0,8399751013,309262512128
59.9,0,0,8849983333,308807356416
61.0,1,1,8849983333,308807356416
62.0,2,2,8849983333,308807356416
63.0,3,3,8849983333,308807356416
64.0,3,3,8849983333,308807356416
65.0,3,2,8849983333,308807356416
66.1,3,1,8849983333,308807356416
67.2,2,2,10129246053,307527364608
68.2,2,2,10129246053,307527364608
69.3,2,1,10129246053,307527364608
70.4,0,0,10250651493,307407745024
71.4,0,0,11387537253,306268372992
72.5,0,0,11387537253,306268372992
73.5,0,0,11387537253,306268372992
74.5,1,1,11387537253,306268372992
75.5,2,2,11387537253,306268372992
76.5,4,4,11387537253,306268372992
77.6,4,4,11387537253,306268372992
78.6,4,4,11387537253,306268372992
79.6,4,2,11387537253,306268372992
80.7,4,1,11387537253,306268372992
81.8,4,1,11387537253,306268372992
82.9,1,2,11850876773,305844490240
83.9,2,3,13274974053,304379867136
85.0,3,3,13274974053,304379867136
86.0,3,3,13274974053,304379867136
87.1,3,1,13274974053,304379867136
88.2,3,1,13274974053,304379867136
89.2,3,1,13274974053,304379867136
90.3,0,0,14116783974,303574884352
91.4,0,0,14740195173,302910169088
92.4,0,0,15014299493,302636408832
93.5,0,0,15183382373,302470377472
94.5,0,0,15183382373,302470377472
95.5,1,1,15183382373,302470377472
96.5,2,2,15183382373,302470377472
97.6,2,1,15183382373,302470377472
98.7,0,0,15363114853,302282760192
99.7,0,0,15578400613,302070906880
100.7,0,0,15794669414,301851660288
101.8,0,0,16000616293,301646077952
102.8,0,0,16208529253,301444550656
103.9,0,0,16414639973,301234663424
104.9,1,1,16441673573,301211398144
105.9,0,0,16528017253,301118808064
107.0,0,0,16727410533,300920225792
108.0,0,0,16978741093,300670693376
109.0,1,1,17070819173,300581892096
110.1,2,2,17070819173,300581892096
111.1,2,2,17070819173,300581892096
112.2,0,0,17242359653,300410167296
113.2,0,0,17427662693,300226191360
114.3,0,0,17623123813,300030042112
115.3,0,0,17824810853,299829972992
116.4,0,0,18042718053,299610902528
117.4,0,0,18238015333,299415478272
118.4,2,2,18329110373,299322908672
119.5,2,2,18329110373,299322908672
120.5,2,2,18329110373,299322908672
121.6,2,1,18329110373,299322908672
122.7,0,0,18521458533,299132006400
123.8,0,0,18723637093,298929303552
124.8,0,0,18940561253,298712858624
125.9,0,0,19140282213,298513453056
126.9,0,0,19339511653,298313695232
127.9,0,0,19524814693,298130591744
129.0,1,1,19587401573,298063908864
130.0,1,1,19587401573,298063908864
131.2,0,0,19653756773,297999339520
132.2,0,0,19893454693,297760788480
133.3,0,0,20136429413,297519292416
134.3,1,1,20216547173,297434423296
135.3,2,2,20216547173,297434423296
136.4,3,3,20216547173,297434423296
137.4,3,3,20216547173,297434423296
138.5,0,0,20381697893,297274003456
139.6,0,0,20672513893,296992034816
140.6,0,0,21554464613,296101163008
141.7,0,0,21835941733,295818383360
142.7,0,0,22062532453,295590891520
143.7,3,3,22103983973,295545999360
144.8,3,3,22103983973,295545999360
145.8,3,3,22103983973,295545999360
146.8,7,7,22103983973,295545999360
147.9,7,7,22103983973,295545999360
148.9,7,7,22103983973,295545995264
150.0,7,7,22103983973,295545995264
151.0,8,8,22103983973,295545995264
152.0,8,8,22103983973,295545995264
153.1,8,8,22103983973,295545995264
154.1,8,3,22103983973,295545995264
155.2,8,2,22103983973,295545995264
156.3,2,3,22104967013,295545995264
157.4,2,3,22333523813,295312347136
158.4,2,3,22901229414,294816940032
159.5,2,3,24249304933,293415899136
160.5,2,3,24551262053,293098008576
161.6,2,3,24795711335,292850159616
162.6,2,3,25042945893,292601327616
163.7,2,3,25284937573,292357861376
164.7,2,3,25530533733,292113432576
165.7,2,3,25801197413,291845447680
166.8,3,6,25899829093,291748126720
167.8,6,6,25899829093,291748126720
168.9,6,6,25899829093,291748126720
169.9,6,6,25899829093,291748126720
170.9,7,7,25899829093,291748126720
172.0,7,7,25899829093,291748126720
173.0,7,7,25899829093,291748126720
174.1,6,7,26010912613,291638992896
175.1,6,7,26212599653,291438452736
176.2,6,7,26406913893,291242827776
177.2,7,8,26528974693,291118637056
178.3,8,7,26528974693,291118637056
179.3,7,8,26545031013,291105746944
180.3,7,8,26799146853,290854027264
181.4,7,8,27158120293,290489176064
182.5,8,8,27158120293,290489176064
183.5,8,10,27158120293,290489176064
184.6,7,10,27184826213,290465067008
185.7,7,10,27583285093,290103635968
186.7,8,12,27787265893,289859678208
187.8,5,9,27793983333,289859678208
188.8,5,9,28030732133,289612775424
189.9,5,9,28273706853,289370316800
190.9,5,9,28553873253,289089167360
192.0,5,9,28796520293,288843067392
193.0,5,9,28981331813,288659730432
194.1,5,9,29181380453,288465084416
195.1,5,9,29381101413,288263118848
196.2,5,9,29566732133,288082006016
197.2,8,12,29695674213,287950274560
198.3,8,12,29695674213,287950274560
199.3,8,12,29695674213,287950274560
200.4,8,13,29695674213,287950274560
201.4,7,13,29729589093,287919943680
202.5,7,13,29951756133,287696789504
203.5,7,13,30188177253,287467593728
204.6,8,15,30324819813,287320793088
205.6,8,15,30324819813,287320793088
206.7,5,13,30419519333,287220682752
207.7,5,13,30605313893,287034720256
208.8,5,13,30810605413,286831882240
209.8,5,13,31210702693,286442586112
210.9,5,13,31443519333,286206181376
212.0,5,13,31661918053,285987459072
213.0,5,13,31882610533,285765890048
214.0,5,13,32099043173,285547859968
215.1,8,16,32212256613,285432352768
216.1,8,16,32212256613,285432352768
217.2,8,16,32212256613,285432352768
218.2,8,16,32212256613,285432352768
219.3,6,14,32245843813,285402198016
220.3,6,14,32438683493,285209358336
221.4,6,14,32636274533,285011922944
222.4,6,14,32836650853,284815314944
223.5,6,14,33043908453,284602138624
224.5,6,14,33262471013,284386869248
225.6,6,14,33465468773,284186652672
226.7,9,15,33491519333,284152410112
227.7,9,15,33491519333,284152410112
228.8,9,15,33491519333,284152410112
229.8,7,16,33653720933,283988062208
230.9,7,16,33899480933,283741650944
