t_s,backlog,inflight,kvroot_b,disk_free_b
1.0,0,1,1893,317663105024
2.0,0,1,83232613,317569191936
3.0,0,1,328337254,317327974400
4.0,1,1,629147493,317033586688
5.0,1,1,629147493,317033586688
6.0,1,1,629147493,317033586688
7.0,1,1,1258293093,316404072448
8.0,1,1,1258293093,316404072448
9.0,0,1,1418856293,316233973760
10.0,0,1,1617430373,316035944448
11.1,1,1,1887438693,315774562304
12.1,1,1,1887438693,315774562304
13.1,1,1,1887438693,315774562304
14.1,0,1,1966245733,315685240832
15.1,0,1,2177107813,315476668416
16.1,1,1,2516584293,315145048064
17.1,1,1,2516584293,315145048064
18.1,0,1,2645690213,315006410752
19.1,0,1,2863925093,314790027264
20.2,1,1,3145729893,314515537920
21.2,1,1,3145729893,314515537920
22.2,0,1,3327428453,314324639744
23.2,0,1,3543697253,314108858368
24.2,1,1,3774875493,313886031872
25.2,1,1,3774875493,313886031872
26.3,0,1,3917907813,313734447104
27.3,0,1,4132702053,313520521216
28.3,1,1,4404021093,313256517632
29.3,1,1,4404021093,313256517632
30.4,1,1,4404021093,313256517632
31.4,1,1,4404021093,313256517632
32.4,1,1,4404021093,313256517632
33.5,1,1,5033166693,312627007488
34.5,1,1,5033166693,312627007488
35.5,0,1,5197825893,312453152768
36.5,0,1,5421467493,312230989824
37.5,1,1,5683283813,311976534016
38.5,1,1,5683283813,311976534016
39.6,1,1,5683283813,311976534016
40.6,1,1,5683283813,311976534016
41.7,0,1,6114838373,311569522688
42.7,1,1,6312429413,311347027968
43.7,0,1,6406309733,311252135936
44.7,0,1,6622906213,311036514304
45.7,0,1,6929450853,310766178304
46.8,1,1,6941575013,310717517824
47.8,0,1,7070025573,310588710912
48.8,0,1,7355762533,310304104448
49.9,1,1,7570720613,310087999488
50.9,1,1,7570720613,310087999488
51.9,0,1,7796983653,309861703680
53.0,0,1,8031438693,309627568128
54.0,1,1,8199866213,309458485248
55.0,1,1,8199866213,309458485248
56.1,0,1,8387954533,309269708800
57.1,0,1,8627160933,309034917888
58.1,1,1,8849983333,308807999488
59.1,0,1,8930264933,308727529472
60.2,0,1,9183889253,308473696256
61.2,0,1,9462744933,308196499456
62.2,1,1,9500100453,308157505536
63.3,1,1,9500100453,308157505536
64.3,1,1,9500100453,308157505536
65.4,0,1,10116630373,307603210240
66.5,1,1,10129246053,307528007680
67.5,0,1,10219358053,307439177728
68.6,0,1,10487072613,307172470784
69.6,1,1,10758391653,306898505728
70.6,1,1,10758391653,306898505728
71.7,1,1,10758391653,306898505728
72.8,0,1,11004970853,306662064128
73.8,1,1,11387537253,306269011968
74.9,1,1,11387537253,306269011968
76.0,0,1,11678025573,305971937280
77.0,1,1,12016682853,305639510016
78.0,1,1,12017993573,305639510016
79.1,0,1,12350752613,305301213184
80.1,1,1,12645828453,305010012160
81.1,0,1,12665980773,304983834624
82.2,0,1,12940085093,304709668864
83.2,1,1,13274974053,304380506112
84.2,1,1,13274974053,304380506112
85.3,1,1,13274974053,304380506112
86.5,1,1,13274974053,304380506112
87.5,0,1,13371639653,304278081536
88.6,0,1,13620348773,304030240768
89.6,1,1,13904119653,303751000064
90.6,1,1,13904119653,303751000064
91.7,0,1,14034044773,303612530688
92.7,0,1,14294878053,303356788736
93.7,1,1,14554236773,303100522496
94.8,1,1,14554236773,303100522496
95.8,1,1,14554236773,303100522496
96.9,1,1,14554236773,303100522496
98.0,0,1,14616659813,303033364480
99.1,0,1,14846691174,302800662528
100.1,0,1,15109326693,302543761408
101.1,1,1,15183382373,302471016448
102.2,0,1,15292827493,302356635648
103.2,0,1,15577909093,302077468672
104.3,1,1,15812527973,301841522688
105.3,1,1,15812527973,301841522688
106.4,0,1,16046655333,301601812480
107.4,0,1,16293562213,301357363200
108.5,1,1,16441673573,301212037120
109.5,0,1,16986113893,300734906368
110.6,1,1,17070819173,300582531072
111.6,0,1,17186981733,300468154368
112.6,0,1,17460594533,300196179968
113.7,0,1,17699964773,299953041408
114.8,1,1,17699964773,299953041408
116.0,0,1,17904109413,299753951232
117.0,0,1,18173134693,299482636288
118.0,1,1,18329110373,299323547648
119.1,1,1,18329110373,299323547648
120.2,0,1,18445109093,299212275712
121.3,0,1,18764597093,298905391104
122.3,1,1,18958255973,298694037504
123.4,1,1,18958255973,298694037504
124.5,0,1,19141429093,298513133568
125.6,0,1,19339839333,298315059200
126.6,0,1,19544639333,298110586880
127.7,1,1,19587401573,298064547840
128.7,1,1,19587401573,298064547840
129.8,0,1,19677022053,297978515456
130.9,0,1,20088751973,297588580352
132.0,1,1,20216547173,297435062272
133.0,0,1,20318947173,297339686912
134.0,0,1,20578305893,297079382016
135.1,1,1,20845692773,296805584896
136.1,1,1,20845692773,296805584896
137.3,0,1,21063763813,296589438976
138.3,0,1,21306738533,296348610560
139.4,1,1,21474838373,296176087040
140.4,1,1,21474838373,296176087040
141.6,0,1,21719779173,295936385024
142.6,0,1,21938997093,295715389440
143.6,1,1,22103983973,295546634240
144.7,1,1,22103983973,295546634240
145.9,1,1,22103983973,295546634240
147.1,1,1,22103983973,295546634240
148.2,0,1,22172469093,295479275520
149.3,0,1,22363998053,295288889344
150.3,0,1,22562899813,295090810880
151.4,1,1,22733129573,294917140480
152.4,1,1,22733129573,294917140480
153.6,0,1,22958409573,294686769152
154.7,0,1,23249389413,294397931520
155.7,1,1,23383246693,294266687488
156.7,1,1,23383246693,294266687488
158.0,1,1,23383246693,294266687488
159.1,1,1,23383902054,294266687488
160.2,0,1,23631791973,294014369792
161.3,0,1,23882794853,293763526656
162.3,1,1,24012392293,293637206016
163.4,0,1,24079894373,293565612032
164.4,0,1,24326309735,293321113600
165.4,0,1,24641537893,293007732736
166.5,1,1,24641537893,293007732736
167.8,0,1,24714119013,292929724416
168.8,0,1,24957257573,292688535552
169.9,0,1,25178113893,292468195328
170.9,1,1,25270683493,292378247168
172.0,0,1,25288542053,292357828608
173.0,0,1,25513822053,292136251392
174.0,0,1,25715181413,291930312704
175.1,1,1,25899829093,291748773888
176.1,1,1,25899829093,291748773888
177.4,0,1,26073827173,291569676288
178.4,0,1,26322044773,291322933248
179.5,1,1,26528974693,291119280128
180.5,1,1,26528974693,291119280128
181.8,0,1,26717063013,290925613056
182.8,0,1,26949388133,290697883648
183.8,1,1,27158120293,290489802752
184.9,1,1,27158120293,290489802752
186.2,0,1,27218577253,290425282560
187.2,0,1,27424196453,290217652224
188.3,0,1,27787265893,289863761920
189.4,1,1,27787265893,289860321280
190.7,1,1,27787265893,289860321280
191.8,0,1,28071692133,289586044928
192.9,1,1,28416411493,289230856192
193.9,1,1,28416411493,289230856192
195.2,1,1,28416411493,289230856192
196.3,0,1,28553709413,289090764800
197.4,0,1,28824045413,288828461056
198.4,1,1,29045557093,288601378816
199.5,1,1,29045557093,288601378816
200.7,0,1,29251831653,288400003072
201.7,0,1,29444343653,288206020608
202.8,0,1,29648815973,288002039808
203.9,1,1,29674702693,287971893248
204.9,0,1,29774808933,287876202496
206.0,0,1,29985343333,287663538176
207.0,0,1,30198335333,287451549696
208.1,1,1,30303848293,287342432256
209.1,1,1,30303848293,287342432256
210.2,0,1,30516021093,287133188096
211.3,0,1,30755882853,286892179456
212.3,1,1,30932993893,286712938496
213.4,1,1,30932993893,286712938496
214.6,1,1,30932993893,286712938496
215.9,1,1,30932993893,286712938496
217.1,0,1,31132223333,286519758848
218.1,0,1,31386011493,286266793984
219.2,1,1,31562139493,286083457024
220.2,1,1,31562139493,286083457024
221.5,0,1,31785944933,285866029056
222.5,0,1,32203900773,285527535616
223.7,1,1,32212256613,285432999936
225.0,1,1,32212256613,285432999936
226.2,1,1,32212256613,285432999936
227.5,0,1,32411649893,285239320576
228.6,0,1,32660850533,284987998208
229.6,1,1,32841402213,284803514368
230.7,0,1,32899893093,284754354176
231.8,0,1,33186613093,284467621888
232.9,1,1,33470547813,284174045184
233.9,1,1,33470547813,284174045184
235.2,0,1,33695827813,283954155520
236.3,0,1,33941751653,283706761216
237.3,1,1,34099693413,283544559616
238.4,1,1,34099693413,283544559616
239.7,0,1,34306623333,283332866048
240.7,0,1,34527971173,283112841216
241.8,0,1,34728839013,282915078144
242.8,1,1,34728839013,282915078144
243.9,0,1,34852210533,282787094528
245.0,0,1,35086010213,282555637760
246.0,0,1,35297036133,282344386560
247.1,1,1,35378956133,282264596480
248.1,0,1,35398780773,282241396736
249.2,0,1,35618817893,282022440960
250.2,0,1,35824437093,281815179264
251.3,1,1,36029073253,281614147584
252.3,1,1,36029073253,281614147584
253.6,1,1,36029073253,281614147584
254.9,0,1,36107716453,281533362176
256.0,0,1,36356917096,281282818048
257.0,1,1,36658218853,280984678400
258.1,1,1,36658218853,280984678400
259.4,0,1,36898899813,280745140224
260.5,0,1,37221828453,280457113600
261.5,1,1,37287364453,280355205120
262.6,1,1,37287364453,280355205120
263.9,1,1,37287364453,280355205120
265.2,0,1,37486102373,280155140096
266.2,0,1,37754308453,279898259456
267.3,1,1,37916510053,279725723648
268.3,1,1,37916510053,279725723648
269.7,0,1,38153914213,279488794624
270.8,1,1,38545655653,279096242176
271.8,1,1,38545655653,279096242176
273.2,0,1,38777980773,278861795328
274.2,0,1,39074039653,278575738880
275.3,1,1,39174801253,278466785280
276.4,0,1,39279822693,278357676032
277.4,0,1,39481673573,278157119488
278.5,0,1,39684671333,277953982464
279.5,1,1,39803946853,277837328384
280.6,1,1,39803946853,277837328384
281.9,1,1,39803946853,277837328384
283.1,1,1,39803946853,277837328384
284.4,0,1,40016447333,277632688128
285.5,0,1,40294319973,277394804736
286.7,1,1,40433092453,277207863296
287.9,1,1,40433092453,277207863296
289.2,1,1,40433092453,277207863296
290.5,1,1,40433092453,277207863296
292.4,1,1,40433092453,277207863296
293.8,1,1,40433092453,277207863296
295.5,2,1,40433092453,277207863296
296.8,3,1,40433092453,277207863296
298.3,3,1,40454063973,277186883584
299.6,3,1,40454063973,277186883584
300.9,3,1,40454063973,277186883584
302.3,3,1,40454063973,277186883584
303.6,4,1,40454063973,277186883584
305.1,4,1,40454063973,277186883584
306.4,4,1,40459798373,277186883584
307.5,2,1,40496007013,277146886144
309.2,2,1,40496007013,277144920064
310.5,1,1,40516978533,277123940352
311.9,2,1,40516978533,277123940352
313.2,2,1,40516978533,277123940352
314.5,2,1,40516978533,277123940352
315.8,2,1,40516978533,277123940352
317.1,2,1,40516978533,277123940352
318.3,2,1,40537950053,277102960640
319.7,3,1,40537950053,277102960640
321.0,4,1,40537950053,277102960640
322.3,4,1,40537950053,277102960640
323.6,4,1,40537950053,277102960640
324.8,4,1,40558921573,277081976832
326.3,4,1,40558921573,277081976832
327.6,4,1,40558921573,277081976832
329.0,4,1,40558921573,277081976832
330.3,2,1,40600864613,277040013312
331.8,2,1,40600864613,277040013312
333.1,1,1,40621836133,277019037696
334.4,1,1,40621836133,277019037696
335.8,0,1,40642807653,276998057984
337.1,0,1,40642807653,276998057984
338.4,0,1,40642807653,276998057984
339.7,0,1,40642807653,276998057984
341.3,0,1,40642807653,276998057984
342.7,0,1,40642807653,276998057984
344.0,0,1,40642807653,276998057984
345.3,0,1,40642807653,276998057984
346.5,0,1,40642807653,276998057984
347.8,0,1,40642807653,276998057984
349.2,0,1,40642807653,276998057984
350.5,0,1,40642807653,276998057984
351.8,0,1,40642807653,276998057984
353.1,0,1,40642807653,276998057984
354.3,0,1,40642807653,276998057984
355.5,1,1,40642807653,276998057984
356.8,1,1,40642807653,276998057984
358.1,1,1,40642807653,276998057984
359.4,1,1,40642807653,276998057984
360.8,3,1,40642807653,276998057984
362.2,3,1,40642807653,276998057984
363.5,3,1,40642807653,276998057984
365.2,3,1,40642807653,276998057984
366.4,3,1,40642807653,276998057984
367.7,2,1,40663779173,276977082368
369.0,3,1,40663779173,276977082368
370.2,3,1,40663779173,276977082368
371.5,2,1,40684750693,276956102656
373.4,2,1,40705722213,276935127040
374.9,2,1,40705722213,276935127040
376.2,2,1,40705722213,276935127040
378.2,2,1,40705722213,276935127040
379.4,2,1,40705722213,276935127040
380.7,2,1,40705722213,276935127040
382.0,2,1,40705722213,276935127040
383.3,1,1,40726693733,276914147328
384.6,1,1,40726693733,276914147328
386.4,1,1,40726693733,276914147328
