t_s,backlog,inflight,kvroot_b,disk_free_b
1.0,0,1,1893,317662199808
2.0,1,3,1893,317662199808
3.0,1,3,1893,317662199808
4.0,6,6,1893,317662199808
5.0,6,6,1893,317662199808
6.0,6,6,1893,317662199808
7.0,6,6,1893,317662199808
8.0,7,7,1893,317662199808
9.0,7,7,1893,317662199808
10.0,7,5,1893,317662199808
11.0,7,3,1893,317662199808
12.0,2,3,276563813,317377572864
13.0,2,3,2720565093,314942058496
14.0,3,3,3145729893,314514636800
15.0,3,3,3145729893,314514632704
16.1,3,1,3145729893,314514632704
17.1,3,1,3145729893,314514632704
18.1,3,1,3145729893,314514632704
19.2,3,0,3145729893,314514632704
20.2,0,1,3338569573,314312585216
21.2,0,1,4752017253,312924938240
22.2,1,2,5033166693,312626098176
23.2,2,2,5033166693,312626098176
24.2,3,3,5033166693,312626098176
25.3,3,3,5033166693,312626098176
26.3,3,1,5033166693,312626098176
27.3,3,1,5033166693,312626098176
28.3,1,2,5339875173,312338866176
29.4,2,3,6312429413,311346114560
30.4,3,3,6312429413,311346114560
31.4,4,4,6312429413,311346114560
32.4,4,4,6312429413,311346114560
33.4,5,5,6312429413,311346114560
34.5,4,6,6330943333,311327117312
35.5,4,6,6617827173,311041015808
36.5,6,5,6941575013,310716604416
37.5,6,5,6941575013,310716604416
38.5,4,5,7020873573,310637117440
39.6,4,5,7277283173,310381834240
40.6,4,5,8199866213,309457575936
41.6,4,5,8199866213,309457575936
42.6,4,5,8417445733,309239799808
43.7,4,5,8626177893,309031223296
44.7,4,5,8828192613,308829044736
45.7,5,9,8849983333,308807090176
46.7,9,10,8849983333,308807090176
47.8,9,10,8849983333,308807090176
48.8,9,10,8849983333,308807090176
49.8,9,10,8849983333,308807090176
50.8,9,10,8849983333,308807090176
51.8,8,9,8875706213,308781850624
52.9,8,9,9119500133,308536893440
53.9,8,9,9411954533,308246876160
54.9,9,11,9500100453,308156600320
56.0,9,12,9500100453,308156600320
57.0,6,9,9738487653,307912458240
58.0,6,9,10115647333,307542011904
59.0,6,9,10590619493,307059974144
60.1,6,9,10842933093,306807480320
61.1,6,9,11066410853,306582257664
62.1,6,9,11278092133,306370871296
63.1,9,13,11408508773,306247122944
64.2,9,13,11408508773,306247122944
65.2,9,13,11408508773,306247122944
66.2,9,13,11408508773,306247122944
67.2,8,12,11576117093,306079977472
68.3,8,12,11781080933,305875181568
69.3,8,12,11990304613,305665626112
70.3,9,13,12037654373,305617620992
71.3,9,13,12037654373,305617620992
72.4,8,13,12172822373,305475702784
73.4,8,13,12373362533,305276043264
74.5,8,13,12586682213,305062666240
75.5,9,15,12666799973,304988119040
76.5,9,15,12666799973,304988119040
77.6,7,13,12841617253,304813772800
78.6,7,13,13031343973,304625713152
79.6,7,13,13239748453,304415629312
80.7,7,13,13433571173,304222597120
81.7,7,13,13620348773,304035487744
82.7,7,13,13798442853,303857573888
83.8,8,21,13925091173,303729123328
84.8,8,21,13925091173,303729123328
85.8,7,20,14080575333,303566733312
86.8,7,20,14278821733,303374405632
