i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.4086,0,0,0,0,0
1,1.1879,0,0,0,30,157286400
2,1.3354,0,0,0,54,283115520
3,1.1496,0,0,0,40,209715200
4,1.1716,0,0,0,219,1148190720
5,0.0921,0,0,0,8,41943040
6,0.0471,0,0,0,3,15728640
7,0.9221,0,0,0,36,188743680
8,1.159,0,0,0,128,671088640
9,0.994,0,0,0,204,1069547520
10,1.1778,0,0,0,72,377487360
11,0.401,0,0,0,56,293601280
12,1.1209,0,0,0,85,445644800
13,0.0617,0,0,0,6,31457280
14,0.0298,0,0,0,3,15728640
15,0.0425,0,0,0,0,0
16,0.101,16,0,0,4,20971520
17,0.0515,0,0,0,1,5242880
18,1.1494,0,0,0,53,277872640
19,0.3071,0,0,0,38,199229440
20,0.1146,0,0,0,2,10485760
21,0.4432,0,0,0,29,152043520
22,1.1492,0,0,0,62,325058560
23,1.1754,0,0,0,68,356515840
24,1.2046,0,0,0,72,377487360
25,0.0525,0,0,0,7,36700160
26,0.0833,1744,0,0,1,5242880
27,1.0428,0,0,0,57,298844160
28,0.3212,0,0,0,25,131072000
29,1.1523,0,0,0,69,361758720
30,0.0599,16,0,0,1,5242880
31,0.3043,0,0,0,23,120586240
32,1.2298,0,0,0,72,377487360
33,0.0535,32,0,0,4,20971520
34,1.1434,0,0,0,61,319815680
35,1.1636,0,0,0,75,393216000
36,1.8401,0,0,0,94,492830720
37,3.0586,1744,41,214958080,136,713031680
38,0.1252,0,0,0,6,31457280
39,0.0404,0,0,0,0,0
40,3.243,1760,110,576716800,127,665845760
41,1.1668,0,0,0,52,272629760
42,0.2605,0,0,0,9,47185920
43,1.1645,0,0,0,57,298844160
44,2.6855,1744,109,571473920,105,550502400
45,1.17,0,0,0,44,230686720
46,0.8145,32,2,10485760,38,199229440
47,0.2904,0,0,0,8,41943040
48,0.8893,0,0,0,39,204472320
49,0.0463,16,0,0,1,5242880
50,3.8275,0,0,0,141,739246080
51,0.5164,16,1,5242880,39,204472320
52,1.1661,0,0,0,44,230686720
53,0.0546,0,0,0,3,15728640
54,0.0446,16,0,0,4,20971520
55,1.2127,0,0,0,50,262144000
56,0.065,0,0,0,3,15728640
57,1.166,0,0,0,53,277872640
58,0.0478,0,0,0,3,15728640
59,0.0409,16,0,0,1,5242880
60,0.4391,0,0,0,19,99614720
61,0.163,0,0,0,0,0
62,1.1516,0,0,0,62,325058560
63,1.155,0,0,0,47,246415360
64,1.1675,0,0,0,48,251658240
65,1.1729,0,0,0,50,262144000
66,1.1523,0,0,0,45,235929600
67,0.6746,0,0,0,24,125829120
68,2.3986,0,32,167772160,77,403701760
69,1.2149,16,0,0,46,241172480
70,1.1648,0,0,0,45,235929600
71,1.1524,0,0,0,54,283115520
72,3.4444,592,37,193986560,121,634388480
73,2.4469,144,9,47185920,102,534773760
74,1.0416,0,0,0,35,183500800
75,0.0401,0,0,0,0,0
76,0.0297,0,0,0,0,0
77,1.0459,0,0,0,17,89128960
78,1.1669,0,0,0,66,346030080
79,2.8572,0,0,0,111,581959680
80,1.9459,688,43,225443840,73,382730240
81,1.1547,32,2,10485760,46,241172480
82,3.1712,480,30,157286400,118,618659840
83,1.152,0,0,0,32,167772160
84,1.1695,0,0,0,49,256901120
85,0.1334,0,0,0,5,26214400
86,1.0387,0,0,0,42,220200960
87,0.0425,0,0,0,0,0
88,1.1655,0,0,0,48,251658240
89,2.0638,16,1,5242880,70,367001600
90,3.8336,0,0,0,142,744488960
