i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3594,0,0,0,0,0
1,1.1561,0,0,0,0,0
2,1.1605,0,0,0,0,0
3,1.1442,0,0,0,0,0
4,1.1621,0,0,0,1,20971520
5,0.0716,0,0,0,0,0
6,0.0476,0,0,0,0,0
7,0.915,0,0,0,0,0
8,1.1434,0,0,0,0,0
9,0.9801,0,0,0,0,0
10,1.1606,0,0,0,0,0
11,0.3743,0,0,0,0,0
12,1.1076,0,0,0,0,0
13,0.0374,0,0,0,2,41943040
14,0.0274,0,0,0,1,20971520
15,0.0419,0,0,0,1,20971520
16,0.132,0,0,0,2,41943040
17,0.0487,0,0,0,5,104857600
18,1.1451,0,0,0,7,146800640
19,0.07,0,0,0,0,0
20,0.0967,0,0,0,0,0
21,0.4419,0,0,0,0,0
22,1.1414,0,0,0,0,0
23,1.1573,0,0,0,0,0
24,1.1419,0,0,0,0,0
25,0.0423,0,0,0,0,0
26,1.1198,0,0,0,2,41943040
27,1.0435,0,0,0,10,209715200
28,0.3218,0,0,0,2,41943040
29,1.1425,0,0,0,0,0
30,0.0927,0,0,0,2,41943040
31,0.3021,0,0,0,3,62914560
32,1.1597,0,0,0,8,167772160
33,0.0444,0,0,0,0,0
34,1.1386,0,0,0,0,0
35,1.1616,0,0,0,0,0
36,0.7732,0,0,0,0,0
37,0.9407,864,14,283115520,0,0
38,0.1184,0,0,0,2,41943040
39,0.0395,0,0,0,0,0
40,1.1593,0,0,0,11,230686720
41,1.1646,0,0,0,1,20971520
42,0.2557,0,0,0,0,0
43,1.166,0,0,0,0,0
44,1.0569,1696,27,555745280,0,0
45,1.1441,0,0,0,0,0
46,0.0426,0,0,0,0,0
47,0.288,0,0,0,0,0
48,0.8821,0,0,0,0,0
49,0.0644,0,0,0,0,0
50,1.161,0,0,0,0,0
51,0.0646,0,0,0,0,0
52,1.1574,0,0,0,0,0
53,0.0483,0,0,0,0,0
54,0.0621,0,0,0,0,0
55,1.159,0,0,0,0,0
56,0.0652,0,0,0,0,0
57,1.1606,0,0,0,0,0
58,0.0483,0,0,0,0,0
59,0.0585,0,0,0,0,0
60,0.4294,0,0,0,0,0
61,0.1604,0,0,0,0,0
62,1.1437,0,0,0,0,0
63,1.1445,0,0,0,0,0
64,1.1618,0,0,0,0,0
65,1.1654,0,0,0,0,0
66,1.1578,0,0,0,0,0
67,0.6747,0,0,0,0,0
68,0.5129,1696,27,555745280,0,0
69,1.1648,0,0,0,0,0
70,1.1678,0,0,0,0,0
71,1.1516,0,0,0,0,0
72,1.1715,0,0,0,1,20971520
73,1.165,0,0,0,2,41943040
74,1.0375,0,0,0,7,146800640
75,0.0437,0,0,0,0,0
76,0.0275,0,0,0,0,0
77,1.0415,0,0,0,0,0
78,1.1692,0,0,0,0,0
79,0.3929,0,0,0,0,0
80,0.5309,640,10,209715200,0,0
81,0.0401,0,0,0,0,0
82,1.1639,0,0,0,0,0
83,1.1524,0,0,0,6,125829120
84,1.1675,0,0,0,1,20971520
85,0.1321,0,0,0,0,0
86,1.0347,0,0,0,0,0
87,0.043,0,0,0,0,0
88,1.1626,0,0,0,0,0
89,1.1517,0,0,0,0,0
90,1.0346,0,0,0,1,20971520
91,0.6661,0,0,0,0,0
92,1.1514,0,0,0,5,104857600
93,0.4029,0,0,0,0,0
94,0.3438,0,0,0,2,41943040
95,0.9798,1984,31,650117120,12,251658240
96,1.1509,0,0,0,0,0
97,0.0656,0,0,0,0,0
98,0.4257,0,0,0,0,0
99,0.8352,0,0,0,0,0
100,0.9352,0,0,0,0,0
101,0.0697,0,0,0,2,41943040
102,0.1178,0,0,0,0,0
103,1.1659,0,0,0,8,167772160
104,0.4461,0,0,0,0,0
105,1.1644,0,0,0,13,272629760
106,1.1686,0,0,0,0,0
107,0.491,1696,27,555745280,0,0
108,1.1658,0,0,0,0,0
109,1.1499,0,0,0,0,0
110,1.1674,0,0,0,0,0
111,0.3266,0,0,0,0,0
112,1.1666,0,0,0,0,0
113,1.1518,0,0,0,0,0
114,0.8414,0,0,0,10,209715200
115,1.1666,0,0,0,4,83886080
116,1.1651,0,0,0,0,0
117,0.1795,0,0,0,0,0
118,1.151,0,0,0,0,0
119,1.151,0,0,0,0,0
120,1.1518,0,0,0,0,0
121,0.2396,0,0,0,0,0
122,1.0891,0,0,0,0,0
123,1.4962,576,9,188743680,0,0
124,1.152,0,0,0,0,0
125,1.1509,0,0,0,0,0
126,0.6849,1984,31,650117120,1,20971520
127,1.166,0,0,0,0,0
128,0.0442,0,0,0,0,0
129,1.1613,0,0,0,0,0
130,0.0414,0,0,0,0,0
131,1.1672,224,4,73400320,0,0
132,0.3251,0,0,0,0,0
133,1.1654,0,0,0,0,0
134,1.1501,0,0,0,0,0
135,1.1652,0,0,0,0,0
136,0.1555,0,0,0,0,0
137,0.0991,0,0,0,0,0
138,0.0421,0,0,0,0,0
139,1.1622,0,0,0,0,0
140,1.1666,0,0,0,0,0
141,1.1512,0,0,0,0,0
142,0.7526,0,0,0,0,0
143,0.2382,0,0,0,0,0
144,0.9564,0,0,0,0,0
145,1.1507,0,0,0,0,0
146,0.9875,0,0,0,0,0
147,1.1501,0,0,0,0,0
148,0.035,0,0,0,1,20971520
149,0.0239,0,0,0,0,0
