i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.4044,0,0,0,0,0
1,1.1733,0,0,0,14,73400320
2,1.174,0,0,0,45,235929600
3,1.1498,0,0,0,49,256901120
4,1.1662,0,0,0,214,1121976320
5,0.0804,0,0,0,10,52428800
6,0.0429,0,0,0,2,10485760
7,0.912,0,0,0,38,199229440
8,1.143,0,0,0,58,304087040
9,0.9861,0,0,0,259,1357905920
10,1.1851,0,0,0,112,587202560
11,0.3841,0,0,0,23,120586240
12,1.106,0,0,0,46,241172480
13,0.061,0,0,0,10,52428800
14,0.0446,0,0,0,5,26214400
15,0.0426,0,0,0,1,5242880
16,0.0975,16,0,0,5,26214400
17,0.0471,0,0,0,1,5242880
18,1.1375,0,0,0,58,304087040
19,0.0699,0,0,0,2,10485760
20,0.1002,0,0,0,9,47185920
21,0.4511,0,0,0,25,131072000
22,1.1449,0,0,0,67,351272960
23,1.1636,0,0,0,51,267386880
24,2.0692,0,0,0,133,697303040
25,0.0433,0,0,0,5,26214400
26,0.104,1744,0,0,8,41943040
27,1.0368,0,0,0,59,309329920
28,0.337,0,0,0,21,110100480
29,1.1424,0,0,0,56,293601280
30,0.0501,16,0,0,0,0
31,0.3022,0,0,0,0,0
32,1.2213,0,0,0,80,419430400
33,0.0393,32,0,0,3,15728640
34,1.9085,0,0,0,90,471859200
35,1.1627,0,0,0,56,293601280
36,0.7747,0,0,0,42,220200960
37,0.0919,1744,0,0,4,20971520
38,0.1182,0,0,0,4,20971520
39,0.0398,0,0,0,2,10485760
40,3.5256,1760,110,576716800,140,734003200
41,1.1593,0,0,0,30,157286400
42,0.2569,0,0,0,0,0
43,1.1643,0,0,0,73,382730240
44,3.6523,1744,109,571473920,120,629145600
45,1.1505,0,0,0,38,199229440
46,1.1563,32,2,10485760,40,209715200
47,0.2972,0,0,0,10,52428800
48,0.8809,0,0,0,29,152043520
49,0.0507,16,0,0,1,5242880
50,1.2047,0,0,0,28,146800640
51,0.6979,16,1,5242880,37,193986560
52,1.1555,0,0,0,38,199229440
53,0.0492,0,0,0,0,0
54,0.0447,16,0,0,0,0
55,4.2928,0,0,0,147,770703360
56,0.0714,0,0,0,1,5242880
57,1.1603,0,0,0,38,199229440
58,0.0508,0,0,0,1,5242880
59,0.0406,16,0,0,1,5242880
60,0.4298,0,0,0,15,78643200
61,0.1641,0,0,0,7,36700160
62,1.1441,0,0,0,44,230686720
63,1.1452,0,0,0,23,120586240
64,1.16,0,0,0,58,304087040
65,1.1734,0,0,0,41,214958080
66,3.8931,0,0,0,143,749731840
67,0.6825,0,0,0,27,141557760
68,3.5332,1744,109,571473920,121,634388480
69,1.175,16,0,0,44,230686720
70,4.8738,0,0,0,192,1006632960
71,3.9242,0,0,0,131,686817280
72,2.7179,592,37,193986560,100,524288000
73,2.5097,144,9,47185920,67,351272960
74,1.0326,0,0,0,55,288358400
75,0.0438,0,0,0,6,31457280
76,0.0257,0,0,0,4,20971520
77,4.964,0,0,0,165,865075200
78,1.1669,0,0,0,47,246415360
79,0.3921,0,0,0,9,47185920
80,2.5422,688,43,225443840,89,466616320
81,1.1456,32,2,10485760,44,230686720
82,2.2622,480,30,157286400,75,393216000
83,1.5837,0,0,0,52,272629760
84,1.1621,0,0,0,39,204472320
85,0.1318,0,0,0,2,10485760
86,1.0294,0,0,0,44,230686720
87,0.0465,0,0,0,0,0
88,1.1589,0,0,0,35,183500800
89,2.0946,16,1,5242880,76,398458880
90,1.0357,0,0,0,23,120586240
91,1.7606,304,19,99614720,71,372244480
92,1.151,0,0,0,44,230686720
93,2.7295,0,0,0,91,477102080
94,0.0527,304,0,0,0,0
95,4.6976,2032,127,665845760,137,718274560
96,1.6485,0,0,0,58,304087040
97,0.0512,16,0,0,0,0
98,8.7348,0,0,0,322,1688207360
99,0.8338,0,0,0,25,131072000
100,5.2519,0,0,0,181,948961280
101,0.0493,16,0,0,3,15728640
102,0.1228,0,0,0,5,26214400
103,4.0506,0,0,0,139,728760320
104,3.0585,800,50,262144000,93,487587840
105,1.1516,0,0,0,40,209715200
106,1.1978,0,0,0,39,204472320
107,3.5209,1744,109,571473920,155,812646400
108,1.1687,0,0,0,22,115343360
109,1.4395,0,0,0,57,298844160
110,1.1582,0,0,0,38,199229440
111,0.3259,0,0,0,13,68157440
112,1.1595,0,0,0,44,230686720
113,3.2434,1920,120,629145600,109,571473920
114,0.8339,0,0,0,27,141557760
115,1.1608,0,0,0,41,214958080
116,2.0146,16,1,5242880,62,325058560
117,4.593,0,0,0,164,859832320
118,1.1491,0,0,0,25,131072000
119,2.016,16,1,5242880,74,387973120
120,1.1441,0,0,0,38,199229440
121,0.2376,0,0,0,8,41943040
122,1.0842,0,0,0,35,183500800
123,4.0054,592,37,193986560,129,676331520
124,1.1443,0,0,0,35,183500800
125,2.134,16,1,5242880,82,429916160
126,4.8555,2032,127,665845760,144,754974720
127,1.9562,16,1,5242880,71,372244480
128,1.1227,0,0,0,43,225443840
129,2.4296,0,0,0,90,471859200
130,0.0459,0,0,0,0,0
131,2.8013,256,16,83886080,95,498073600
132,0.3313,0,0,0,9,47185920
133,1.1583,0,0,0,27,141557760
134,1.1422,0,0,0,53,277872640
135,1.1558,0,0,0,38,199229440
136,0.1566,0,0,0,0,0
137,0.1086,0,0,0,4,20971520
138,0.0404,0,0,0,4,20971520
139,1.1664,0,0,0,39,204472320
140,1.1727,0,0,0,25,131072000
141,1.2829,0,0,0,69,361758720
142,0.7559,0,0,0,29,152043520
143,0.2414,0,0,0,2,10485760
144,0.9588,0,0,0,36,188743680
145,1.1515,0,0,0,34,178257920
146,0.9897,0,0,0,38,199229440
147,6.0486,16,1,5242880,195,1022361600
148,0.0443,0,0,0,4,20971520
149,0.0257,0,0,0,2,10485760
150,1.1481,0,0,0,33,173015040
151,0.1065,16,0,0,1,5242880
152,1.1637,0,0,0,39,204472320
153,0.2467,0,0,0,9,47185920
154,1.1532,0,0,0,20,104857600
155,1.1524,0,0,0,56,293601280
156,2.8825,0,0,0,101,529530880
157,3.6986,2032,127,665845760,123,644874240
158,0.0491,16,0,0,1,5242880
159,0.2226,0,0,0,5,26214400
160,2.1179,16,1,5242880,72,377487360
161,0.0468,16,0,0,0,0
162,1.46,0,0,0,52,272629760
163,3.3071,1744,109,571473920,108,566231040
164,1.2222,0,0,0,43,225443840
165,4.234,0,0,0,151,791674880
166,0.0878,0,0,0,4,20971520
167,0.0458,0,0,0,3,15728640
168,1.1437,0,0,0,40,209715200
169,0.0527,0,0,0,2,10485760
170,3.6065,0,0,0,124,650117120
171,3.5746,1488,93,487587840,107,560988160
172,0.0538,0,0,0,1,5242880
173,1.1688,0,0,0,22,115343360
174,0.5747,0,0,0,33,173015040
175,0.1194,0,0,0,4,20971520
176,0.2753,0,0,0,6,31457280
177,5.1417,0,0,0,169,886046720
178,6.588,144,9,47185920,220,1153433600
179,1.148,0,0,0,43,225443840
180,3.9928,2032,127,665845760,121,634388480
181,4.3322,1744,109,571473920,133,697303040
182,4.0189,1920,120,629145600,121,634388480
183,1.138,0,0,0,39,204472320
184,1.1452,0,0,0,45,235929600
185,3.6599,1744,109,571473920,113,592445440
186,1.1518,0,0,0,40,209715200
187,0.0483,16,0,0,2,10485760
188,1.1473,0,0,0,41,214958080
189,1.1692,0,0,0,22,115343360
190,2.8938,1488,93,487587840,107,560988160
191,0.8284,16,1,5242880,32,167772160
192,1.1729,0,0,0,28,146800640
193,0.7302,16,1,5242880,33,173015040
194,1.1796,0,0,0,42,220200960
195,1.2172,0,0,0,32,167772160
196,1.1381,0,0,0,42,220200960
197,1.1582,0,0,0,44,230686720
198,1.1378,0,0,0,32,167772160
199,5.3571,592,37,193986560,180,943718400
200,4.5043,2032,127,665845760,151,791674880
201,1.4096,0,0,0,49,256901120
202,3.7423,0,0,0,135,707788800
203,1.1604,0,0,0,35,183500800
204,1.1589,0,0,0,36,188743680
205,4.3859,2032,127,665845760,144,754974720
206,4.4717,2016,126,660602880,139,728760320
207,1.1571,0,0,0,31,162529280
208,0.8602,0,0,0,30,157286400
209,1.1932,0,0,0,42,220200960
210,1.1674,0,0,0,38,199229440
211,1.1803,0,0,0,39,204472320
212,6.4222,1744,179,938475520,193,1011875840
213,0.05,0,0,0,1,5242880
214,4.8463,2032,127,665845760,145,760217600
215,3.6572,976,61,319815680,106,555745280
216,2.741,144,9,47185920,95,498073600
217,2.6018,0,0,0,82,429916160
218,2.8603,400,25,131072000,98,513802240
219,1.5066,0,0,0,51,267386880
220,1.2246,0,0,0,37,193986560
221,0.926,16,1,5242880,39,204472320
222,1.1388,0,0,0,43,225443840
223,0.1412,0,0,0,0,0
224,2.3317,0,0,0,88,461373440
225,2.0215,0,0,0,87,456130560
226,3.8763,1920,120,629145600,124,650117120
227,3.968,1744,109,571473920,124,650117120
228,1.0962,0,0,0,35,183500800
229,1.138,0,0,0,38,199229440
230,1.095,0,0,0,48,251658240
231,0.5965,0,0,0,23,120586240
232,2.0687,16,1,5242880,86,450887680
233,1.1431,0,0,0,33,173015040
234,2.8915,1744,109,571473920,101,529530880
235,1.1653,0,0,0,40,209715200
236,0.0492,16,0,0,0,0
237,0.0315,0,0,0,0,0
238,1.1929,16,1,5242880,44,230686720
239,0.1552,0,0,0,3,15728640
240,1.1407,16,0,0,50,262144000
241,3.0296,592,37,193986560,105,550502400
242,1.1476,0,0,0,39,204472320
243,1.1617,0,0,0,39,204472320
244,5.0518,1920,120,629145600,158,828375040
245,1.1765,0,0,0,41,214958080
246,1.3098,16,1,5242880,45,235929600
247,1.4257,16,1,5242880,48,251658240
248,0.0418,0,0,0,0,0
249,3.2617,1184,74,387973120,115,602931200
250,0.6957,0,0,0,33,173015040
251,3.479,1744,109,571473920,115,602931200
252,1.1609,0,0,0,36,188743680
253,4.4798,0,0,0,158,828375040
254,0.0421,0,0,0,1,5242880
255,0.9616,16,1,5242880,31,162529280
256,1.1342,0,0,0,34,178257920
257,2.3525,0,0,0,84,440401920
258,1.8535,0,0,0,62,325058560
259,1.1693,0,0,0,41,214958080
260,3.3689,592,37,193986560,89,466616320
261,5.5551,1440,0,0,208,1090519040
262,0.87,32,2,10485760,30,157286400
263,3.9216,2032,127,665845760,123,644874240
264,3.5173,656,41,214958080,106,555745280
265,5.3698,0,0,0,168,880803840
266,1.1464,16,0,0,45,235929600
267,3.5234,1920,120,629145600,111,581959680
268,4.8002,2032,127,665845760,149,781189120
269,0.0398,0,0,0,0,0
270,1.1757,0,0,0,34,178257920
271,4.3062,1920,120,629145600,137,718274560
272,4.9391,0,0,0,171,896532480
273,6.2153,240,15,78643200,228,1195376640
274,1.1578,0,0,0,50,262144000
275,0.0467,16,0,0,0,0
276,1.1619,0,0,0,45,235929600
277,1.1657,0,0,0,45,235929600
278,1.8055,1552,97,508559360,51,267386880
279,1.1543,0,0,0,41,214958080
280,3.7149,0,0,0,122,639631360
281,1.7321,16,1,5242880,66,346030080
282,3.2892,0,0,0,105,550502400
283,3.1807,2032,127,665845760,98,513802240
284,0.042,16,0,0,0,0
285,1.1712,0,0,0,43,225443840
286,0.0462,0,0,0,4,20971520
287,1.1389,0,0,0,24,125829120
288,0.6839,112,7,36700160,38,199229440
289,4.3898,1920,120,629145600,132,692060160
290,1.1712,0,0,0,43,225443840
291,6.6066,592,37,193986560,222,1163919360
292,3.0245,1744,109,571473920,79,414187520
293,0.0419,16,0,0,2,10485760
294,2.0131,16,1,5242880,77,403701760
295,4.5937,2032,127,665845760,135,707788800
296,0.047,16,0,0,3,15728640
297,4.4667,1920,120,629145600,140,734003200
298,1.1778,0,0,0,39,204472320
299,2.9995,656,41,214958080,85,445644800
300,0.2836,0,0,0,1,5242880
301,0.3927,0,0,0,37,193986560
302,0.0477,16,0,0,2,10485760
303,1.1125,0,0,0,33,173015040
304,2.2214,48,3,15728640,82,429916160
305,0.072,0,0,0,1,5242880
306,4.0681,2032,127,665845760,124,650117120
307,1.1581,0,0,0,39,204472320
308,2.8201,976,61,319815680,88,461373440
309,0.0477,16,0,0,0,0
310,0.9858,32,2,10485760,38,199229440
311,0.5729,0,0,0,17,89128960
312,0.0472,16,0,0,0,0
313,0.4156,0,0,0,18,94371840
314,1.8643,16,1,5242880,72,377487360
315,1.0289,0,0,0,38,199229440
316,0.7523,0,0,0,23,120586240
317,3.2269,2032,127,665845760,106,555745280
318,0.8595,0,0,0,30,157286400
319,1.646,0,0,0,53,277872640
320,0.0591,16,0,0,0,0
321,7.0766,0,0,0,257,1347420160
322,0.0497,16,0,0,3,15728640
323,0.1169,0,0,0,4,20971520
324,2.6212,912,57,298844160,83,435159040
325,1.6788,0,0,0,78,408944640
326,4.2779,2032,127,665845760,196,1027604480
327,0.8687,0,0,0,26,136314880
328,0.0413,0,0,0,2,10485760
329,3.3972,0,0,0,119,623902720
330,1.4703,0,0,0,50,262144000
331,0.0476,16,0,0,1,5242880
332,1.1652,0,0,0,42,220200960
333,0.0462,0,0,0,1,5242880
334,1.1528,0,0,0,37,193986560
335,1.1596,0,0,0,34,178257920
336,0.048,16,0,0,6,31457280
337,5.7453,112,7,36700160,221,1158676480
338,2.2728,0,0,0,75,393216000
339,0.047,16,0,0,5,26214400
340,3.9804,1920,120,629145600,127,665845760
341,3.5765,2032,127,665845760,116,608174080
342,2.4139,16,1,5242880,90,471859200
343,10.6863,592,37,193986560,384,2013265920
344,2.0909,0,0,0,86,450887680
345,0.0459,16,0,0,3,15728640
346,0.5676,0,0,0,8,41943040
347,0.0487,16,0,0,3,15728640
348,0.0587,0,0,0,10,52428800
349,0.0479,16,0,0,0,0
350,0.2351,0,0,0,12,62914560
351,0.046,16,0,0,1,5242880
352,0.0259,0,0,0,0,0
353,0.2501,0,0,0,4,20971520
354,0.0366,0,0,0,0,0
355,1.8808,16,1,5242880,73,382730240
356,0.7838,0,0,0,29,152043520
357,2.0481,16,1,5242880,81,424673280
358,1.2083,0,0,0,42,220200960
359,1.1427,0,0,0,35,183500800
360,4.1885,2016,126,660602880,129,676331520
361,0.5166,0,0,0,15,78643200
362,1.7248,16,1,5242880,65,340787200
363,0.0469,16,0,0,2,10485760
364,1.1804,0,0,0,47,246415360
365,1.146,0,0,0,16,83886080
366,1.7159,2032,55,288358400,77,403701760
367,0.0438,16,0,0,0,0
368,1.1332,0,0,0,38,199229440
369,0.3939,0,0,0,12,62914560
370,0.0455,16,0,0,2,10485760
371,2.4894,400,25,131072000,84,440401920
372,1.2231,0,0,0,46,241172480
373,2.2129,176,11,57671680,75,393216000
374,2.4769,16,1,5242880,75,393216000
375,2.5215,240,15,78643200,92,482344960
376,1.6611,0,0,0,56,293601280
377,1.9545,976,61,319815680,74,387973120
378,1.1631,0,0,0,43,225443840
379,3.6031,1552,97,508559360,118,618659840
380,4.8338,2032,127,665845760,157,823132160
381,0.8613,0,0,0,32,167772160
382,0.1294,0,0,0,6,31457280
383,1.1438,0,0,0,41,214958080
384,1.1925,0,0,0,53,277872640
